Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
EchoDot3 (FR),0,11175,1968796,5697,988490,5478,980306,8212,660283,4019,269532,4193,390751,2963,1308513,1678,718958,1285,589555
EchoDot3 (FR),1800,9515,1394313,4780,557737,4735,836576,8225,658755,4039,268570,4186,390185,1290,735558,741,289167,549,446391
EchoDot3 (FR),3600,10043,1474316,5079,652180,4964,822136,8213,662838,4023,271239,4190,391599,1830,811478,1056,380941,774,430537
EchoDot3 (FR),5400,9816,1394692,4914,601093,4902,793599,8296,684748,4058,273278,4238,411470,1520,709944,856,327815,664,382129
EchoDot3 (FR),7200,9610,1303239,4793,526758,4817,776481,8186,653916,4008,266551,4178,387365,1424,649323,785,260207,639,389116
EchoDot3 (FR),9000,9474,1226710,4732,472810,4742,753900,8290,675684,4067,274823,4223,400861,1184,551026,665,197987,519,353039
EchoDot3 (FR),10800,9656,1324426,4828,552747,4828,771679,8175,655154,4007,266986,4168,388168,1481,669272,821,285761,660,383511
EchoDot3 (FR),12600,9972,1461249,5010,616018,4962,845231,8289,685542,4056,274559,4233,410983,1683,775707,954,341459,729,434248
EchoDot3 (FR),14400,9569,1298710,4775,534217,4794,764493,8261,675815,4051,273702,4210,402113,1308,622895,724,260515,584,362380
EchoDot3 (FR),16200,9386,1240436,4659,488167,4727,752269,8169,661931,4001,271220,4168,390711,1217,578505,658,216947,559,361558
EchoDot3 (FR),18000,9491,1287300,4746,539873,4745,747427,8151,655986,3998,269322,4153,386664,1340,631314,748,270551,592,360763
EchoDot3 (FR),19800,9935,1428468,4974,601058,4961,827410,8302,686566,4060,271532,4242,415034,1633,741902,914,329526,719,412376
EchoDot3 (FR),21600,9415,1233774,4709,506089,4706,727685,8164,656764,4000,269450,4164,387314,1251,577010,709,236639,542,340371
EchoDot3 (FR),23400,9463,1238305,4727,489565,4736,748740,8230,664615,4031,272134,4199,392481,1233,573690,696,217431,537,356259
EchoDot3 (FR),25200,9656,1305294,4856,541450,4800,763844,8233,662720,4036,268946,4197,393774,1423,642574,820,272504,603,370070
EchoDot3 (FR),27000,10013,1444888,5028,614538,4985,830350,8337,693109,4080,276994,4257,416115,1676,751779,948,337544,728,414235
EchoDot3 (FR),28800,9307,1159544,4635,432476,4672,727068,8242,664672,4042,271788,4200,392884,1065,494872,593,160688,472,334184
EchoDot3 (FR),30600,9592,1321284,4784,558144,4808,763140,8211,659386,4019,266943,4192,392443,1381,661898,765,291201,616,370697
EchoDot3 (FR),32400,9662,1329504,4849,559087,4813,770417,8216,660964,4031,271799,4185,389165,1446,668540,818,287288,628,381252
EchoDot3 (FR),34200,9985,1414415,5037,596253,4948,818162,8404,705838,4121,279439,4283,426399,1581,708577,916,316814,665,391763
EchoDot3 (FR),36000,9230,1140229,4583,418441,4647,721788,8149,654298,3983,265250,4166,389048,1081,485931,600,153191,481,332740
EchoDot3 (FR),37800,9773,1386065,4895,600677,4878,785388,8277,671051,4057,273846,4220,397205,1496,715014,838,326831,658,388183
EchoDot3 (FR),39600,9832,1377328,4964,579668,4868,797660,8202,658906,4025,270862,4177,388044,1630,718422,939,308806,691,409616
EchoDot3 (FR),41400,9644,1340349,4854,568734,4790,771615,8174,653715,4005,266800,4169,386915,1470,686634,849,301934,621,384700
EchoDot3 (FR),43200,9511,1252304,4711,470444,4800,781860,8357,699513,4087,277421,4270,422092,1154,552791,624,193023,530,359768
EchoDot3 (FR),45000,9777,1371617,4889,586795,4888,784822,8215,659494,4025,270660,4190,388834,1562,712123,864,316135,698,395988
EchoDot3 (FR),46800,9703,1319135,4882,553737,4821,765398,8199,654725,4018,267142,4181,387583,1504,664410,864,286595,640,377815
EchoDot3 (FR),48600,9862,1390574,4963,588565,4899,802009,8272,670782,4058,274512,4214,396270,1590,719792,905,314053,685,405739
EchoDot3 (FR),50400,9386,1181475,4662,438562,4724,742913,8341,693828,4077,276704,4264,417124,1045,487647,585,161858,460,325789
EchoDot3 (FR),52200,9838,1397406,4952,602875,4886,794531,8194,650040,4011,264766,4183,385274,1644,747366,941,338109,703,409257
EchoDot3 (FR),54000,9623,1292919,4817,533518,4806,759401,8271,668682,4057,274563,4214,394119,1352,624237,760,258955,592,365282
EchoDot3 (FR),55800,9492,1219190,4717,458380,4775,760810,8429,707928,4130,280383,4299,427545,1063,511262,587,177997,476,333265
EchoDot3 (FR),57600,9591,1291396,4800,535090,4791,756306,8227,657279,4032,266231,4195,391048,1364,634117,768,268859,596,365258
EchoDot3 (FR),59400,9883,1408567,4971,610962,4912,797605,8262,670727,4051,273473,4211,397254,1621,737840,920,337489,701,400351
EchoDot3 (FR),61200,9656,1321280,4823,541339,4833,779941,8219,659832,4033,271270,4186,388562,1437,661448,790,270069,647,391379
EchoDot3 (FR),63000,9326,1191764,4614,448078,4712,743686,8282,682116,4047,270946,4235,411170,1044,509648,567,177132,477,332516
EchoDot3 (FR),64800,9793,1365985,4927,579072,4866,786913,8224,664263,4027,271886,4197,392377,1569,701722,900,307186,669,394536
EchoDot3 (FR),66600,9719,1375573,4887,613662,4832,761911,8222,663740,4027,272203,4195,391537,1497,711833,860,341459,637,370374
EchoDot3 (FR),68400,9809,1376306,4907,575674,4902,800632,8189,651665,4016,265652,4173,386013,1620,724641,891,310022,729,414619
EchoDot3 (FR),70200,9496,1267820,4713,491255,4783,776565,8315,691919,4068,276951,4247,414968,1181,575901,645,214304,536,361597
EchoDot3 (FR),72000,9784,1353997,4932,571958,4852,782039,8236,664943,4034,272276,4202,392667,1548,689054,898,299682,650,389372
EchoDot3 (FR),73800,9622,1327458,4820,564538,4802,762920,8210,658835,4023,270219,4187,388616,1412,668623,797,294319,615,374304
EchoDot3 (FR),75600,9366,1191647,4654,447979,4712,743668,8247,664947,4044,269386,4203,395561,1119,526700,610,178593,509,348107
EchoDot3 (FR),77400,9719,1362633,4843,568135,4876,794498,8314,690483,4067,276275,4247,414208,1405,672150,776,291860,629,380290
EchoDot3 (FR),79200,9611,1312873,4821,546883,4790,765990,8200,659372,4018,270294,4182,389078,1411,653501,803,276589,608,376912
EchoDot3 (FR),81000,9907,1420926,5008,608620,4899,812306,8158,653737,3991,265619,4167,388118,1749,767189,1017,343001,732,424188
EchoDot3 (FR),82800,9223,1138714,4598,430233,4625,708481,8219,664829,4030,272896,4189,391933,1004,473885,568,157337,436,316548
EchoDot3 (FR),84600,9878,1422176,4951,599333,4927,822843,8296,692005,4062,274495,4234,417510,1582,730171,889,324838,693,405333
EchoDot3 (FR),86400,9601,1291409,4800,538682,4801,752727,8200,655734,4011,266907,4189,388827,1401,635675,789,271775,612,363900
EchoDot3 (FR),88200,10312,1724709,5195,770769,5117,953940,8244,666364,4039,272932,4205,393432,2068,1058345,1156,497837,912,560508
EchoDot3 (FR),90000,9240,1144228,4622,424147,4618,720081,8192,658322,4020,270572,4172,387750,1048,485906,602,153575,446,332331
EchoDot3 (FR),91800,9708,1361708,4826,578460,4882,783248,8274,681428,4044,270564,4230,410864,1434,680280,782,307896,652,372384
EchoDot3 (FR),93600,9751,1380276,4881,571629,4870,808647,8166,661143,3997,270386,4169,390757,1585,719133,884,301243,701,417890
EchoDot3 (FR),95400,9567,1303903,4779,549140,4788,754763,8211,663906,4021,271919,4190,391987,1356,639997,758,277221,598,362776
EchoDot3 (FR),97200,9162,1123438,4537,416763,4625,706675,8209,660054,4029,271645,4180,388409,953,463384,508,145118,445,318266
EchoDot3 (FR),99000,9999,1496998,5018,631029,4981,865969,8311,688722,4066,272564,4245,416158,1688,808276,952,358465,736,449811
EchoDot3 (FR),100800,9565,1314855,4763,544250,4802,770605,8203,663230,4024,271205,4179,392025,1362,651625,739,273045,623,378580
