Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
GoogleHome (FR) ,0,9451,1058586,5206,608133,4245,450453,8660,880367,4770,500277,3890,380090,791,178219,436,107856,355,70363
GoogleHome (FR) ,1800,9589,1085034,5257,630492,4332,454542,8776,896276,4811,519373,3965,376903,813,188758,446,111119,367,77639
GoogleHome (FR) ,3600,9023,987821,4814,591898,4209,395923,8296,844031,4419,497613,3877,346418,727,143790,395,94285,332,49505
GoogleHome (FR) ,5400,8231,1047108,4424,598953,3807,448155,7498,881053,4021,503298,3477,377755,733,166055,403,95655,330,70400
GoogleHome (FR) ,7200,7742,1038846,4391,647653,3351,391193,6919,846995,3940,539975,2979,307020,823,191851,451,107678,372,84173
GoogleHome (FR) ,9000,6400,884042,3578,572977,2822,311065,5688,740682,3189,480072,2499,260610,712,143360,389,92905,323,50455
GoogleHome (FR) ,10800,10508,1287515,5709,772443,4799,515072,9676,1087246,5250,645312,4426,441934,832,200269,459,127131,373,73138
GoogleHome (FR) ,12600,6560,988176,3673,594222,2887,393954,5606,760011,3145,475140,2461,284871,954,228165,528,119082,426,109083
GoogleHome (FR) ,14400,7536,1035494,4144,638943,3392,396551,6703,850685,3684,531033,3019,319652,833,184809,460,107910,373,76899
GoogleHome (FR) ,16200,6065,983710,3601,642220,2464,341490,5204,790364,3128,535911,2076,254453,861,193346,473,106309,388,87037
GoogleHome (FR) ,18000,7897,1044928,4433,649128,3464,395800,7154,867399,4021,546194,3133,321205,743,177529,412,102934,331,74595
GoogleHome (FR) ,19800,8274,1562962,4502,642960,3772,920002,7067,855079,3858,520848,3209,334231,1207,707883,644,122112,563,585771
GoogleHome (FR) ,21600,8773,1067346,4720,632322,4053,435024,7940,869643,4263,520943,3677,348700,833,197703,457,111379,376,86324
GoogleHome (FR) ,23400,6775,947328,3743,599145,3032,348183,6065,791601,3354,505754,2711,285847,710,155727,389,93391,321,62336
GoogleHome (FR) ,25200,4600,753384,2647,484704,1953,268680,3762,558351,2187,367575,1575,190776,838,195033,460,117129,378,77904
GoogleHome (FR) ,27000,8242,1119047,4410,649983,3832,469064,7330,905035,3906,534825,3424,370210,912,214012,504,115158,408,98854
GoogleHome (FR) ,28800,11247,1265135,5854,689552,5393,575583,10300,1043447,5337,569826,4963,473621,947,221688,517,119726,430,101962
GoogleHome (FR) ,30600,10066,1144707,5259,625163,4807,519544,9227,953479,4799,514406,4428,439073,839,191228,460,110757,379,80471
GoogleHome (FR) ,32400,10156,1112016,5380,632311,4776,479705,9282,899525,4898,503398,4384,396127,874,212491,482,128913,392,83578
GoogleHome (FR) ,34200,9450,1062259,5108,618513,4342,443746,8686,896518,4691,522659,3995,373859,764,165741,417,95854,347,69887
GoogleHome (FR) ,36000,10020,1080146,5212,584957,4808,495189,9189,899942,4756,477077,4433,422865,831,180204,456,107880,375,72324
GoogleHome (FR) ,37800,9788,1020406,5147,573780,4641,446626,9015,848598,4721,466785,4294,381813,773,171808,426,106995,347,64813
GoogleHome (FR) ,39600,10265,1229678,5310,607982,4955,621696,9091,825295,4670,434590,4421,390705,1174,404383,640,173392,534,230991
GoogleHome (FR) ,41400,12922,5731640,6786,1020191,6136,4711449,8633,837929,4768,484190,3865,353739,4289,4893711,2018,536001,2271,4357710
GoogleHome (FR) ,43200,7813,777770,4271,444079,3542,333691,7015,604696,3828,336207,3187,268489,798,173074,443,107872,355,65202
GoogleHome (FR) ,45000,8749,937269,4507,496887,4242,440382,7907,743404,4044,382160,3863,361244,842,193865,463,114727,379,79138
GoogleHome (FR) ,46800,8697,925384,4727,555405,3970,369979,7826,726208,4250,426756,3576,299452,871,199176,477,128649,394,70527
GoogleHome (FR) ,48600,8895,1129771,4934,642090,3961,487681,8058,895360,4478,530234,3580,365126,837,234411,456,111856,381,122555
GoogleHome (FR) ,50400,8313,913150,4463,495035,3850,418115,7392,649761,3959,369943,3433,279818,921,263389,504,125092,417,138297
GoogleHome (FR) ,52200,7988,786667,4261,441738,3727,344929,7232,626404,3845,340004,3387,286400,756,160263,416,101734,340,58529
GoogleHome (FR) ,54000,8929,1035405,4678,519951,4251,515454,7875,683276,4109,374857,3766,308419,1054,352129,569,145094,485,207035
GoogleHome (FR) ,55800,9214,1021206,5007,577982,4207,443224,8246,784295,4470,443023,3776,341272,968,236911,537,134959,431,101952
GoogleHome (FR) ,57600,10409,1132866,5459,624950,4950,507916,9520,918125,4973,504152,4547,413973,889,214741,486,120798,403,93943
GoogleHome (FR) ,59400,10065,1115803,5234,602398,4831,513405,9273,945356,4800,501857,4473,443499,792,170447,434,100541,358,69906
GoogleHome (FR) ,61200,10025,957438,5121,521190,4904,436248,9240,789612,4693,413923,4547,375689,785,167826,428,107267,357,60559
GoogleHome (FR) ,63000,8877,981874,4637,543712,4240,438162,8090,808979,4206,443510,3884,365469,787,172895,431,100202,356,72693
GoogleHome (FR) ,64800,8503,1434919,4368,523304,4135,911615,7360,736871,3777,404214,3583,332657,1143,698048,591,119090,552,578958
GoogleHome (FR) ,66600,7946,844835,4123,461911,3823,382924,7172,678870,3701,362842,3471,316028,774,165965,422,99069,352,66896
GoogleHome (FR) ,68400,8321,948037,4301,522799,4020,425238,7610,800672,3914,431853,3696,368819,711,147365,387,90946,324,56419
GoogleHome (FR) ,70200,9279,1213856,4743,643274,4536,570582,8274,965809,4191,504879,4083,460930,1005,248047,552,138395,453,109652
GoogleHome (FR) ,72000,8425,898594,4327,480543,4098,418051,7577,713586,3864,373628,3713,339958,848,185008,463,106915,385,78093
GoogleHome (FR) ,73800,8421,1024363,4433,538699,3988,485664,7560,815640,3958,429846,3602,385794,861,208723,475,108853,386,99870
GoogleHome (FR) ,75600,6206,773195,3363,467471,2843,305724,5426,610768,2939,369765,2487,241003,780,162427,424,97706,356,64721
GoogleHome (FR) ,77400,8325,907865,4311,511999,4014,395866,7632,767464,3929,423823,3703,343641,693,140401,382,88176,311,52225
GoogleHome (FR) ,79200,7235,849781,3814,486740,3421,363041,6368,661030,3336,377787,3032,283243,867,188751,478,108953,389,79798
GoogleHome (FR) ,81000,10778,1938778,5611,756442,5167,1182336,9238,1045962,4786,540575,4452,505387,1540,892816,825,215867,715,676949
GoogleHome (FR) ,82800,9421,1176958,4992,581776,4429,595182,8592,1005000,4529,472116,4063,532884,829,171958,463,109660,366,62298
GoogleHome (FR) ,84600,8884,1196678,4792,556623,4092,640055,7806,930184,4185,408359,3621,521825,1078,266494,607,148264,471,118230
GoogleHome (FR) ,86400,8570,1078405,4605,499088,3965,579317,7671,885832,4101,382270,3570,503562,899,192573,504,116818,395,75755
GoogleHome (FR) ,88200,8568,1073478,4569,484741,3999,588737,7620,868845,4039,366211,3581,502634,948,204633,530,118530,418,86103
GoogleHome (FR) ,90000,9075,1188885,5067,602065,4008,586820,8156,984960,4554,473526,3602,511434,919,203925,513,128539,406,75386
GoogleHome (FR) ,91800,8666,1115717,4681,522216,3985,593501,7782,910352,4185,403223,3597,507129,884,205365,496,118993,388,86372
GoogleHome (FR) ,93600,8700,1106832,4759,525015,3941,581817,7879,925075,4299,421533,3580,503542,821,181757,460,103482,361,78275
GoogleHome (FR) ,95400,8354,1051370,4476,477376,3878,573994,7544,872791,4023,372960,3521,499831,810,178579,453,104416,357,74163
GoogleHome (FR) ,97200,8365,1033991,4491,480228,3874,553763,7572,875787,4046,376612,3526,499175,793,158204,445,103616,348,54588
GoogleHome (FR) ,99000,8646,1132877,4629,526083,4017,606794,7595,887556,4042,379740,3553,507816,1051,245321,587,146343,464,98978
GoogleHome (FR) ,100800,8999,1185484,5069,602368,3930,583116,8068,982190,4548,482344,3520,499846,931,203294,521,120024,410,83270
GoogleHome (FR) ,102600,8586,1108187,4645,504458,3941,603729,7676,889713,4129,388143,3547,501570,910,218474,516,116315,394,102159
GoogleHome (FR) ,104400,8923,1609122,4909,550325,4014,1058797,7846,930864,4313,430293,3533,500571,1077,678258,596,120032,481,558226
GoogleHome (FR) ,106200,8550,1065014,4675,514923,3875,550091,7786,914826,4245,413670,3541,501156,764,150188,430,101253,334,48935
GoogleHome (FR) ,108000,8311,1029608,4419,463726,3892,565882,7473,857352,3944,356916,3529,500436,838,172256,475,106810,363,65446
GoogleHome (FR) ,109800,8399,1038057,4496,477351,3903,560706,7570,869255,4029,370098,3541,499157,829,168802,467,107253,362,61549
GoogleHome (FR) ,111600,8496,1052136,4606,498430,3890,553706,7680,891015,4148,392879,3532,498136,816,161121,458,105551,358,55570
GoogleHome (FR) ,113400,8461,1079878,4484,484923,3977,594955,7480,851997,3936,350601,3544,501396,981,227881,548,134322,433,93559
GoogleHome (FR) ,115200,8593,1103875,4686,525619,3907,578256,7747,913937,4222,413850,3525,500087,846,189938,464,111769,382,78169
GoogleHome (FR) ,117000,8576,1073628,4696,517283,3880,556345,7826,920888,4280,419508,3546,501380,750,152740,416,97775,334,54965
GoogleHome (FR) ,118800,8434,1048806,4591,500740,3843,548066,7744,911810,4212,411140,3532,500670,690,136996,379,89600,311,47396
GoogleHome (FR) ,120600,8174,1009643,4330,453742,3844,555901,7493,853866,3950,352540,3543,501326,681,155777,380,101202,301,54575
GoogleHome (FR) ,122400,11666,5642779,5769,913398,5897,4729381,7697,798951,3950,403202,3747,395749,3969,4843828,1819,510196,2150,4333632
GoogleHome (FR) ,124200,7140,731291,3852,415882,3288,315409,6292,532847,3378,293392,2914,239455,848,198444,474,122490,374,75954
GoogleHome (FR) ,126000,7303,732425,4082,453343,3221,279082,6685,622437,3745,375049,2940,247388,618,109988,337,78294,281,31694
GoogleHome (FR) ,127800,6965,691390,3728,396335,3237,295055,6202,523934,3301,284264,2901,239670,763,167456,427,112071,336,55385
GoogleHome (FR) ,129600,6966,661622,3720,372037,3246,289585,6257,522734,3331,281564,2926,241170,709,138888,389,90473,320,48415
GoogleHome (FR) ,131400,7266,738146,3985,435209,3281,302937,6498,579167,3563,337328,2935,241839,768,158979,422,97881,346,61098
GoogleHome (FR) ,133200,7061,682747,3820,393004,3241,289743,6345,536346,3427,295710,2918,240636,716,146401,393,97294,323,49107
GoogleHome (FR) ,135000,6880,652833,3658,364873,3222,287960,6186,514790,3277,274594,2909,240196,694,138043,381,90279,313,47764
GoogleHome (FR) ,136800,7216,740904,3908,422270,3308,318634,6341,540925,3421,300031,2920,240894,875,199979,487,122239,388,77740
GoogleHome (FR) ,138600,7324,750361,3985,428416,3339,321945,6491,564902,3527,321414,2964,243488,833,185459,458,107002,375,78457
GoogleHome (FR) ,140400,6873,627888,3622,344013,3251,283875,6205,499755,3255,257139,2950,242616,668,128133,367,86874,301,41259
GoogleHome (FR) ,142200,7117,701789,3867,409688,3250,292101,6400,558829,3470,319482,2930,239347,717,142960,397,90206,320,52754
GoogleHome (FR) ,144000,7457,1234011,4069,439455,3388,794556,6460,567824,3539,326956,2921,240868,997,666187,530,112499,467,553688
GoogleHome (FR) ,145800,6920,655911,3643,352859,3277,303052,6148,495218,3218,253792,2930,241426,772,160693,425,99067,347,61626
GoogleHome (FR) ,147600,7114,688581,3845,398333,3269,290248,6413,549159,3460,306832,2953,242327,701,139422,385,91501,316,47921
GoogleHome (FR) ,149400,7113,695673,3846,405133,3267,290540,6416,557245,3462,309076,2954,248169,697,138428,384,96057,313,42371
GoogleHome (FR) ,151200,7450,790305,4107,459407,3343,330898,6555,579652,3612,337413,2943,242239,895,210653,495,121994,400,88659
GoogleHome (FR) ,153000,7255,727306,3944,415253,3311,312053,6438,553303,3493,310846,2945,242457,817,174003,451,104407,366,69596
GoogleHome (FR) ,154800,7913,863912,4617,562035,3296,301877,7090,687043,4166,448562,2924,238481,823,176869,451,113473,372,63396
GoogleHome (FR) ,156600,7492,783048,4151,461084,3341,321964,6694,611686,3712,359302,2982,252384,798,171362,439,101782,359,69580
GoogleHome (FR) ,158400,7151,688517,3887,398979,3264,289538,6446,550523,3501,309214,2945,241309,705,137994,386,89765,319,48229
GoogleHome (FR) ,160200,7100,704275,3819,399435,3281,304840,6338,541547,3399,299575,2939,241972,762,162728,420,99860,342,62868
GoogleHome (FR) ,162000,7066,680412,3806,390216,3260,290196,6357,541905,3417,299932,2940,241973,709,138507,389,90284,320,48223
GoogleHome (FR) ,163800,7561,1264386,4134,456069,3427,808317,6525,582448,3585,341978,2940,240470,1036,681938,549,114091,487,567847
GoogleHome (FR) ,165600,7175,732370,3791,389830,3384,342540,6201,501198,3250,258470,2951,242728,974,231172,541,131360,433,99812
GoogleHome (FR) ,167400,7134,709831,3853,402247,3281,307584,6351,545836,3420,304348,2931,241488,783,163995,433,97899,350,66096
