Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
NestMini (FR) ,0,9746,1183292,5218,662949,4528,520343,8574,875487,4603,488497,3971,386990,1172,307805,615,174452,557,133353
NestMini (FR) ,1800,9694,1132021,5178,624835,4516,507186,8708,894571,4670,489466,4038,405105,986,237450,508,135369,478,102081
NestMini (FR) ,3600,9195,1105659,4951,553942,4244,551717,8215,836660,4437,421866,3778,414794,980,268999,514,132076,466,136923
NestMini (FR) ,5400,8614,1181553,4493,560630,4121,620923,7493,882682,3906,422225,3587,460457,1121,298871,587,138405,534,160466
NestMini (FR) ,7200,8203,1202593,4516,630527,3687,572066,6868,844711,3825,439409,3043,405302,1335,357882,691,191118,644,166764
NestMini (FR) ,9000,6647,958934,3652,478608,2995,480326,5685,742706,3148,349600,2537,393106,962,216228,504,129008,458,87220
NestMini (FR) ,10800,11471,2084755,6119,776749,5352,1308006,9648,1083603,5222,559319,4426,524284,1823,1001152,897,217430,926,783722
NestMini (FR) ,12600,7178,1202656,3824,540296,3354,662360,5632,766809,3038,357172,2594,409637,1546,435847,786,183124,760,252723
NestMini (FR) ,14400,8348,1342943,4415,581872,3933,761071,6705,848635,3616,393687,3089,454948,1643,494308,799,188185,844,306123
NestMini (FR) ,16200,6188,1099240,3469,483932,2719,615308,5175,789162,2976,394440,2199,394722,1013,310078,493,89492,520,220586
NestMini (FR) ,18000,8063,1067524,4388,548063,3675,519461,7187,872341,3926,436565,3261,435776,876,195183,462,111498,414,83685
NestMini (FR) ,19800,8717,1656518,4559,603860,4158,1052658,7037,852618,3753,400277,3284,452341,1680,803900,806,203583,874,600317
NestMini (FR) ,21600,9566,1791258,5131,587923,4435,1203335,7911,868075,4284,428182,3627,439893,1655,923183,847,159741,808,763442
NestMini (FR) ,23400,7045,1096005,3778,483119,3267,612886,6053,794659,3246,355464,2807,439195,992,301346,532,127655,460,173691
NestMini (FR) ,25200,4703,743085,2546,362829,2157,380256,3721,556659,2025,250340,1696,306319,982,186426,521,112489,461,73937
NestMini (FR) ,27000,8470,1277865,4397,545624,4073,732241,7281,900399,3796,406429,3485,493970,1189,377466,601,139195,588,238271
NestMini (FR) ,28800,11515,1375536,6062,699668,5453,675868,10260,1039781,5407,524314,4853,515467,1255,335755,655,175354,600,160401
NestMini (FR) ,30600,10379,1220163,5572,681699,4807,538464,9188,949042,4952,507073,4236,441969,1191,271121,620,174626,571,96495
NestMini (FR) ,32400,10274,1160543,5593,637053,4681,523490,9232,897100,5050,493643,4182,403457,1042,263443,543,143410,499,120033
NestMini (FR) ,34200,9692,1136056,5294,637657,4398,498399,8597,890271,4728,491311,3869,398960,1095,245785,566,146346,529,99439
NestMini (FR) ,36000,10190,1134057,5499,631316,4691,502741,9141,897043,4959,488717,4182,408326,1049,237014,540,142599,509,94415
