StartTime,Frames,Bytes
0,9463,1059447
1800,9589,1085034
3600,9025,990849
5400,8233,1050136
7200,7744,1041874
9000,6402,887070
10800,10508,1287515
12600,6564,994232
14400,7538,1038522
16200,6070,987896
18000,7902,1049114
19800,8276,1565440
21600,8778,1073468
23400,6778,951320
25200,4600,753384
27000,8244,1122075
28800,11250,1266443
30600,10067,1145671
32400,10156,1112016
34200,9453,1065384
36000,10021,1080243
37800,9788,1020406
39600,10266,1231192
41400,12935,5750721
43200,7813,777770
45000,8749,937269
46800,8697,925384
48600,8905,1143158
50400,8314,913247
52200,7989,786764
54000,8930,1035509
55800,9214,1021206
57600,10411,1133164
59400,10065,1115803
61200,10025,957438
63000,8880,985043
64800,8507,1439008
66600,7948,847313
68400,8323,951065
70200,9280,1213953
72000,8428,901719
73800,8421,1024363
75600,6208,773875
77400,8326,907962
79200,7235,849781
81000,10783,1941928
82800,9422,1177055
84600,8885,1196775
86400,8570,1078405
88200,8568,1073478
90000,9075,1188885
91800,8667,1115814
93600,8701,1106898
95400,8355,1051467
97200,8365,1033991
99000,8646,1132877
100800,8999,1185484
102600,8586,1108187
104400,8924,1609219
106200,8550,1065014
108000,8311,1029608
109800,8399,1038057
111600,8497,1052233
113400,8461,1079878
115200,8594,1103941
117000,8576,1073628
118800,8435,1048903
120600,8174,1009643
122400,11674,5643291
124200,7141,731388
126000,7303,732425
127800,6966,691487
129600,6966,661622
131400,7267,738243
133200,7061,682747
135000,6881,652930
136800,7216,740904
138600,7324,750361
140400,6873,627888
142200,7117,701789
144000,7457,1234011
145800,6920,655911
147600,7114,688581
149400,7113,695673
151200,7450,790305
153000,7255,727306
154800,7913,863912
156600,7493,783145
158400,7151,688517
160200,7101,704372
162000,7066,680412
163800,7561,1264386
165600,7176,732467
167400,7134,709831
169200,7097,685474
171000,7383,798593
172800,7001,664604
174600,7232,733752
176400,6985,662140
178200,7160,704073
180000,7540,820520
181800,7945,902575
183600,7007,685178
185400,7176,740905
187200,6931,660872
189000,7461,1224549
190800,7060,680649
192600,7102,699627
194400,7335,766434
196200,6990,681535
198000,7355,727288
199800,7482,769407
201600,7569,787758
203400,7177,724991
205200,7074,677497
207000,7741,1279799
208800,7472,819188
210600,7309,763942
212400,7826,857161
214200,7314,749783
216000,7345,716933
217800,11377,5564981
219600,7452,764383
221400,7990,889651
223200,7071,681078
225000,7187,720790
226800,6990,675205
228600,7023,686227
230400,7104,679518
232200,7309,770601
234000,7336,751260
235800,7307,735574
237600,7573,1227592
239400,7002,655440
241200,7269,719503
243000,7434,888411
244800,7143,686145
246600,7227,752773
248400,7155,722077
250200,7087,706518
252000,7413,741728
253800,7040,677698
