StartTime,Frames,Bytes
0,434,68179
1800,319,58447
3600,312,60236
5400,368,61760
7200,427,69202
9000,305,53509
10800,304,51625
12600,258,46680
14400,388,62721
16200,300,54570
18000,386,58725
19800,418,67865
21600,333,55513
23400,322,57382
25200,293,54634
27000,426,65010
28800,316,55051
30600,416,65747
32400,276,52346
34200,349,57354
36000,343,58015
37800,293,53758
39600,296,45699
41400,313,49659
43200,359,61698
45000,299,56856
46800,358,60496
48600,365,66360
50400,328,63916
52200,378,67747
54000,371,67375
55800,329,64146
57600,310,59776
59400,375,66787
61200,383,66229
63000,392,69763
64800,429,74452
66600,325,55948
68400,419,67229
70200,391,60047
72000,395,59420
73800,403,57212
75600,400,50831
77400,342,46214
79200,379,54885
81000,400,52908
82800,331,40013
84600,457,57524
86400,340,39437
88200,416,52582
90000,315,42039
91800,230,30317
93600,298,34729
95400,326,35336
97200,319,33700
99000,300,38474
100800,153,19736
102600,350,39958
104400,321,36698
106200,300,33462
108000,387,45891
109800,267,33390
111600,318,33839
113400,346,42848
115200,307,39586
117000,298,33073
118800,450,48994
120600,427,53804
122400,291,31528
124200,369,40404
126000,317,37622
127800,339,39956
129600,375,46647
131400,354,39159
133200,361,42414
135000,348,42451
136800,268,29888
138600,308,35911
140400,347,50560
142200,302,38482
144000,308,34905
145800,356,42415
147600,352,40500
149400,263,31809
151200,312,37385
153000,260,34330
154800,160,17607
156600,292,33106
158400,209,23270
160200,286,31058
162000,279,31082
163800,230,25369
165600,316,36248
167400,244,28839
169200,152,17374
171000,299,32226
172800,249,27311
174600,187,19894
176400,279,30506
178200,198,22509
180000,139,15833
181800,143,15749
183600,211,23740
185400,185,18560
187200,221,25213
189000,202,20554
190800,283,30605
192600,172,17888
194400,218,24013
196200,222,23310
198000,239,24883
199800,141,13937
201600,210,22878
203400,227,25006
205200,186,22491
207000,209,22192
208800,361,41157
210600,150,16018
212400,70,6764
214200,232,24413
216000,227,23478
217800,187,19394
219600,83,9831
221400,83,8344
223200,274,27659
225000,139,14378
226800,277,29740
228600,258,27704
230400,253,27960
232200,195,19082
234000,117,12528
235800,186,20022
237600,152,17329
239400,205,21046
241200,185,19003
243000,194,20543
244800,278,29824
246600,236,24638
248400,271,27264
250200,156,15724
252000,201,20598
253800,173,18417
