Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (EU),0,200,54767,118,49221,82,5546
TPLink (EU),1800,279,67226,155,58938,124,8288
TPLink (EU),3600,230,60132,133,53577,97,6555
TPLink (EU),5400,165,49182,103,44865,62,4317
TPLink (EU),7200,212,56041,122,50040,90,6001
TPLink (EU),9000,227,59970,133,53577,94,6393
TPLink (EU),10800,171,49603,106,45051,65,4552
TPLink (EU),12600,205,55723,122,50040,83,5683
TPLink (EU),14400,229,60058,133,53577,96,6481
TPLink (EU),16200,159,48826,102,44775,57,4051
TPLink (EU),18000,174,50416,108,45774,66,4642
TPLink (EU),19800,197,54635,118,49221,79,5414
TPLink (EU),21600,165,49202,103,44865,62,4337
TPLink (EU),23400,172,50246,107,45684,65,4562
TPLink (EU),25200,185,52752,113,47769,72,4983
TPLink (EU),27000,174,50324,107,45684,67,4640
TPLink (EU),28800,231,59577,132,52944,99,6633
TPLink (EU),30600,245,61538,138,54450,107,7088
TPLink (EU),32400,209,55899,122,50040,87,5859
TPLink (EU),34200,274,66839,152,58752,122,8087
TPLink (EU),36000,163,49094,103,44865,60,4229
TPLink (EU),37800,199,54713,118,49221,81,5492
TPLink (EU),39600,212,55249,122,49111,90,6138
TPLink (EU),41400,170,48823,102,44232,68,4591
TPLink (EU),43200,210,55953,122,50040,88,5913
TPLink (EU),45000,200,52990,115,47322,85,5668
TPLink (EU),46800,201,54791,118,49221,83,5570
TPLink (EU),48600,202,54855,118,49221,84,5634
TPLink (EU),50400,255,62125,140,54582,115,7543
TPLink (EU),52200,172,49500,103,44865,69,4635
TPLink (EU),54000,169,49378,103,44865,66,4513
TPLink (EU),55800,246,61592,137,54396,109,7196
TPLink (EU),57600,239,61284,137,54396,102,6888
TPLink (EU),59400,241,61362,137,54396,104,6966
TPLink (EU),61200,211,55997,122,50040,89,5957
TPLink (EU),63000,199,54723,118,49221,81,5502
TPLink (EU),64800,183,50740,107,45684,76,5056
TPLink (EU),66600,172,49480,103,44865,69,4615
TPLink (EU),68400,179,50554,107,45684,72,4870
TPLink (EU),70200,165,49172,103,44865,62,4307
TPLink (EU),72000,166,49226,103,44865,63,4361
TPLink (EU),73800,169,49348,103,44865,66,4483
TPLink (EU),75600,198,54090,117,48588,81,5502
TPLink (EU),77400,207,55222,121,49407,86,5815
TPLink (EU),79200,175,50388,107,45684,68,4704
TPLink (EU),81000,166,48647,102,44232,64,4415
TPLink (EU),82800,215,56173,122,50040,93,6133
TPLink (EU),84600,242,60630,133,53577,109,7053
TPLink (EU),86400,209,55143,118,49221,91,5922
TPLink (EU),88200,187,50896,107,45684,80,5212
TPLink (EU),90000,188,50950,108,45738,80,5212
TPLink (EU),91800,175,49612,103,44865,72,4747
TPLink (EU),93600,173,48935,102,44232,71,4703
TPLink (EU),95400,177,50289,104,45498,73,4791
TPLink (EU),97200,222,55892,121,49407,101,6485
TPLink (EU),99000,219,56349,122,50040,97,6309
TPLink (EU),100800,202,54845,118,49221,84,5624
TPLink (EU),102600,219,56349,122,50040,97,6309
TPLink (EU),104400,248,61660,138,54450,110,7210
TPLink (EU),106200,287,66832,151,58119,136,8713
TPLink (EU),108000,175,49612,103,44865,72,4747
TPLink (EU),109800,228,57491,126,50859,102,6632
TPLink (EU),111600,173,49534,103,44865,70,4669
TPLink (EU),113400,176,49656,103,44865,73,4791
TPLink (EU),115200,204,54923,118,49221,86,5702
TPLink (EU),117000,173,49442,102,44775,71,4667
TPLink (EU),118800,249,61105,136,53763,113,7342
TPLink (EU),120600,187,50896,107,45684,80,5212
TPLink (EU),122400,173,47767,100,42966,73,4801
TPLink (EU),124200,177,50289,104,45498,73,4791
TPLink (EU),126000,181,50632,107,45684,74,4948
TPLink (EU),127800,177,50076,105,45202,72,4874
TPLink (EU),129600,222,56481,122,50040,100,6441
TPLink (EU),131400,175,49642,103,44865,72,4777
TPLink (EU),133200,179,49808,103,44865,76,4943
TPLink (EU),135000,180,49842,103,44865,77,4977
TPLink (EU),136800,280,67103,153,58806,127,8297
TPLink (EU),138600,216,56207,122,50040,94,6167
TPLink (EU),140400,189,50984,107,45684,82,5300
TPLink (EU),142200,176,49676,103,44865,73,4811
TPLink (EU),144000,187,50916,108,45738,79,5178
TPLink (EU),145800,176,49656,103,44865,73,4791
TPLink (EU),147600,207,54456,116,48534,91,5922
TPLink (EU),149400,226,57413,126,50859,100,6554
TPLink (EU),151200,210,55187,117,49167,93,6020
TPLink (EU),153000,217,56251,122,50040,95,6211
TPLink (EU),154800,315,72226,167,62553,148,9673
TPLink (EU),156600,211,56556,121,50565,90,5991
TPLink (EU),158400,208,54520,117,48588,91,5932
TPLink (EU),160200,219,56349,122,50040,97,6309
TPLink (EU),162000,173,48935,101,44178,72,4757
TPLink (EU),163800,249,61115,136,53763,113,7352
TPLink (EU),165600,217,56840,123,50673,94,6167
TPLink (EU),167400,189,50994,107,45684,82,5310
TPLink (EU),169200,294,70232,159,61470,135,8762
TPLink (EU),171000,226,56814,125,50226,101,6588
TPLink (EU),172800,216,55618,121,49407,95,6211
