StartTime,Frames,Bytes
0,80385,78807148
1800,100,18018
3600,112,19920
5400,112,38918
7200,105,18348
9000,101,18359
10800,100,18018
12600,98,17815
14400,99,17952
16200,101,18359
18000,99,17952
19800,98,17815
21600,99,17952
23400,101,18359
25200,96,17408
27000,101,18359
28800,99,17952
30600,101,18359
32400,96,17408
34200,101,18359
36000,99,17952
37800,101,18359
39600,96,17408
41400,101,18359
43200,99,17952
45000,98,17815
46800,99,17952
48600,101,18359
50400,99,17952
52200,100,17947
54000,99,17952
55800,101,18359
57600,99,17952
59400,99,17881
61200,118,31763
63000,155,75408
64800,115,31356
66600,5,722
68400,0,0
70200,2,407
72000,0,0
73800,2,407
75600,0,0
77400,2,407
79200,11,1042
81000,19,1966
82800,24,7785
84600,85,36767
86400,104,18557
88200,102,18162
90000,104,18211
91800,100,18030
93600,105,18623
95400,100,18018
97200,100,17947
99000,99,17952
100800,103,18491
102600,98,17540
104400,104,18557
106200,106,18426
108000,103,18491
109800,105,18014
111600,102,18425
113400,102,18150
115200,101,18013
117000,99,17952
118800,101,18359
120600,101,18084
122400,102,18091
124200,101,18084
126000,101,18359
127800,101,18096
129600,99,17881
131400,99,17952
133200,101,18359
135000,97,17474
136800,101,18359
138600,99,17952
140400,102,18425
142200,97,17474
144000,102,18425
145800,101,18084
147600,101,18359
149400,98,17540
151200,103,18491
153000,104,18282
154800,98,17815
156600,99,17952
158400,101,18359
160200,102,18150
162000,100,17947
163800,102,18150
165600,102,18425
167400,100,18018
169200,98,17815
171000,121,26145
172800,124,32929
174600,100,17672
176400,104,18557
178200,101,18084
180000,103,18491
181800,98,17540
183600,102,18425
185400,101,18084
187200,99,17881
189000,100,18018
190800,105,18623
192600,100,18030
194400,100,17947
196200,104,18282
198000,103,18491
199800,101,18084
201600,437,183144
203400,101,18096
205200,104,18557
207000,103,17882
208800,107,18767
210600,104,18282
212400,101,18359
214200,98,17540
216000,103,18491
217800,102,18150
219600,101,18359
221400,98,17540
223200,101,18359
225000,103,18228
226800,103,18145
228600,102,18150
230400,107,18755
232200,103,18216
234000,102,18079
235800,101,18084
237600,103,18491
239400,17006,17333310
241200,17444,17803174
243000,99,17952
244800,5931,6170630
246600,21723,22550153
248400,9882,9947169
250200,9804,10144110
252000,105,18623
253800,24188,25286078
255600,5981,5943531
257400,122,26211
259200,34812,34803964
261000,6,1088
