StartTime,Frames,Bytes
0,369,102528
1800,212,56051
3600,267,65942
5400,230,60122
7200,186,51628
9000,200,54757
10800,206,55767
12600,192,53806
14400,206,55767
16200,198,54659
18000,204,55689
19800,164,49220
21600,197,54635
23400,174,50344
25200,163,49104
27000,160,48363
28800,208,55865
30600,166,48647
32400,265,65687
34200,242,61396
36000,276,66917
37800,163,49104
39600,176,50422
41400,238,60042
43200,176,48884
45000,199,54713
46800,198,53491
48600,211,55398
50400,170,49402
52200,276,66338
54000,171,49446
55800,173,49564
57600,254,62690
59400,221,58980
61200,262,63808
63000,167,49260
64800,240,61318
66600,172,49510
68400,182,50676
70200,171,49446
72000,166,49216
73800,164,49128
75600,181,50642
77400,198,54090
79200,196,53982
81000,178,50520
82800,174,49755
84600,201,54801
86400,253,61870
88200,209,55143
90000,188,50940
91800,174,49486
93600,175,49612
95400,174,49568
97200,186,50852
99000,202,53500
100800,228,57491
102600,205,54977
104400,175,49632
106200,259,62900
108000,289,67509
109800,215,55574
111600,176,49656
113400,216,56806
115200,175,49612
117000,176,49656
118800,224,57325
120600,207,55055
122400,208,54510
124200,186,49095
126000,173,49524
127800,173,49524
129600,182,50676
131400,215,55793
133200,175,49642
135000,179,49808
136800,190,51038
138600,250,61738
140400,247,61616
142200,178,49744
144000,176,49676
145800,187,50906
147600,177,49710
149400,174,49558
151200,215,55574
153000,222,56491
154800,218,56285
156600,340,77194
158400,217,56987
160200,218,55716
162000,207,55055
163800,175,49622
165600,252,61836
167400,223,56682
169200,179,49798
171000,250,61738
172800,272,65396
174600,174,49568
176400,245,61528
178200,206,54442
180000,213,56075
181800,257,62822
183600,249,61694
185400,217,56251
187200,173,48935
189000,207,55654
190800,179,49788
192600,218,56223
194400,233,60234
196200,219,56339
198000,248,61650
199800,187,52663
201600,233,58497
203400,205,54967
205200,213,56075
207000,210,55197
208800,206,55021
210600,228,57491
212400,205,54378
214200,302,71736
216000,186,50273
217800,175,49612
219600,245,60340
221400,235,59733
223200,287,68157
225000,208,55099
226800,216,56227
228600,210,54608
230400,177,49710
232200,183,50141
234000,217,56251
235800,240,60542
237600,180,49410
239400,210,56375
241200,177,49121
243000,207,54466
244800,213,55486
246600,240,60562
248400,183,50730
250200,247,61017
252000,175,49622
253800,208,55099
255600,240,60542
257400,178,49195
259200,321,80704
261000,6,2628
