StartTime,Frames,Bytes
0,236,83156
1800,181,75451
3600,173,74965
5400,174,73970
7200,176,74058
9000,180,74408
10800,174,73970
12600,168,70649
14400,175,73005
16200,182,76524
18000,171,73838
19800,174,73970
21600,174,73990
23400,173,72907
25200,177,73257
27000,171,73838
28800,178,74166
30600,177,73103
32400,187,76754
34200,176,74058
36000,182,78398
37800,172,73882
39600,179,73325
41400,174,71952
43200,181,72260
45000,174,72879
46800,183,73521
48600,180,75253
50400,179,72172
52200,181,74318
54000,187,74716
55800,179,74190
57600,176,74058
59400,174,75009
61200,178,74300
63000,179,73191
64800,175,74014
66600,177,74102
68400,186,73653
70200,178,72108
72000,180,74234
73800,176,74058
75600,181,74432
77400,178,77203
79200,178,77203
81000,177,74102
82800,178,73301
84600,177,74102
86400,194,77927
88200,190,76712
90000,193,74960
91800,189,74650
93600,187,74542
95400,184,73391
97200,189,73765
99000,188,73567
100800,191,74758
102600,183,74366
104400,186,73633
106200,187,75581
108000,195,79989
109800,184,73391
111600,189,73765
113400,184,76448
115200,187,74542
117000,190,74786
118800,185,75627
120600,188,75635
122400,189,75649
124200,186,71441
126000,187,74696
127800,182,73303
129600,186,74518
131400,188,74586
133200,185,73589
135000,188,74586
136800,191,74718
138600,186,74498
140400,183,74386
142200,193,74960
144000,186,73499
145800,187,73523
147600,192,74802
149400,190,74828
151200,186,75537
153000,191,74738
154800,189,75649
156600,181,75451
158400,176,74058
160200,184,73391
162000,187,75561
163800,191,74892
165600,190,78750
167400,184,76448
169200,187,73523
171000,193,79036
172800,189,77687
174600,182,74230
176400,183,77423
178200,186,74652
180000,184,73411
181800,178,73127
183600,186,74518
185400,189,75803
187200,185,73435
189000,183,74366
190800,188,73567
192600,193,78017
194400,178,74146
196200,188,75605
198000,184,74410
199800,187,74696
201600,179,74190
203400,184,74410
205200,181,72250
207000,193,75999
208800,182,73303
210600,185,74454
212400,185,74454
214200,183,78596
216000,187,73543
217800,187,74542
219600,180,72196
221400,186,75671
223200,179,75209
225000,187,75561
226800,183,75385
228600,189,74630
230400,190,74828
232200,185,74454
234000,187,75561
235800,187,75561
237600,183,71463
239400,187,76600
241200,189,73611
243000,188,75605
244800,181,71375
246600,189,77707
248400,181,72240
250200,185,74484
252000,189,74794
253800,187,74542
255600,189,77687
257400,188,73567
259200,254,93430
261000,12,4844
