Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestCamera (EU),0,421,43425,209,25708,212,17717
NestCamera (EU),1800,437,73439,228,46060,209,27379
NestCamera (EU),3600,470,48410,235,28830,235,19580
NestCamera (EU),5400,468,48204,234,28764,234,19440
NestCamera (EU),7200,470,48410,235,28830,235,19580
NestCamera (EU),9000,249,25709,123,15148,126,10561
NestCamera (EU),10800,567,72756,289,41951,278,30805
NestCamera (EU),12600,470,48410,235,28830,235,19580
NestCamera (EU),14400,468,48204,234,28764,234,19440
NestCamera (EU),16200,470,48410,235,28830,235,19580
NestCamera (EU),18000,319,46923,165,26399,154,20524
NestCamera (EU),19800,468,48204,234,28764,234,19440
NestCamera (EU),21600,470,48410,235,28830,235,19580
NestCamera (EU),23400,468,48204,234,28764,234,19440
NestCamera (EU),25200,441,45411,219,26886,222,18525
NestCamera (EU),27000,372,52288,192,29639,180,22649
NestCamera (EU),28800,468,48204,234,28764,234,19440
NestCamera (EU),30600,470,48410,235,28830,235,19580
NestCamera (EU),32400,468,48204,234,28764,234,19440
NestCamera (EU),34200,279,28725,138,16952,141,11773
NestCamera (EU),36000,530,68701,270,39455,260,29246
NestCamera (EU),37800,470,48410,235,28830,235,19580
NestCamera (EU),39600,468,48204,234,28764,234,19440
NestCamera (EU),41400,470,48410,235,28830,235,19580
NestCamera (EU),43200,353,50442,182,28499,171,21943
NestCamera (EU),45000,468,48204,234,28764,234,19440
NestCamera (EU),46800,470,48410,235,28830,235,19580
NestCamera (EU),48600,468,48204,234,28764,234,19440
NestCamera (EU),50400,469,48344,234,28764,235,19580
NestCamera (EU),52200,468,48204,234,28764,234,19440
NestCamera (EU),54000,470,48422,235,28842,235,19580
NestCamera (EU),55800,468,48204,234,28764,234,19440
NestCamera (EU),57600,470,48410,235,28830,235,19580
NestCamera (EU),59400,468,48204,234,28764,234,19440
NestCamera (EU),61200,470,48410,235,28830,235,19580
NestCamera (EU),63000,468,48204,234,28764,234,19440
NestCamera (EU),64800,470,48410,235,28830,235,19580
NestCamera (EU),66600,468,48204,234,28764,234,19440
NestCamera (EU),68400,470,48410,235,28830,235,19580
NestCamera (EU),70200,470,48410,235,28830,235,19580
NestCamera (EU),72000,467,48064,233,28624,234,19440
NestCamera (EU),73800,470,48410,235,28830,235,19580
NestCamera (EU),75600,468,48204,234,28764,234,19440
NestCamera (EU),77400,470,48410,235,28830,235,19580
NestCamera (EU),79200,468,48204,234,28764,234,19440
NestCamera (EU),81000,470,48410,235,28830,235,19580
NestCamera (EU),82800,468,48204,234,28764,234,19440
NestCamera (EU),84600,470,48410,235,28830,235,19580
NestCamera (EU),86400,468,48204,234,28764,234,19440
NestCamera (EU),88200,470,48410,235,28830,235,19580
NestCamera (EU),90000,466,47998,233,28624,233,19374
NestCamera (EU),91800,470,48410,235,28830,235,19580
NestCamera (EU),93600,468,48204,234,28764,234,19440
NestCamera (EU),95400,470,48410,235,28830,235,19580
NestCamera (EU),97200,470,48410,235,28830,235,19580
NestCamera (EU),99000,468,48204,234,28764,234,19440
NestCamera (EU),100800,470,48410,235,28830,235,19580
NestCamera (EU),102600,468,48204,234,28764,234,19440
NestCamera (EU),104400,470,48410,235,28830,235,19580
NestCamera (EU),106200,468,48204,234,28764,234,19440
NestCamera (EU),108000,470,48410,235,28830,235,19580
NestCamera (EU),109800,468,48228,234,28788,234,19440
NestCamera (EU),111600,470,48410,235,28830,235,19580
NestCamera (EU),113400,571,71985,292,41079,279,30906
NestCamera (EU),115200,470,48410,235,28830,235,19580
NestCamera (EU),117000,470,48410,235,28830,235,19580
NestCamera (EU),118800,467,48076,234,28764,233,19312
NestCamera (EU),120600,470,48410,235,28830,235,19580
NestCamera (EU),122400,468,48216,234,28776,234,19440
NestCamera (EU),124200,470,48422,235,28842,235,19580
NestCamera (EU),126000,468,48204,234,28764,234,19440
NestCamera (EU),127800,470,48422,235,28842,235,19580
NestCamera (EU),129600,468,48216,234,28776,234,19440
NestCamera (EU),131400,470,48410,235,28830,235,19580
NestCamera (EU),133200,468,48204,234,28764,234,19440
NestCamera (EU),135000,470,48410,235,28830,235,19580
NestCamera (EU),136800,468,48204,234,28764,234,19440
NestCamera (EU),138600,469,48282,234,28702,235,19580
NestCamera (EU),140400,470,48410,235,28830,235,19580
NestCamera (EU),142200,465,47882,231,28442,234,19440
NestCamera (EU),144000,470,48410,235,28830,235,19580
NestCamera (EU),145800,467,48150,233,28710,234,19440
NestCamera (EU),147600,469,48342,234,28762,235,19580
NestCamera (EU),149400,468,48216,234,28776,234,19440
NestCamera (EU),151200,470,48410,235,28830,235,19580
NestCamera (EU),153000,465,47956,231,28516,234,19440
NestCamera (EU),154800,470,48434,235,28854,235,19580
NestCamera (EU),156600,468,48240,234,28800,234,19440
NestCamera (EU),158400,470,48422,235,28842,235,19580
NestCamera (EU),160200,468,48216,234,28776,234,19440
NestCamera (EU),162000,469,48282,234,28702,235,19580
NestCamera (EU),163800,466,47998,232,28558,234,19440
NestCamera (EU),165600,470,48410,235,28830,235,19580
NestCamera (EU),167400,469,48270,234,28690,235,19580
NestCamera (EU),169200,468,48204,234,28764,234,19440
NestCamera (EU),171000,468,48130,233,28550,235,19580
NestCamera (EU),172800,466,47936,232,28496,234,19440
NestCamera (EU),174600,469,48344,234,28764,235,19580
NestCamera (EU),176400,468,48204,234,28764,234,19440
NestCamera (EU),178200,470,48422,235,28842,235,19580
NestCamera (EU),180000,468,48204,234,28764,234,19440
NestCamera (EU),181800,469,48356,234,28776,235,19580
NestCamera (EU),183600,468,48216,234,28776,234,19440
NestCamera (EU),185400,470,48446,235,28866,235,19580
NestCamera (EU),187200,467,48150,233,28710,234,19440
NestCamera (EU),189000,470,48410,235,28830,235,19580
NestCamera (EU),190800,468,48204,234,28764,234,19440
NestCamera (EU),192600,470,48422,235,28842,235,19580
NestCamera (EU),194400,470,48410,235,28830,235,19580
NestCamera (EU),196200,464,47866,231,28492,233,19374
NestCamera (EU),198000,470,48410,235,28830,235,19580
NestCamera (EU),199800,468,48204,234,28764,234,19440
NestCamera (EU),201600,470,48422,235,28842,235,19580
NestCamera (EU),203400,468,48204,234,28764,234,19440
NestCamera (EU),205200,470,48422,235,28842,235,19580
NestCamera (EU),207000,468,48216,234,28776,234,19440
NestCamera (EU),208800,470,48410,235,28830,235,19580
NestCamera (EU),210600,468,48204,234,28764,234,19440
NestCamera (EU),212400,470,48410,235,28830,235,19580
NestCamera (EU),214200,468,48204,234,28764,234,19440
NestCamera (EU),216000,470,48410,235,28830,235,19580
NestCamera (EU),217800,470,48410,235,28830,235,19580
NestCamera (EU),219600,467,48150,233,28710,234,19440
NestCamera (EU),221400,470,48410,235,28830,235,19580
NestCamera (EU),223200,468,48204,234,28764,234,19440
NestCamera (EU),225000,470,48410,235,28830,235,19580
NestCamera (EU),226800,468,48204,234,28764,234,19440
NestCamera (EU),228600,470,48410,235,28830,235,19580
NestCamera (EU),230400,468,48204,234,28764,234,19440
NestCamera (EU),232200,470,48410,235,28830,235,19580
NestCamera (EU),234000,468,48204,234,28764,234,19440
NestCamera (EU),235800,470,48410,235,28830,235,19580
NestCamera (EU),237600,468,48204,234,28764,234,19440
NestCamera (EU),239400,470,48410,235,28830,235,19580
NestCamera (EU),241200,468,48204,234,28764,234,19440
NestCamera (EU),243000,470,48410,235,28830,235,19580
