StartTime,Frames,Bytes
0,248,77620
1800,248,77620
3600,242,75514
5400,248,77620
7200,248,77620
9000,242,75514
10800,248,77620
12600,248,77620
14400,242,75514
16200,248,77620
18000,240,75406
19800,248,77620
21600,248,77620
23400,242,75514
25200,248,77620
27000,248,77620
28800,242,75514
30600,248,77620
32400,242,75514
34200,248,77620
36000,248,77620
37800,242,75514
39600,248,77620
41400,248,77620
43200,242,75514
45000,248,77620
46800,242,75514
48600,248,77620
50400,248,77620
52200,240,75406
54000,248,77620
55800,248,77620
57600,242,75514
59400,248,77620
61200,242,75514
63000,248,77620
64800,248,77620
66600,242,75514
68400,248,77620
70200,248,77620
72000,242,75514
73800,248,77620
75600,242,75514
77400,248,77620
79200,248,77620
81000,242,75514
82800,248,77620
84600,248,77620
86400,240,75406
88200,248,77620
90000,242,75514
91800,248,77620
93600,248,77620
95400,242,75514
97200,248,77620
99000,248,77620
100800,242,75514
102600,248,77620
104400,242,75514
106200,248,77620
108000,248,77620
109800,242,75514
111600,248,77620
113400,248,77620
115200,242,75514
117000,248,77620
118800,242,75514
120600,248,77620
122400,246,77512
124200,242,75514
126000,248,77620
127800,248,77620
129600,242,75514
131400,248,77620
133200,248,77620
135000,242,75514
136800,248,77620
138600,242,75514
140400,248,77620
142200,248,77620
144000,242,75514
145800,248,77620
147600,248,77620
149400,242,75514
151200,248,77620
153000,242,75514
154800,248,77620
156600,246,77512
158400,242,75514
160200,248,77620
162000,248,77620
163800,242,75514
165600,248,77620
167400,242,75514
169200,248,77620
171000,248,77620
172800,242,75514
174600,248,77620
176400,248,77620
178200,242,75514
180000,248,77620
181800,242,75514
183600,248,77620
185400,248,77620
187200,242,75514
189000,248,77620
190800,248,77620
192600,240,75406
194400,248,77620
196200,242,75514
198000,248,77620
199800,248,77620
201600,242,75514
203400,248,77620
205200,248,77620
207000,242,75514
208800,248,77620
210600,248,77620
212400,242,75514
214200,248,77620
216000,242,75514
217800,248,77620
219600,248,77620
221400,242,75514
223200,248,77620
225000,248,77620
226800,240,75406
228600,248,77620
230400,242,75514
232200,248,77620
234000,248,77620
235800,242,75514
237600,248,77620
239400,248,77620
241200,242,75514
243000,248,77620
244800,242,75514
246600,248,77620
248400,248,77620
250200,242,75514
252000,248,77620
253800,240,75406
