Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DLink (EU),0,6,827,6,827,0,0
DLink (EU),1800,5,722,5,722,0,0
DLink (EU),3600,0,0,0,0,0,0
DLink (EU),5400,2,407,2,407,0,0
DLink (EU),7200,0,0,0,0,0,0
DLink (EU),9000,2,407,2,407,0,0
DLink (EU),10800,0,0,0,0,0,0
DLink (EU),12600,2,407,2,407,0,0
DLink (EU),14400,0,0,0,0,0,0
DLink (EU),16200,2,407,2,407,0,0
DLink (EU),18000,0,0,0,0,0,0
DLink (EU),19800,2,407,2,407,0,0
DLink (EU),21600,0,0,0,0,0,0
DLink (EU),23400,2,407,2,407,0,0
DLink (EU),25200,0,0,0,0,0,0
DLink (EU),27000,2,407,2,407,0,0
DLink (EU),28800,0,0,0,0,0,0
DLink (EU),30600,2,407,2,407,0,0
DLink (EU),32400,0,0,0,0,0,0
DLink (EU),34200,2,407,2,407,0,0
DLink (EU),36000,0,0,0,0,0,0
DLink (EU),37800,2,407,2,407,0,0
DLink (EU),39600,0,0,0,0,0,0
DLink (EU),41400,2,407,2,407,0,0
DLink (EU),43200,0,0,0,0,0,0
DLink (EU),45000,2,407,2,407,0,0
DLink (EU),46800,0,0,0,0,0,0
DLink (EU),48600,2,407,2,407,0,0
DLink (EU),50400,0,0,0,0,0,0
DLink (EU),52200,2,407,2,407,0,0
DLink (EU),54000,0,0,0,0,0,0
DLink (EU),55800,2,407,2,407,0,0
DLink (EU),57600,0,0,0,0,0,0
DLink (EU),59400,6,827,6,827,0,0
DLink (EU),61200,5,722,5,722,0,0
DLink (EU),63000,0,0,0,0,0,0
DLink (EU),64800,2,407,2,407,0,0
DLink (EU),66600,0,0,0,0,0,0
DLink (EU),68400,2,407,2,407,0,0
DLink (EU),70200,0,0,0,0,0,0
DLink (EU),72000,2,407,2,407,0,0
DLink (EU),73800,4,420,4,420,0,0
DLink (EU),75600,9,1142,9,1142,0,0
DLink (EU),77400,12,1260,12,1260,0,0
DLink (EU),79200,5,722,5,722,0,0
DLink (EU),81000,0,0,0,0,0,0
DLink (EU),82800,2,407,2,407,0,0
DLink (EU),84600,0,0,0,0,0,0
DLink (EU),86400,2,407,2,407,0,0
DLink (EU),88200,0,0,0,0,0,0
DLink (EU),90000,2,407,2,407,0,0
DLink (EU),91800,0,0,0,0,0,0
DLink (EU),93600,2,407,2,407,0,0
DLink (EU),95400,0,0,0,0,0,0
DLink (EU),97200,2,407,2,407,0,0
DLink (EU),99000,0,0,0,0,0,0
DLink (EU),100800,2,407,2,407,0,0
DLink (EU),102600,0,0,0,0,0,0
DLink (EU),104400,2,407,2,407,0,0
DLink (EU),106200,0,0,0,0,0,0
DLink (EU),108000,2,407,2,407,0,0
DLink (EU),109800,0,0,0,0,0,0
DLink (EU),111600,2,407,2,407,0,0
DLink (EU),113400,0,0,0,0,0,0
DLink (EU),115200,2,407,2,407,0,0
DLink (EU),117000,0,0,0,0,0,0
DLink (EU),118800,2,407,2,407,0,0
DLink (EU),120600,0,0,0,0,0,0
DLink (EU),122400,2,407,2,407,0,0
DLink (EU),124200,0,0,0,0,0,0
DLink (EU),126000,2,407,2,407,0,0
DLink (EU),127800,0,0,0,0,0,0
DLink (EU),129600,2,407,2,407,0,0
DLink (EU),131400,0,0,0,0,0,0
DLink (EU),133200,2,407,2,407,0,0
DLink (EU),135000,0,0,0,0,0,0
DLink (EU),136800,2,407,2,407,0,0
DLink (EU),138600,0,0,0,0,0,0
DLink (EU),140400,2,407,2,407,0,0
DLink (EU),142200,0,0,0,0,0,0
DLink (EU),144000,2,407,2,407,0,0
DLink (EU),145800,0,0,0,0,0,0
DLink (EU),147600,2,407,2,407,0,0
DLink (EU),149400,0,0,0,0,0,0
DLink (EU),151200,2,407,2,407,0,0
DLink (EU),153000,0,0,0,0,0,0
DLink (EU),154800,2,407,2,407,0,0
DLink (EU),156600,0,0,0,0,0,0
DLink (EU),158400,2,407,2,407,0,0
DLink (EU),160200,0,0,0,0,0,0
DLink (EU),162000,2,407,2,407,0,0
DLink (EU),163800,0,0,0,0,0,0
DLink (EU),165600,2,407,2,407,0,0
DLink (EU),167400,0,0,0,0,0,0
DLink (EU),169200,2,407,2,407,0,0
DLink (EU),171000,0,0,0,0,0,0
DLink (EU),172800,2,407,2,407,0,0
DLink (EU),174600,0,0,0,0,0,0
DLink (EU),176400,2,407,2,407,0,0
DLink (EU),178200,0,0,0,0,0,0
DLink (EU),180000,2,407,2,407,0,0
DLink (EU),181800,0,0,0,0,0,0
DLink (EU),183600,2,407,2,407,0,0
DLink (EU),185400,0,0,0,0,0,0
DLink (EU),187200,2,407,2,407,0,0
DLink (EU),189000,0,0,0,0,0,0
DLink (EU),190800,2,407,2,407,0,0
DLink (EU),192600,0,0,0,0,0,0
DLink (EU),194400,2,407,2,407,0,0
DLink (EU),196200,36,2412,36,2412,0,0
DLink (EU),198000,2,407,2,407,0,0
DLink (EU),199800,0,0,0,0,0,0
DLink (EU),201600,2,407,2,407,0,0
DLink (EU),203400,0,0,0,0,0,0
DLink (EU),205200,2,407,2,407,0,0
DLink (EU),207000,0,0,0,0,0,0
DLink (EU),208800,2,407,2,407,0,0
DLink (EU),210600,0,0,0,0,0,0
DLink (EU),212400,2,407,2,407,0,0
DLink (EU),214200,0,0,0,0,0,0
DLink (EU),216000,2,407,2,407,0,0
DLink (EU),217800,0,0,0,0,0,0
DLink (EU),219600,2,407,2,407,0,0
DLink (EU),221400,0,0,0,0,0,0
DLink (EU),223200,2,407,2,407,0,0
DLink (EU),225000,0,0,0,0,0,0
DLink (EU),226800,2,407,2,407,0,0
DLink (EU),228600,0,0,0,0,0,0
DLink (EU),230400,2,407,2,407,0,0
DLink (EU),232200,0,0,0,0,0,0
DLink (EU),234000,2,407,2,407,0,0
DLink (EU),235800,0,0,0,0,0,0
DLink (EU),237600,2,407,2,407,0,0
DLink (EU),239400,0,0,0,0,0,0
DLink (EU),241200,2,407,2,407,0,0
DLink (EU),243000,0,0,0,0,0,0
DLink (EU),244800,2,407,2,407,0,0
DLink (EU),246600,0,0,0,0,0,0
DLink (EU),248400,2,407,2,407,0,0
DLink (EU),250200,0,0,0,0,0,0
DLink (EU),252000,2,407,2,407,0,0
