StartTime,Frames,Bytes
0,8211,660209
1800,8225,658755
3600,8213,662838
5400,8296,684748
7200,8186,653916
9000,8290,675684
10800,8175,655154
12600,8289,685542
14400,8261,675815
16200,8169,661931
18000,8151,655986
19800,8302,686566
21600,8164,656764
23400,8230,664615
25200,8233,662720
27000,8337,693109
28800,8242,664672
30600,8211,659386
32400,8216,660964
34200,8404,705838
36000,8149,654298
37800,8277,671051
39600,8202,658906
41400,8174,653715
43200,8357,699513
45000,8215,659494
46800,8199,654725
48600,8272,670782
50400,8341,693828
52200,8194,650040
54000,8271,668682
55800,8429,707928
57600,8227,657279
59400,8262,670727
61200,8219,659832
63000,8282,682116
64800,8224,664263
66600,8222,663740
68400,8189,651665
70200,8315,691919
72000,8236,664943
73800,8210,658835
75600,8247,664947
77400,8314,690483
79200,8200,659372
81000,8158,653737
82800,8219,664829
84600,8296,692005
86400,8200,655734
88200,8244,666364
90000,8192,658322
91800,8274,681428
93600,8166,661143
95400,8211,663906
97200,8209,660054
99000,8311,688722
100800,8203,663230
102600,8147,653550
104400,8271,678226
106200,8299,692274
108000,8197,664092
109800,8198,661298
111600,8240,667185
113400,8285,685499
115200,8201,656713
117000,8162,661866
118800,8231,666478
120600,8258,681658
122400,8225,665946
124200,8174,662247
126000,8196,660122
127800,8268,681723
129600,8249,666816
131400,8211,660552
133200,8234,662482
135000,8298,684260
136800,8292,673312
138600,8264,668097
140400,8211,657038
142200,8334,693236
144000,8216,660446
145800,8213,658454
147600,8238,670763
149400,8277,684679
151200,8196,662293
153000,8228,666245
154800,8273,671575
156600,8311,689205
158400,8242,667208
160200,8204,664142
162000,8180,651142
163800,8332,698413
165600,8222,664950
167400,8201,659610
169200,8277,679547
171000,8207,662921
172800,8283,686858
174600,8270,678942
176400,8187,656826
178200,8233,666149
180000,8378,704985
181800,8239,666992
183600,8212,657532
185400,8201,663386
187200,8325,692932
189000,8216,665102
190800,8201,657614
192600,8215,663085
194400,8340,695112
196200,8198,656169
198000,8290,674326
199800,8255,666416
201600,8252,678269
203400,8186,660500
205200,8242,664790
207000,8248,668103
208800,8272,686311
210600,8206,659177
212400,8241,667765
214200,8224,666158
216000,8232,674989
217800,8258,678545
219600,8239,675697
221400,8243,666104
223200,8295,688486
225000,8199,659166
226800,8226,666847
228600,8169,654771
230400,8253,683368
232200,8243,668239
234000,8190,655268
235800,8189,664142
237600,8268,673641
239400,8226,678341
241200,8199,659669
243000,8203,664530
244800,8257,681073
246600,8191,662730
248400,8249,671305
250200,8248,668443
252000,8263,680047
253800,8218,665222
