Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestCamera (EU),0,48,7448,28,2088,20,5360
NestCamera (EU),1800,0,0,0,0,0,0
NestCamera (EU),3600,0,0,0,0,0,0
NestCamera (EU),5400,0,0,0,0,0,0
NestCamera (EU),7200,37,5640,21,1566,16,4074
NestCamera (EU),9000,0,0,0,0,0,0
NestCamera (EU),10800,0,0,0,0,0,0
NestCamera (EU),12600,0,0,0,0,0,0
NestCamera (EU),14400,0,0,0,0,0,0
NestCamera (EU),16200,36,5586,21,1566,15,4020
NestCamera (EU),18000,0,0,0,0,0,0
NestCamera (EU),19800,0,0,0,0,0,0
NestCamera (EU),21600,0,0,0,0,0,0
NestCamera (EU),23400,0,0,0,0,0,0
NestCamera (EU),25200,36,5586,21,1566,15,4020
NestCamera (EU),27000,0,0,0,0,0,0
NestCamera (EU),28800,0,0,0,0,0,0
NestCamera (EU),30600,0,0,0,0,0,0
NestCamera (EU),32400,36,5586,21,1566,15,4020
NestCamera (EU),34200,0,0,0,0,0,0
NestCamera (EU),36000,0,0,0,0,0,0
NestCamera (EU),37800,0,0,0,0,0,0
NestCamera (EU),39600,0,0,0,0,0,0
NestCamera (EU),41400,36,5586,21,1566,15,4020
NestCamera (EU),43200,0,0,0,0,0,0
NestCamera (EU),45000,0,0,0,0,0,0
NestCamera (EU),46800,0,0,0,0,0,0
NestCamera (EU),48600,0,0,0,0,0,0
NestCamera (EU),50400,0,0,0,0,0,0
NestCamera (EU),52200,0,0,0,0,0,0
NestCamera (EU),54000,0,0,0,0,0,0
NestCamera (EU),55800,0,0,0,0,0,0
NestCamera (EU),57600,0,0,0,0,0,0
NestCamera (EU),59400,0,0,0,0,0,0
NestCamera (EU),61200,0,0,0,0,0,0
NestCamera (EU),63000,0,0,0,0,0,0
NestCamera (EU),64800,0,0,0,0,0,0
NestCamera (EU),66600,0,0,0,0,0,0
NestCamera (EU),68400,0,0,0,0,0,0
NestCamera (EU),70200,0,0,0,0,0,0
NestCamera (EU),72000,0,0,0,0,0,0
NestCamera (EU),73800,0,0,0,0,0,0
NestCamera (EU),75600,0,0,0,0,0,0
NestCamera (EU),77400,0,0,0,0,0,0
NestCamera (EU),79200,0,0,0,0,0,0
NestCamera (EU),81000,0,0,0,0,0,0
NestCamera (EU),82800,0,0,0,0,0,0
NestCamera (EU),84600,0,0,0,0,0,0
NestCamera (EU),86400,0,0,0,0,0,0
NestCamera (EU),88200,0,0,0,0,0,0
NestCamera (EU),90000,0,0,0,0,0,0
NestCamera (EU),91800,0,0,0,0,0,0
NestCamera (EU),93600,0,0,0,0,0,0
NestCamera (EU),95400,0,0,0,0,0,0
NestCamera (EU),97200,0,0,0,0,0,0
NestCamera (EU),99000,0,0,0,0,0,0
NestCamera (EU),100800,0,0,0,0,0,0
NestCamera (EU),102600,0,0,0,0,0,0
NestCamera (EU),104400,0,0,0,0,0,0
NestCamera (EU),106200,0,0,0,0,0,0
NestCamera (EU),108000,0,0,0,0,0,0
NestCamera (EU),109800,36,5586,21,1566,15,4020
