StartTime,Frames,Bytes
0,504,125300
1800,590,150110
3600,320,82402
5400,434,127796
7200,591,144166
9000,431,107808
10800,513,126766
12600,481,138908
14400,373,96808
16200,588,146888
18000,506,125226
19800,498,140516
21600,333,87972
23400,348,93696
25200,331,91710
27000,399,123522
28800,273,78198
30600,384,98714
32400,477,116970
34200,689,187794
36000,328,83530
37800,434,109966
39600,310,90465
41400,528,130830
43200,368,102771
45000,216,60456
46800,739,186745
48600,601,154837
50400,466,115838
52200,288,79936
54000,371,100422
55800,587,161368
57600,458,115872
59400,294,81754
61200,327,85446
63000,369,114146
64800,171,50542
66600,265,72480
68400,199,54948
70200,309,99918
72000,186,53834
73800,169,48178
75600,378,96138
77400,311,100618
79200,316,83220
81000,159,52386
82800,324,83144
84600,442,134006
86400,272,76566
88200,255,68594
90000,566,140196
91800,487,142040
93600,443,110808
95400,286,77804
97200,301,78618
99000,443,135074
100800,637,154412
102600,316,83198
104400,475,118890
106200,505,143758
108000,217,62186
109800,260,73844
111600,354,90290
113400,326,103432
115200,414,103486
117000,397,100518
118800,416,105818
120600,349,107950
122400,218,62070
124200,330,87012
126000,541,135448
127800,434,131078
129600,272,74992
131400,433,115536
133200,288,74680
135000,390,119770
136800,316,86396
138600,416,108722
140400,188,53440
142200,556,163978
144000,423,110280
145800,177,53104
147600,343,93190
149400,437,133212
151200,467,121688
153000,340,90236
154800,887,213880
156600,606,165240
158400,369,93852
160200,311,86718
162000,372,110821
163800,550,152287
165600,166,49708
167400,327,91808
169200,387,110867
171000,542,145104
172800,410,114343
174600,265,74142
176400,388,106609
178200,586,154932
180000,517,137707
181800,864,208560
183600,323,95255
185400,408,110332
187200,351,102307
189000,429,115174
190800,384,108215
192600,385,101884
194400,424,116849
196200,186,52544
198000,508,128482
199800,653,167769
201600,715,182133
203400,340,93510
205200,311,79900
207000,601,160465
208800,332,96597
210600,509,136492
212400,474,124164
214200,353,99815
216000,413,115679
217800,468,119040
219600,533,132402
221400,961,244769
223200,428,116447
225000,378,104956
226800,244,67034
228600,383,111465
230400,468,125515
232200,288,80800
234000,319,88772
235800,511,138199
237600,422,115919
239400,267,72388
241200,351,89386
243000,509,138219
244800,490,128827
246600,202,57396
248400,287,79344
250200,362,103761
252000,450,121831
253800,206,57460
