Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoShow5 (EU),0,8376,685224,4326,408073,4050,277151
EchoShow5 (EU),1800,8385,683797,4335,404823,4050,278974
EchoShow5 (EU),3600,8403,692649,4335,409469,4068,283180
EchoShow5 (EU),5400,8393,700190,4313,406531,4080,293659
EchoShow5 (EU),7200,8357,680043,4318,405270,4039,274773
EchoShow5 (EU),9000,8320,680296,4283,406103,4037,274193
EchoShow5 (EU),10800,8267,669877,4265,402295,4002,267582
EchoShow5 (EU),12600,8442,709701,4344,408668,4098,301033
EchoShow5 (EU),14400,8288,677929,4263,404641,4025,273288
EchoShow5 (EU),16200,8294,680003,4279,406617,4015,273386
EchoShow5 (EU),18000,8252,671873,4253,401558,3999,270315
EchoShow5 (EU),19800,8371,697228,4307,406039,4064,291189
EchoShow5 (EU),21600,8251,671380,4240,399946,4011,271434
EchoShow5 (EU),23400,8310,678473,4268,404375,4042,274098
EchoShow5 (EU),25200,8264,668654,4247,400005,4017,268649
EchoShow5 (EU),27000,8413,706109,4316,409182,4097,296927
EchoShow5 (EU),28800,8311,677884,4263,400616,4048,277268
EchoShow5 (EU),30600,8313,676515,4281,402512,4032,274003
EchoShow5 (EU),32400,8359,683896,4309,405577,4050,278319
EchoShow5 (EU),34200,8495,717094,4381,414114,4114,302980
EchoShow5 (EU),36000,8255,669167,4261,402139,3994,267028
EchoShow5 (EU),37800,8340,680949,4290,406281,4050,274668
EchoShow5 (EU),39600,8337,680551,4294,403649,4043,276902
EchoShow5 (EU),41400,8359,695767,4302,405356,4057,290411
EchoShow5 (EU),43200,8332,681434,4287,406869,4045,274565
EchoShow5 (EU),45000,8339,679219,4288,402798,4051,276421
EchoShow5 (EU),46800,8359,680364,4322,405713,4037,274651
EchoShow5 (EU),48600,8478,713012,4385,415984,4093,297028
EchoShow5 (EU),50400,8434,697076,4347,410120,4087,286956
EchoShow5 (EU),52200,8269,663376,4245,396498,4024,266878
EchoShow5 (EU),54000,8351,682461,4294,406979,4057,275482
EchoShow5 (EU),55800,8455,709818,4350,412190,4105,297628
EchoShow5 (EU),57600,8344,673294,4309,402208,4035,271086
EchoShow5 (EU),59400,8338,683945,4286,405725,4052,278220
EchoShow5 (EU),61200,8338,680694,4290,403160,4048,277534
EchoShow5 (EU),63000,8405,702536,4316,406003,4089,296533
EchoShow5 (EU),64800,8300,677695,4260,403697,4040,273998
EchoShow5 (EU),66600,8317,679210,4273,404076,4044,275134
EchoShow5 (EU),68400,8248,663178,4236,396876,4012,266302
EchoShow5 (EU),70200,8397,705793,4307,408586,4090,297207
EchoShow5 (EU),72000,8306,677779,4259,403411,4047,274368
EchoShow5 (EU),73800,8287,672447,4252,400170,4035,272277
EchoShow5 (EU),75600,8300,671576,4276,402561,4024,269015
EchoShow5 (EU),77400,8442,713639,4332,409397,4110,304242
EchoShow5 (EU),79200,8288,673914,4257,401528,4031,272386
EchoShow5 (EU),81000,8229,666303,4228,398767,4001,267536
EchoShow5 (EU),82800,8357,687904,4308,407905,4049,279999
EchoShow5 (EU),84600,8386,704671,4307,405845,4079,298826
EchoShow5 (EU),86400,8319,677472,4278,401991,4041,275481
EchoShow5 (EU),88200,8317,679270,4272,404677,4045,274593
EchoShow5 (EU),90000,8317,676685,4291,404247,4026,272438
EchoShow5 (EU),91800,8379,697518,4313,406661,4066,290857
EchoShow5 (EU),93600,8284,678563,4273,406011,4011,272552
EchoShow5 (EU),95400,8287,677360,4253,403329,4034,274031
EchoShow5 (EU),97200,8343,680964,4296,403858,4047,277106
EchoShow5 (EU),99000,8349,696050,4288,404914,4061,291136
EchoShow5 (EU),100800,8289,675336,4273,403383,4016,271953
EchoShow5 (EU),102600,8261,672905,4254,401246,4007,271659
EchoShow5 (EU),104400,8291,679882,4264,405044,4027,274838
EchoShow5 (EU),106200,8428,715622,4332,408106,4096,307516
EchoShow5 (EU),108000,8288,678889,4260,404604,4028,274285
EchoShow5 (EU),109800,8242,668533,4239,400049,4003,268484
EchoShow5 (EU),111600,8318,680926,4277,405695,4041,275231
EchoShow5 (EU),113400,8367,699452,4285,404224,4082,295228
EchoShow5 (EU),115200,8354,680783,4319,406391,4035,274392
EchoShow5 (EU),117000,8257,677016,4246,403897,4011,273119
EchoShow5 (EU),118800,8282,674451,4255,401077,4027,273374
EchoShow5 (EU),120600,8383,702081,4308,406205,4075,295876
EchoShow5 (EU),122400,8298,679268,4263,404653,4035,274615
EchoShow5 (EU),124200,8245,675338,4237,402381,4008,272957
EchoShow5 (EU),126000,8304,676732,4277,403969,4027,272763
EchoShow5 (EU),127800,8368,697376,4293,404869,4075,292507
EchoShow5 (EU),129600,8358,685355,4298,406196,4060,279159
EchoShow5 (EU),131400,8295,674816,4260,402001,4035,272815
EchoShow5 (EU),133200,8304,675391,4268,403425,4036,271966
EchoShow5 (EU),135000,8395,702414,4302,406623,4093,295791
EchoShow5 (EU),136800,8424,694785,4341,409943,4083,284842
EchoShow5 (EU),138600,8298,674072,4259,401057,4039,273015
EchoShow5 (EU),140400,8288,670833,4261,401161,4027,269672
EchoShow5 (EU),142200,8422,707567,4316,409315,4106,298252
EchoShow5 (EU),144000,8313,675909,4279,403128,4034,272781
EchoShow5 (EU),145800,8265,669273,4243,399822,4022,269451
EchoShow5 (EU),147600,8294,679066,4265,405051,4029,274015
