Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DreamGlassAir (US),0,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),1800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),3600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),5400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),7200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),9000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),10800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),12600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),14400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),16200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),18000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),19800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),21600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),23400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),25200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),27000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),28800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),30600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),32400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),34200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),36000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),37800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),39600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),41400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),43200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),45000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),46800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),48600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),50400,7960,3889260,7960,3889260,0,0
DreamGlassAir (US),52200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),54000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),55800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),57600,7962,3891864,7962,3891864,0,0
DreamGlassAir (US),59400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),61200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),63000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),64800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),66600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),68400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),70200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),72000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),73800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),75600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),77400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),79200,8088,3951663,8088,3951663,0,0
DreamGlassAir (US),81000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),82800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),84600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),86400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),88200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),90000,7962,3891864,7962,3891864,0,0
DreamGlassAir (US),91800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),93600,8095,3956182,8095,3956182,0,0
DreamGlassAir (US),95400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),97200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),99000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),100800,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),102600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),104400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),106200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),108000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),109800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),111600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),113400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),115200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),117000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),118800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),120600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),122400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),124200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),126000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),127800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),129600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),131400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),133200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),135000,7958,3886656,7958,3886656,0,0
DreamGlassAir (US),136800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),138600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),140400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),142200,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),144000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),145800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),147600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),149400,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),151200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),153000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),154800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),156600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),158400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),160200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),162000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),163800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),165600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),167400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),169200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),171000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),172800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),174600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),176400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),178200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),180000,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),181800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),183600,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),185400,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),187200,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),189000,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),190800,8096,3956592,8096,3956592,0,0
DreamGlassAir (US),192600,8094,3953988,8094,3953988,0,0
DreamGlassAir (US),194400,7962,3891864,7962,3891864,0,0
DreamGlassAir (US),196200,8096,3956592,8096,3956592,0,0
