Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (US),0,4,312,4,312,0,0
EchoDot5 (US),1800,3,234,3,234,0,0
EchoDot5 (US),3600,3,234,3,234,0,0
EchoDot5 (US),5400,180,33853,91,8619,89,25234
EchoDot5 (US),7200,3,234,3,234,0,0
EchoDot5 (US),9000,3,234,3,234,0,0
EchoDot5 (US),10800,3,234,3,234,0,0
EchoDot5 (US),12600,180,33853,91,8619,89,25234
EchoDot5 (US),14400,3,234,3,234,0,0
EchoDot5 (US),16200,3,234,3,234,0,0
EchoDot5 (US),18000,13,1124,13,1124,0,0
EchoDot5 (US),19800,170,32963,81,7729,89,25234
EchoDot5 (US),21600,3,234,3,234,0,0
EchoDot5 (US),23400,3,234,3,234,0,0
EchoDot5 (US),25200,13,1124,13,1124,0,0
EchoDot5 (US),27000,170,32963,81,7729,89,25234
EchoDot5 (US),28800,3,234,3,234,0,0
EchoDot5 (US),30600,3,234,3,234,0,0
EchoDot5 (US),32400,2,156,2,156,0,0
EchoDot5 (US),34200,162,30583,76,7287,86,23296
EchoDot5 (US),36000,21,3504,18,1566,3,1938
EchoDot5 (US),37800,3,234,3,234,0,0
EchoDot5 (US),39600,13,1124,13,1124,0,0
EchoDot5 (US),41400,3,234,3,234,0,0
EchoDot5 (US),43200,170,32963,81,7729,89,25234
EchoDot5 (US),45000,3,234,3,234,0,0
EchoDot5 (US),46800,13,1124,13,1124,0,0
EchoDot5 (US),48600,3,234,3,234,0,0
EchoDot5 (US),50400,170,32963,81,7729,89,25234
EchoDot5 (US),52200,3,234,3,234,0,0
EchoDot5 (US),54000,3,234,3,234,0,0
EchoDot5 (US),55800,31,4394,28,2456,3,1938
EchoDot5 (US),57600,152,29693,66,6397,86,23296
EchoDot5 (US),59400,3,234,3,234,0,0
EchoDot5 (US),61200,3,234,3,234,0,0
EchoDot5 (US),63000,31,4394,28,2456,3,1938
EchoDot5 (US),64800,152,29693,66,6397,86,23296
EchoDot5 (US),66600,3,234,3,234,0,0
EchoDot5 (US),68400,13,1124,13,1124,0,0
EchoDot5 (US),70200,21,3504,18,1566,3,1938
EchoDot5 (US),72000,152,29693,66,6397,86,23296
EchoDot5 (US),73800,3,234,3,234,0,0
EchoDot5 (US),75600,13,1124,13,1124,0,0
EchoDot5 (US),77400,21,3504,18,1566,3,1938
