StartTime,Frames,Bytes
0,360,94320
1800,360,94320
3600,360,94320
5400,359,94058
7200,360,94320
9000,360,94320
10800,359,94058
12600,360,94320
14400,360,94320
16200,359,94058
18000,360,94320
19800,360,94320
21600,359,94058
23400,360,94320
25200,360,94320
27000,359,94058
28800,360,94320
30600,360,94320
32400,359,94058
34200,360,94320
36000,360,94320
37800,359,94058
39600,360,94320
41400,360,94320
43200,359,94058
45000,360,94320
46800,360,94320
48600,360,94320
50400,359,94058
52200,360,94320
54000,360,94320
55800,359,94058
57600,360,94320
59400,360,94320
61200,359,94058
63000,360,94320
64800,360,94320
66600,359,94058
68400,360,94320
70200,360,94320
72000,359,94058
73800,360,94320
75600,360,94320
77400,359,94058
79200,360,94320
81000,360,94320
82800,359,94058
84600,360,94320
86400,360,94320
88200,359,94058
90000,360,94320
91800,360,94320
93600,359,94058
95400,360,94320
97200,360,94320
99000,359,94058
100800,360,94320
102600,360,94320
104400,360,94320
106200,359,94058
108000,360,94320
109800,360,94320
111600,359,94058
113400,360,94320
115200,360,94320
117000,360,94320
118800,359,94058
120600,360,94320
122400,360,94320
124200,359,94058
126000,360,94320
127800,360,94320
129600,360,94320
131400,359,94058
133200,360,94320
135000,360,94320
136800,359,94058
138600,360,94320
140400,360,94320
142200,360,94320
144000,359,94058
145800,360,94320
147600,360,94320
149400,359,94058
151200,360,94320
153000,360,94320
154800,360,94320
156600,359,94058
158400,360,94320
160200,360,94320
162000,359,94058
163800,360,94320
165600,360,94320
167400,360,94320
169200,359,94058
171000,360,94320
172800,360,94320
174600,359,94058
176400,358,93796
178200,360,94320
180000,360,94320
181800,359,94058
183600,360,94320
185400,360,94320
187200,360,94320
189000,359,94058
190800,360,94320
192600,360,94320
194400,359,94058
196200,360,94320
198000,360,94320
199800,359,94058
201600,360,94320
203400,360,94320
205200,360,94320
207000,359,94058
208800,360,94320
210600,360,94320
212400,360,94320
214200,359,94058
216000,360,94320
217800,360,94320
219600,359,94058
221400,360,94320
223200,360,94320
225000,359,94058
226800,360,94320
228600,360,94320
230400,360,94320
232200,359,94058
234000,360,94320
235800,360,94320
237600,359,94058
239400,360,94320
241200,360,94320
243000,360,94320
244800,359,94058
246600,360,94320
248400,360,94320
250200,359,94058
252000,360,94320
253800,360,94320
255600,360,94320
257400,359,94058
259200,360,94320
261000,360,94320
262800,359,94058
264600,360,94320
266400,360,94320
268200,360,94320
270000,359,94058
271800,360,94320
273600,360,94320
275400,359,94058
277200,360,94320
279000,360,94320
280800,360,94320
282600,359,94058
284400,360,94320
286200,360,94320
288000,359,94058
289800,360,94320
291600,360,94320
293400,360,94320
295200,359,94058
297000,360,94320
298800,360,94320
300600,359,94058
302400,360,94320
304200,360,94320
306000,360,94320
307800,359,94058
309600,360,94320
311400,360,94320
313200,359,94058
315000,360,94320
316800,360,94320
318600,359,94058
320400,360,94320
322200,360,94320
324000,360,94320
325800,359,94058
327600,360,94320
329400,360,94320
331200,360,94320
333000,359,94058
334800,360,94320
336600,360,94320
338400,359,94058
340200,360,94320
342000,360,94320
343800,360,94320
345600,359,94058
347400,360,94320
349200,360,94320
351000,359,94058
352800,360,94320
354600,360,94320
356400,360,94320
358200,359,94058
360000,360,94320
361800,360,94320
363600,359,94058
365400,360,94320
367200,360,94320
369000,360,94320
370800,359,94058
372600,360,94320
374400,360,94320
376200,359,94058
378000,360,94320
379800,360,94320
381600,360,94320
383400,359,94058
385200,360,94320
387000,360,94320
388800,359,94058
390600,360,94320
392400,360,94320
394200,359,94058
396000,360,94320
397800,360,94320
399600,360,94320
401400,359,94058
403200,360,94320
405000,360,94320
406800,360,94320
408600,359,94058
410400,360,94320
412200,360,94320
414000,359,94058
415800,360,94320
417600,360,94320
419400,359,94058
421200,360,94320
423000,360,94320
424800,359,94058
426600,360,94320
428400,360,94320
430200,359,94058
432000,360,94320
433800,360,94320
435600,359,94058
437400,360,94320
439200,360,94320
441000,359,94058
442800,360,94320
444600,360,94320
446400,359,94058
448200,360,94320
450000,360,94320
451800,360,94320
453600,359,94058
455400,360,94320
457200,360,94320
459000,359,94058
460800,360,94320
462600,360,94320
464400,359,94058
466200,360,94320
468000,360,94320
469800,360,94320
471600,359,94058
473400,360,94320
475200,360,94320
477000,360,94320
478800,359,94058
480600,360,94320
482400,360,94320
484200,359,94058
486000,360,94320
487800,360,94320
489600,360,94320
491400,359,94058
493200,360,94320
495000,360,94320
496800,359,94058
498600,360,94320
500400,360,94320
502200,359,94058
504000,360,94320
505800,360,94320
507600,359,94058
509400,360,94320
511200,360,94320
513000,359,94058
514800,360,94320
516600,360,94320
518400,359,94058
520200,360,94320
522000,360,94320
523800,360,94320
525600,359,94058
527400,360,94320
529200,360,94320
531000,359,94058
532800,360,94320
534600,360,94320
536400,359,94058
538200,360,94320
540000,360,94320
541800,359,94058
543600,360,94320
545400,360,94320
547200,359,94058
549000,360,94320
550800,360,94320
552600,359,94058
554400,360,94320
556200,360,94320
558000,360,94320
559800,359,94058
561600,360,94320
563400,360,94320
565200,359,94058
567000,360,94320
568800,360,94320
570600,360,94320
572400,359,94058
574200,360,94320
576000,360,94320
577800,359,94058
579600,360,94320
581400,360,94320
583200,360,94320
585000,359,94058
586800,360,94320
588600,360,94320
590400,359,94058
592200,360,94320
594000,360,94320
595800,359,94058
597600,360,94320
599400,360,94320
601200,359,94058
603000,360,94320
