Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (US),0,1957,412579,901,78097,1056,334482
Netvue (US),1800,1964,414781,902,78271,1062,336510
Netvue (US),3600,1897,400706,871,75590,1026,325116
Netvue (US),5400,1971,416983,903,78445,1068,338538
Netvue (US),7200,1890,398504,870,75416,1020,323088
Netvue (US),9000,1964,414781,902,78271,1062,336510
Netvue (US),10800,1905,403087,873,75943,1032,327144
Netvue (US),12600,1956,412400,900,77918,1056,334482
Netvue (US),14400,1950,410377,900,77923,1050,332454
Netvue (US),16200,1883,396302,869,75242,1014,321060
Netvue (US),18000,1971,416983,903,78445,1068,338538
Netvue (US),19800,1904,402913,872,75769,1032,327144
Netvue (US),21600,1971,416978,903,78440,1068,338538
Netvue (US),23400,1964,414781,902,78271,1062,336510
Netvue (US),25200,1897,400706,871,75590,1026,325116
Netvue (US),27000,1964,414781,902,78271,1062,336510
Netvue (US),28800,1890,398504,870,75416,1020,323088
Netvue (US),30600,1950,410377,900,77923,1050,332454
Netvue (US),32400,1957,412579,901,78097,1056,334482
Netvue (US),34200,1883,396302,869,75242,1014,321060
Netvue (US),36000,1964,414781,902,78271,1062,336510
Netvue (US),37800,1897,400706,871,75590,1026,325116
Netvue (US),39600,1971,416983,903,78445,1068,338538
Netvue (US),41400,1897,400706,871,75590,1026,325116
Netvue (US),43200,1950,410377,900,77923,1050,332454
Netvue (US),45000,1964,414781,902,78271,1062,336510
Netvue (US),46800,1897,400706,871,75590,1026,325116
Netvue (US),48600,1950,410377,900,77923,1050,332454
Netvue (US),50400,1890,398504,870,75416,1020,323088
Netvue (US),52200,1978,419185,904,78619,1074,340566
Netvue (US),54000,1950,410377,900,77923,1050,332454
Netvue (US),55800,1890,398504,870,75416,1020,323088
Netvue (US),57600,1911,405085,873,75913,1038,329172
Netvue (US),59400,1918,407312,874,76112,1044,331200
Netvue (US),61200,1978,419185,904,78619,1074,340566
Netvue (US),63000,1904,402908,872,75764,1032,327144
Netvue (US),64800,1928,406711,887,76912,1041,329799
Netvue (US),66600,1957,412579,901,78097,1056,334482
Netvue (US),68400,1911,405110,873,75938,1038,329172
Netvue (US),70200,1950,410377,900,77923,1050,332454
Netvue (US),72000,1904,402908,872,75764,1032,327144
Netvue (US),73800,1950,410377,900,77923,1050,332454
Netvue (US),75600,1858,395449,844,73615,1014,321834
Netvue (US),77400,1972,417044,904,78506,1068,338538
Netvue (US),79200,1924,407713,880,76513,1044,331200
Netvue (US),81000,1891,398558,871,75470,1020,323088
Netvue (US),82800,1986,421453,906,78859,1080,342594
Netvue (US),84600,1890,398504,870,75416,1020,323088
Netvue (US),86400,1957,412579,901,78097,1056,334482
Netvue (US),88200,1957,412579,901,78097,1056,334482
Netvue (US),90000,1890,398504,870,75416,1020,323088
Netvue (US),91800,1957,412579,901,78097,1056,334482
Netvue (US),93600,1890,398504,870,75416,1020,323088
Netvue (US),95400,1964,414781,902,78271,1062,336510
Netvue (US),97200,1909,404435,873,75943,1036,328492
Netvue (US),99000,1966,415456,902,78266,1064,337190
Netvue (US),100800,1957,412579,901,78097,1056,334482
Netvue (US),102600,1918,407312,874,76112,1044,331200
Netvue (US),104400,1964,414781,902,78271,1062,336510
Netvue (US),106200,1883,396302,869,75242,1014,321060
Netvue (US),108000,1978,419185,904,78619,1074,340566
Netvue (US),109800,1957,412579,901,78097,1056,334482
Netvue (US),111600,1897,400706,871,75590,1026,325116
Netvue (US),113400,1964,414781,902,78271,1062,336510
Netvue (US),115200,1897,400706,871,75590,1026,325116
Netvue (US),117000,1994,423697,907,79021,1087,344676
Netvue (US),118800,1897,400706,871,75590,1026,325116
Netvue (US),120600,1964,414781,902,78271,1062,336510
Netvue (US),122400,1964,414781,902,78271,1062,336510
Netvue (US),124200,1890,398504,870,75416,1020,323088
Netvue (US),126000,1978,419185,904,78619,1074,340566
Netvue (US),127800,1897,400706,871,75590,1026,325116
Netvue (US),129600,1971,416983,903,78445,1068,338538
Netvue (US),131400,1918,407317,874,76117,1044,331200
Netvue (US),133200,1964,414776,902,78266,1062,336510
Netvue (US),135000,1964,414781,902,78271,1062,336510
Netvue (US),136800,1897,400706,871,75590,1026,325116
Netvue (US),138600,1957,412579,901,78097,1056,334482
Netvue (US),140400,1904,402908,872,75764,1032,327144
Netvue (US),142200,1958,412645,902,78163,1056,334482
Netvue (US),144000,1964,414781,902,78271,1062,336510
Netvue (US),145800,1897,400706,871,75590,1026,325116
Netvue (US),147600,1964,414781,902,78271,1062,336510
Netvue (US),149400,1951,410443,901,77989,1050,332454
Netvue (US),151200,1890,398504,870,75416,1020,323088
Netvue (US),153000,1978,419185,904,78619,1074,340566
Netvue (US),154800,1918,407282,874,76082,1044,331200
Netvue (US),156600,1978,419185,904,78619,1074,340566
Netvue (US),158400,1890,398504,870,75416,1020,323088
Netvue (US),160200,1972,417049,904,78511,1068,338538
Netvue (US),162000,1958,412645,902,78163,1056,334482
Netvue (US),163800,1911,405110,873,75938,1038,329172
Netvue (US),165600,1971,416983,903,78445,1068,338538
Netvue (US),167400,1911,405110,873,75938,1038,329172
Netvue (US),169200,1978,419185,904,78619,1074,340566
