Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (US),0,3,1938,3,1938,0,0
TPLink (US),1800,0,0,0,0,0,0
TPLink (US),3600,0,0,0,0,0,0
TPLink (US),5400,0,0,0,0,0,0
TPLink (US),7200,3,1938,3,1938,0,0
TPLink (US),9000,0,0,0,0,0,0
TPLink (US),10800,0,0,0,0,0,0
TPLink (US),12600,0,0,0,0,0,0
TPLink (US),14400,3,1938,3,1938,0,0
TPLink (US),16200,0,0,0,0,0,0
TPLink (US),18000,0,0,0,0,0,0
TPLink (US),19800,0,0,0,0,0,0
TPLink (US),21600,3,1938,3,1938,0,0
TPLink (US),23400,0,0,0,0,0,0
TPLink (US),25200,0,0,0,0,0,0
TPLink (US),27000,0,0,0,0,0,0
TPLink (US),28800,3,1938,3,1938,0,0
TPLink (US),30600,0,0,0,0,0,0
TPLink (US),32400,0,0,0,0,0,0
TPLink (US),34200,0,0,0,0,0,0
TPLink (US),36000,0,0,0,0,0,0
TPLink (US),37800,3,1938,3,1938,0,0
TPLink (US),39600,0,0,0,0,0,0
TPLink (US),41400,0,0,0,0,0,0
TPLink (US),43200,3,1938,3,1938,0,0
TPLink (US),45000,0,0,0,0,0,0
TPLink (US),46800,0,0,0,0,0,0
TPLink (US),48600,0,0,0,0,0,0
TPLink (US),50400,3,1938,3,1938,0,0
TPLink (US),52200,0,0,0,0,0,0
TPLink (US),54000,0,0,0,0,0,0
TPLink (US),55800,0,0,0,0,0,0
TPLink (US),57600,3,1938,3,1938,0,0
TPLink (US),59400,0,0,0,0,0,0
TPLink (US),61200,0,0,0,0,0,0
TPLink (US),63000,0,0,0,0,0,0
TPLink (US),64800,3,1938,3,1938,0,0
TPLink (US),66600,0,0,0,0,0,0
TPLink (US),68400,0,0,0,0,0,0
TPLink (US),70200,3,1938,3,1938,0,0
TPLink (US),72000,0,0,0,0,0,0
TPLink (US),73800,0,0,0,0,0,0
TPLink (US),75600,0,0,0,0,0,0
TPLink (US),77400,0,0,0,0,0,0
TPLink (US),79200,3,1938,3,1938,0,0
TPLink (US),81000,0,0,0,0,0,0
TPLink (US),82800,0,0,0,0,0,0
TPLink (US),84600,0,0,0,0,0,0
TPLink (US),86400,3,1938,3,1938,0,0
TPLink (US),88200,0,0,0,0,0,0
TPLink (US),90000,0,0,0,0,0,0
TPLink (US),91800,3,1938,3,1938,0,0
TPLink (US),93600,0,0,0,0,0,0
TPLink (US),95400,0,0,0,0,0,0
TPLink (US),97200,0,0,0,0,0,0
TPLink (US),99000,3,1938,3,1938,0,0
TPLink (US),100800,0,0,0,0,0,0
TPLink (US),102600,0,0,0,0,0,0
TPLink (US),104400,0,0,0,0,0,0
TPLink (US),106200,3,1938,3,1938,0,0
TPLink (US),108000,0,0,0,0,0,0
TPLink (US),109800,0,0,0,0,0,0
TPLink (US),111600,0,0,0,0,0,0
TPLink (US),113400,0,0,0,0,0,0
TPLink (US),115200,3,1938,3,1938,0,0
TPLink (US),117000,0,0,0,0,0,0
TPLink (US),118800,0,0,0,0,0,0
TPLink (US),120600,0,0,0,0,0,0
TPLink (US),122400,3,1938,3,1938,0,0
TPLink (US),124200,0,0,0,0,0,0
TPLink (US),126000,0,0,0,0,0,0
TPLink (US),127800,0,0,0,0,0,0
TPLink (US),129600,3,1938,3,1938,0,0
TPLink (US),131400,0,0,0,0,0,0
TPLink (US),133200,0,0,0,0,0,0
TPLink (US),135000,0,0,0,0,0,0
TPLink (US),136800,3,1938,3,1938,0,0
TPLink (US),138600,0,0,0,0,0,0
TPLink (US),140400,0,0,0,0,0,0
TPLink (US),142200,0,0,0,0,0,0
TPLink (US),144000,3,1938,3,1938,0,0
TPLink (US),145800,0,0,0,0,0,0
TPLink (US),147600,0,0,0,0,0,0
TPLink (US),149400,0,0,0,0,0,0
TPLink (US),151200,3,1938,3,1938,0,0
TPLink (US),153000,0,0,0,0,0,0
TPLink (US),154800,0,0,0,0,0,0
TPLink (US),156600,0,0,0,0,0,0
TPLink (US),158400,3,1938,3,1938,0,0
TPLink (US),160200,0,0,0,0,0,0
TPLink (US),162000,0,0,0,0,0,0
TPLink (US),163800,0,0,0,0,0,0
TPLink (US),165600,3,1938,3,1938,0,0
TPLink (US),167400,0,0,0,0,0,0
TPLink (US),169200,3,1938,3,1938,0,0
TPLink (US),171000,0,0,0,0,0,0
TPLink (US),172800,0,0,0,0,0,0
TPLink (US),174600,0,0,0,0,0,0
TPLink (US),176400,0,0,0,0,0,0
TPLink (US),178200,0,0,0,0,0,0
TPLink (US),180000,0,0,0,0,0,0
TPLink (US),181800,0,0,0,0,0,0
TPLink (US),183600,0,0,0,0,0,0
TPLink (US),185400,0,0,0,0,0,0
TPLink (US),187200,0,0,0,0,0,0
TPLink (US),189000,0,0,0,0,0,0
TPLink (US),190800,0,0,0,0,0,0
TPLink (US),192600,3,1938,3,1938,0,0
TPLink (US),194400,0,0,0,0,0,0
TPLink (US),196200,0,0,0,0,0,0
TPLink (US),198000,3,1938,3,1938,0,0
TPLink (US),199800,0,0,0,0,0,0
TPLink (US),201600,0,0,0,0,0,0
TPLink (US),203400,0,0,0,0,0,0
TPLink (US),205200,0,0,0,0,0,0
TPLink (US),207000,3,1938,3,1938,0,0
TPLink (US),208800,0,0,0,0,0,0
TPLink (US),210600,0,0,0,0,0,0
TPLink (US),212400,0,0,0,0,0,0
TPLink (US),214200,0,0,0,0,0,0
TPLink (US),216000,0,0,0,0,0,0
TPLink (US),217800,0,0,0,0,0,0
TPLink (US),219600,0,0,0,0,0,0
TPLink (US),221400,0,0,0,0,0,0
TPLink (US),223200,0,0,0,0,0,0
TPLink (US),225000,0,0,0,0,0,0
TPLink (US),226800,2,1292,2,1292,0,0
TPLink (US),228600,0,0,0,0,0,0
TPLink (US),230400,0,0,0,0,0,0
TPLink (US),232200,0,0,0,0,0,0
TPLink (US),234000,3,1938,3,1938,0,0
TPLink (US),235800,0,0,0,0,0,0
TPLink (US),237600,0,0,0,0,0,0
TPLink (US),239400,0,0,0,0,0,0
TPLink (US),241200,0,0,0,0,0,0
TPLink (US),243000,0,0,0,0,0,0
TPLink (US),244800,3,1938,3,1938,0,0
TPLink (US),246600,0,0,0,0,0,0
TPLink (US),248400,0,0,0,0,0,0
TPLink (US),250200,0,0,0,0,0,0
TPLink (US),252000,0,0,0,0,0,0
TPLink (US),253800,0,0,0,0,0,0
TPLink (US),255600,0,0,0,0,0,0
TPLink (US),257400,0,0,0,0,0,0
TPLink (US),259200,0,0,0,0,0,0
TPLink (US),261000,3,1938,3,1938,0,0
TPLink (US),262800,0,0,0,0,0,0
TPLink (US),264600,0,0,0,0,0,0
TPLink (US),266400,0,0,0,0,0,0
TPLink (US),268200,3,1938,3,1938,0,0
TPLink (US),270000,0,0,0,0,0,0
TPLink (US),271800,0,0,0,0,0,0
TPLink (US),273600,0,0,0,0,0,0
TPLink (US),275400,0,0,0,0,0,0
TPLink (US),277200,0,0,0,0,0,0
TPLink (US),279000,0,0,0,0,0,0
TPLink (US),280800,0,0,0,0,0,0
TPLink (US),282600,0,0,0,0,0,0
TPLink (US),284400,3,1938,3,1938,0,0
TPLink (US),286200,0,0,0,0,0,0
TPLink (US),288000,0,0,0,0,0,0
TPLink (US),289800,0,0,0,0,0,0
TPLink (US),291600,0,0,0,0,0,0
TPLink (US),293400,0,0,0,0,0,0
TPLink (US),295200,0,0,0,0,0,0
TPLink (US),297000,3,1938,3,1938,0,0
TPLink (US),298800,0,0,0,0,0,0
TPLink (US),300600,0,0,0,0,0,0
