Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
MetaquestPro (US),0,6,396,3,234,3,162
MetaquestPro (US),1800,0,0,0,0,0,0
MetaquestPro (US),3600,0,0,0,0,0,0
MetaquestPro (US),5400,0,0,0,0,0,0
MetaquestPro (US),7200,0,0,0,0,0,0
MetaquestPro (US),9000,0,0,0,0,0,0
MetaquestPro (US),10800,0,0,0,0,0,0
MetaquestPro (US),12600,0,0,0,0,0,0
MetaquestPro (US),14400,0,0,0,0,0,0
MetaquestPro (US),16200,0,0,0,0,0,0
MetaquestPro (US),18000,0,0,0,0,0,0
MetaquestPro (US),19800,0,0,0,0,0,0
MetaquestPro (US),21600,0,0,0,0,0,0
MetaquestPro (US),23400,0,0,0,0,0,0
MetaquestPro (US),25200,0,0,0,0,0,0
MetaquestPro (US),27000,0,0,0,0,0,0
MetaquestPro (US),28800,0,0,0,0,0,0
MetaquestPro (US),30600,0,0,0,0,0,0
MetaquestPro (US),32400,0,0,0,0,0,0
MetaquestPro (US),34200,0,0,0,0,0,0
MetaquestPro (US),36000,0,0,0,0,0,0
MetaquestPro (US),37800,0,0,0,0,0,0
MetaquestPro (US),39600,0,0,0,0,0,0
MetaquestPro (US),41400,0,0,0,0,0,0
MetaquestPro (US),43200,6,396,3,234,3,162
MetaquestPro (US),45000,0,0,0,0,0,0
MetaquestPro (US),46800,0,0,0,0,0,0
MetaquestPro (US),48600,0,0,0,0,0,0
MetaquestPro (US),50400,0,0,0,0,0,0
MetaquestPro (US),52200,0,0,0,0,0,0
MetaquestPro (US),54000,0,0,0,0,0,0
MetaquestPro (US),55800,0,0,0,0,0,0
MetaquestPro (US),57600,0,0,0,0,0,0
MetaquestPro (US),59400,0,0,0,0,0,0
MetaquestPro (US),61200,0,0,0,0,0,0
MetaquestPro (US),63000,0,0,0,0,0,0
MetaquestPro (US),64800,0,0,0,0,0,0
MetaquestPro (US),66600,0,0,0,0,0,0
MetaquestPro (US),68400,0,0,0,0,0,0
MetaquestPro (US),70200,0,0,0,0,0,0
MetaquestPro (US),72000,0,0,0,0,0,0
MetaquestPro (US),73800,0,0,0,0,0,0
MetaquestPro (US),75600,0,0,0,0,0,0
MetaquestPro (US),77400,0,0,0,0,0,0
MetaquestPro (US),79200,0,0,0,0,0,0
MetaquestPro (US),81000,0,0,0,0,0,0
MetaquestPro (US),82800,0,0,0,0,0,0
MetaquestPro (US),84600,0,0,0,0,0,0
MetaquestPro (US),86400,6,396,3,234,3,162
MetaquestPro (US),88200,0,0,0,0,0,0
MetaquestPro (US),90000,0,0,0,0,0,0
MetaquestPro (US),91800,0,0,0,0,0,0
MetaquestPro (US),93600,0,0,0,0,0,0
MetaquestPro (US),95400,0,0,0,0,0,0
MetaquestPro (US),97200,0,0,0,0,0,0
MetaquestPro (US),99000,0,0,0,0,0,0
MetaquestPro (US),100800,0,0,0,0,0,0
MetaquestPro (US),102600,0,0,0,0,0,0
MetaquestPro (US),104400,0,0,0,0,0,0
MetaquestPro (US),106200,0,0,0,0,0,0
MetaquestPro (US),108000,0,0,0,0,0,0
MetaquestPro (US),109800,0,0,0,0,0,0
MetaquestPro (US),111600,0,0,0,0,0,0
MetaquestPro (US),113400,0,0,0,0,0,0
MetaquestPro (US),115200,0,0,0,0,0,0
MetaquestPro (US),117000,0,0,0,0,0,0
MetaquestPro (US),118800,0,0,0,0,0,0
MetaquestPro (US),120600,0,0,0,0,0,0
MetaquestPro (US),122400,0,0,0,0,0,0
