StartTime,Frames,Bytes
0,8433,4125173
1800,8378,4105563
3600,8401,4126682
5400,8452,4141045
7200,8319,4068274
9000,8428,4122613
10800,8411,4125318
12600,8409,4124150
14400,8445,4138764
16200,8405,4117407
18000,8341,4069016
19800,8389,4110189
21600,8353,4083693
23400,8344,4081848
25200,8297,4054934
27000,8289,4051610
28800,8308,4060922
30600,8298,4063749
32400,8267,4043708
34200,8251,4030652
36000,8264,4033437
37800,8254,4031276
39600,8278,4045819
41400,8278,4041738
43200,8268,4045705
45000,8278,4046227
46800,8269,4038995
48600,8268,4039544
50400,8288,4058648
52200,8245,4033784
54000,8286,4048336
55800,8239,4025035
57600,8275,4052336
59400,8273,4042494
61200,8264,4038183
63000,8313,4064023
64800,8299,4056809
66600,8314,4076269
68400,8298,4053990
70200,8281,4046284
72000,8267,4046187
73800,8281,4055344
75600,8316,4063827
77400,8265,4044953
79200,8296,4059073
81000,8335,4073394
82800,8341,4077878
84600,8245,4029904
86400,8223,4018612
88200,8197,4008255
90000,8228,4029158
91800,8217,4028304
93600,8226,4021735
95400,8226,4026227
97200,8216,4013619
99000,8192,4006591
100800,8241,4036871
102600,8210,4013222
104400,8234,4031889
106200,8213,4015770
108000,8219,4021681
109800,8206,4012573
111600,8222,4013259
113400,8197,4013507
115200,8216,4015652
117000,8210,4020366
118800,8212,4019051
120600,8216,4018298
122400,8194,4009278
124200,8193,4009760
126000,8202,4001739
127800,8213,4023217
129600,8216,4017797
131400,8200,4002230
133200,8189,4003830
135000,8196,4003714
136800,8193,4009749
138600,8213,4014017
140400,8195,4007218
142200,8216,4019036
144000,8206,4008667
145800,8236,4024794
147600,8229,4023450
149400,8215,4017393
151200,8293,4062184
153000,8210,4012436
154800,8220,4025307
156600,8250,4035620
158400,8223,4024109
160200,8227,4020007
162000,8250,4034732
163800,8229,4022648
165600,8205,4011165
167400,8222,4018348
169200,8226,4025123
171000,8215,4020166
172800,8244,4028767
174600,8213,4015212
176400,8238,4036271
178200,4826,2368459
180000,0,0
181800,138,68134
183600,1646,803140
185400,416,202323
187200,695,341456
189000,412,200761
190800,546,266451
192600,2057,1000034
194400,3842,1876301
196200,6295,3088427
198000,7692,3759869
199800,7124,3489507
201600,8203,4012675
203400,7932,3886698
205200,8205,4012339
207000,6709,3287594
208800,4676,2281871
210600,4941,2422261
212400,6562,3215057
214200,8234,4025509
216000,8214,4020583
217800,8221,4028234
219600,3052,1496224
221400,0,0
223200,0,0
225000,0,0
226800,0,0
228600,0,0
230400,0,0
232200,0,0
234000,0,0
235800,0,0
237600,0,0
239400,0,0
241200,0,0
243000,0,0
244800,0,0
246600,0,0
248400,0,0
250200,0,0
252000,0,0
253800,0,0
255600,0,0
257400,0,0
259200,0,0
261000,0,0
262800,0,0
264600,0,0
266400,0,0
268200,0,0
270000,0,0
271800,0,0
273600,0,0
275400,0,0
277200,0,0
279000,0,0
280800,0,0
282600,0,0
284400,0,0
286200,0,0
288000,0,0
289800,0,0
291600,0,0
293400,0,0
295200,0,0
297000,0,0
298800,0,0
300600,0,0
302400,0,0
304200,0,0
306000,0,0
