Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
HoloLens2 (US),0,205,26130,205,26130,0,0
HoloLens2 (US),1800,0,0,0,0,0,0
HoloLens2 (US),3600,0,0,0,0,0,0
HoloLens2 (US),5400,0,0,0,0,0,0
HoloLens2 (US),7200,0,0,0,0,0,0
HoloLens2 (US),9000,0,0,0,0,0,0
HoloLens2 (US),10800,0,0,0,0,0,0
HoloLens2 (US),12600,0,0,0,0,0,0
HoloLens2 (US),14400,0,0,0,0,0,0
HoloLens2 (US),16200,0,0,0,0,0,0
HoloLens2 (US),18000,0,0,0,0,0,0
HoloLens2 (US),19800,0,0,0,0,0,0
HoloLens2 (US),21600,11,1086,11,1086,0,0
HoloLens2 (US),23400,0,0,0,0,0,0
HoloLens2 (US),25200,0,0,0,0,0,0
HoloLens2 (US),27000,0,0,0,0,0,0
HoloLens2 (US),28800,0,0,0,0,0,0
HoloLens2 (US),30600,0,0,0,0,0,0
HoloLens2 (US),32400,0,0,0,0,0,0
HoloLens2 (US),34200,0,0,0,0,0,0
HoloLens2 (US),36000,0,0,0,0,0,0
HoloLens2 (US),37800,0,0,0,0,0,0
HoloLens2 (US),39600,0,0,0,0,0,0
HoloLens2 (US),41400,11,1086,11,1086,0,0
HoloLens2 (US),43200,147,19098,147,19098,0,0
HoloLens2 (US),45000,102,12756,102,12756,0,0
HoloLens2 (US),46800,68,8504,68,8504,0,0
HoloLens2 (US),48600,102,12756,102,12756,0,0
HoloLens2 (US),50400,68,8504,68,8504,0,0
HoloLens2 (US),52200,102,12756,102,12756,0,0
HoloLens2 (US),54000,100,12592,100,12592,0,0
HoloLens2 (US),55800,68,8504,68,8504,0,0
HoloLens2 (US),57600,103,12810,103,12810,0,0
HoloLens2 (US),59400,101,12646,101,12646,0,0
HoloLens2 (US),61200,115,14062,115,14062,0,0
HoloLens2 (US),63000,66,8340,66,8340,0,0
HoloLens2 (US),64800,187,23914,187,23914,0,0
HoloLens2 (US),66600,102,12756,102,12756,0,0
HoloLens2 (US),68400,68,8504,68,8504,0,0
HoloLens2 (US),70200,103,12810,103,12810,0,0
HoloLens2 (US),72000,103,12810,103,12810,0,0
HoloLens2 (US),73800,103,12810,103,12810,0,0
HoloLens2 (US),75600,68,8504,68,8504,0,0
HoloLens2 (US),77400,103,12810,103,12810,0,0
HoloLens2 (US),79200,130,16040,130,16040,0,0
HoloLens2 (US),81000,103,12810,103,12810,0,0
HoloLens2 (US),82800,101,12646,101,12646,0,0
HoloLens2 (US),84600,68,8504,68,8504,0,0
HoloLens2 (US),86400,103,12810,103,12810,0,0
HoloLens2 (US),88200,68,8504,68,8504,0,0
HoloLens2 (US),90000,103,12810,103,12810,0,0
HoloLens2 (US),91800,103,12810,103,12810,0,0
HoloLens2 (US),93600,102,12756,102,12756,0,0
HoloLens2 (US),95400,68,8504,68,8504,0,0
HoloLens2 (US),97200,98,12428,98,12428,0,0
HoloLens2 (US),99000,102,12756,102,12756,0,0
HoloLens2 (US),100800,112,13844,112,13844,0,0
HoloLens2 (US),102600,69,8558,69,8558,0,0
HoloLens2 (US),104400,100,12592,100,12592,0,0
HoloLens2 (US),106200,69,8558,69,8558,0,0
HoloLens2 (US),108000,103,12810,103,12810,0,0
HoloLens2 (US),109800,100,12592,100,12592,0,0
HoloLens2 (US),111600,68,8504,68,8504,0,0
HoloLens2 (US),113400,100,12592,100,12592,0,0
HoloLens2 (US),115200,103,12810,103,12810,0,0
HoloLens2 (US),117000,69,8558,69,8558,0,0
HoloLens2 (US),118800,102,12756,102,12756,0,0
HoloLens2 (US),120600,113,13954,113,13954,0,0
HoloLens2 (US),122400,103,12810,103,12810,0,0
HoloLens2 (US),124200,66,8340,66,8340,0,0
HoloLens2 (US),126000,102,12756,102,12756,0,0
HoloLens2 (US),127800,68,8504,68,8504,0,0
HoloLens2 (US),129600,100,12592,100,12592,0,0
HoloLens2 (US),131400,102,12756,102,12756,0,0
HoloLens2 (US),133200,103,12810,103,12810,0,0
HoloLens2 (US),135000,68,8504,68,8504,0,0
HoloLens2 (US),136800,101,12646,101,12646,0,0
HoloLens2 (US),138600,68,8504,68,8504,0,0
HoloLens2 (US),140400,113,13954,113,13954,0,0
