StartTime,Frames,Bytes
0,350,42350
1800,362,43802
3600,366,44286
5400,362,43802
7200,362,43802
9000,363,43923
10800,364,44044
12600,362,43802
14400,363,43923
16200,360,43560
18000,364,44044
19800,366,44286
21600,363,43923
23400,445,53845
25200,446,53966
27000,362,43802
28800,361,43681
30600,360,43560
32400,361,43681
34200,364,44044
36000,360,43560
37800,364,44044
39600,363,43923
41400,361,43681
43200,361,43681
45000,361,43681
46800,362,43802
48600,360,43560
50400,362,43802
52200,361,43681
54000,363,43923
55800,361,43681
57600,360,43560
59400,362,43802
61200,364,44044
63000,354,42834
64800,363,43923
66600,366,44286
68400,364,44044
70200,361,43681
72000,365,44165
73800,364,44044
75600,360,43560
77400,366,44286
79200,363,43923
81000,367,44407
82800,364,44044
84600,365,44165
86400,367,44407
88200,358,43318
90000,364,44044
91800,363,43923
93600,363,43923
95400,366,44286
97200,365,44165
99000,362,43802
100800,368,44528
102600,368,44528
104400,360,43560
106200,364,44044
108000,362,43802
109800,362,43802
111600,364,44044
113400,370,44770
115200,369,44649
117000,361,43681
118800,365,44165
120600,367,44407
122400,370,44770
124200,360,43560
126000,367,44407
127800,366,44286
129600,361,43681
131400,362,43802
133200,363,43923
135000,364,44044
136800,362,43802
138600,363,43923
140400,361,43681
142200,364,44044
144000,363,43923
145800,365,44165
147600,363,43923
149400,361,43681
151200,362,43802
153000,361,43681
154800,363,43923
156600,364,44044
158400,365,44165
160200,363,43923
162000,361,43681
163800,363,43923
165600,363,43923
167400,367,44407
169200,366,44286
171000,362,43802
172800,363,43923
174600,366,44286
176400,364,44044
178200,363,43923
180000,367,44407
181800,368,44528
183600,367,44407
185400,363,43923
187200,364,44044
189000,363,43923
190800,363,43923
192600,365,44165
194400,362,43802
196200,364,44044
198000,363,43923
199800,365,44165
201600,365,44165
203400,361,43681
205200,365,44165
207000,365,44165
208800,363,43923
210600,365,44165
212400,363,43923
214200,365,44165
216000,363,43923
217800,360,43560
219600,360,43560
221400,366,44286
223200,363,43923
225000,364,44044
226800,365,44165
228600,360,43560
230400,364,44044
232200,365,44165
234000,362,43802
235800,358,43318
237600,365,44165
239400,363,43923
241200,362,43802
243000,369,44649
244800,364,44044
246600,367,44407
248400,363,43923
250200,368,44528
252000,361,43681
253800,361,43681
255600,366,44286
257400,373,45133
259200,368,44528
261000,366,44286
262800,370,44770
264600,366,44286
266400,368,44528
268200,374,45254
270000,362,43802
271800,365,44165
273600,369,44649
275400,364,44044
277200,368,44528
279000,366,44286
280800,366,44286
282600,399,48279
284400,373,45133
286200,372,45012
288000,368,44528
289800,372,45012
291600,375,45375
293400,368,44528
295200,366,44286
297000,370,44770
298800,373,45133
300600,375,45375
302400,374,45254
304200,366,44286
306000,369,44649
307800,368,44528
309600,363,43923
311400,368,44528
313200,366,44286
315000,368,44528
316800,369,44649
318600,365,44165
320400,372,45012
322200,358,43318
324000,366,44286
325800,369,44649
327600,364,44044
329400,362,43802
331200,363,43923
333000,369,44649
334800,373,45133
336600,372,45012
338400,365,44165
340200,367,44407
342000,366,44286
343800,364,44044
345600,367,44407
347400,377,45617
349200,374,45254
351000,372,45012
352800,373,45133
354600,376,45496
356400,364,44044
358200,365,44165
360000,369,44649
361800,368,44528
363600,369,44649
365400,364,44044
367200,367,44407
369000,379,45859
370800,372,45012
372600,373,45133
374400,365,44165
376200,366,44286
378000,370,44770
379800,368,44528
381600,366,44286
383400,364,44044
385200,363,43923
387000,368,44528
388800,365,44165
390600,363,43923
392400,365,44165
394200,367,44407
396000,368,44528
397800,363,43923
399600,363,43923
401400,365,44165
403200,365,44165
405000,363,43923
406800,362,43802
408600,356,43076
410400,365,44165
412200,363,43923
414000,365,44165
415800,364,44044
417600,363,43923
419400,364,44044
421200,364,44044
423000,367,44407
424800,362,43802
426600,370,44770
428400,363,43923
430200,365,44165
432000,369,44649
433800,366,44286
435600,363,43923
437400,371,44891
439200,367,44407
441000,368,44528
442800,369,44649
444600,364,44044
446400,366,44286
448200,367,44407
450000,363,43923
451800,368,44528
453600,363,43923
455400,369,44649
457200,373,45133
459000,365,44165
460800,361,43681
462600,364,44044
464400,363,43923
466200,363,43923
468000,365,44165
469800,365,44165
471600,366,44286
473400,367,44407
475200,367,44407
477000,364,44044
478800,364,44044
480600,366,44286
482400,370,44770
484200,366,44286
486000,365,44165
487800,365,44165
489600,364,44044
491400,365,44165
493200,368,44528
495000,358,43318
496800,366,44286
498600,368,44528
500400,365,44165
502200,369,44649
504000,369,44649
505800,368,44528
507600,362,43802
509400,363,43923
511200,369,44649
513000,373,45133
514800,366,44286
516600,367,44407
518400,364,44044
520200,369,44649
522000,367,44407
523800,367,44407
525600,363,43923
527400,366,44286
529200,362,43802
531000,367,44407
532800,364,44044
534600,365,44165
536400,363,43923
538200,366,44286
540000,364,44044
541800,400,48400
543600,388,46948
545400,396,47916
547200,362,43802
549000,364,44044
550800,366,44286
552600,365,44165
554400,372,45012
556200,366,44286
558000,366,44286
559800,363,43923
561600,362,43802
563400,363,43923
565200,365,44165
567000,367,44407
568800,365,44165
570600,362,43802
572400,364,44044
574200,365,44165
576000,366,44286
577800,363,43923
579600,362,43802
581400,358,43318
583200,368,44528
585000,361,43681
586800,365,44165
588600,366,44286
590400,368,44528
592200,372,45012
594000,371,44891
595800,376,45496
597600,371,44891
599400,374,45254
601200,363,43923
603000,182,22022
