StartTime,Frames,Bytes
0,4759,2349844
1800,1413,492830
3600,850,231495
5400,1425,451120
7200,1170,382293
9000,1424,489419
10800,893,246728
12600,1471,471860
14400,1280,423767
16200,1263,421003
18000,762,195643
19800,1621,528482
21600,1260,421105
23400,818,220970
25200,1368,461544
27000,1647,538589
28800,1206,403233
30600,862,246832
32400,1208,402237
34200,1370,454952
36000,1483,479377
37800,736,197753
39600,1299,434884
41400,1351,448058
43200,1443,458622
45000,838,233000
46800,1333,444852
48600,1650,660289
50400,1006,255904
52200,1267,432203
54000,1339,498105
55800,1452,491752
57600,929,235400
59400,1291,427126
61200,1407,484632
63000,1475,500491
64800,846,203594
66600,1274,425495
68400,1232,402115
70200,909,247682
72000,1493,484074
73800,1483,511021
75600,1209,391862
77400,812,210302
79200,1395,456389
81000,1435,490077
82800,1243,406627
84600,1037,297836
86400,1544,536202
88200,1366,443624
90000,1437,498608
91800,943,265753
93600,1223,406628
95400,1371,442843
97200,899,251949
99000,1420,483796
100800,1204,396230
102600,1542,497113
104400,1015,266724
106200,1449,488685
108000,1243,409656
109800,1616,531358
111600,800,211417
113400,1444,480113
115200,1309,436066
117000,1456,467928
118800,837,229772
120600,1278,422935
122400,1433,488327
124200,807,192584
126000,1358,448980
127800,1435,495989
129600,1406,472922
131400,1095,375939
133200,1528,527460
135000,1341,460730
136800,1308,422894
138600,940,249540
140400,1328,436456
142200,1416,478539
144000,733,185447
145800,1324,445036
147600,1582,523685
149400,1359,455847
151200,863,237396
153000,1280,433321
154800,1451,467090
156600,1357,457491
158400,849,231300
160200,1320,453377
162000,1615,615410
163800,1506,509655
165600,705,175612
167400,1425,483285
169200,1533,492403
171000,889,257466
172800,1409,478529
174600,21829,90860640
176400,21670,26896100
178200,779,204009
180000,1149,460949
181800,2457,937901
183600,651,153774
185400,1698,883099
187200,737,183097
189000,602,148304
190800,1427,497319
192600,1404,713901
194400,694,177090
196200,746,177030
198000,2796,1183147
199800,1751,697829
201600,1484,567405
203400,1117,423461
205200,1837,678216
207000,1768,799031
208800,1223,477693
210600,1599,656306
212400,1787,669651
214200,822,210974
216000,1469,704969
217800,550,115245
219600,1711,615553
221400,1182,591302
223200,599,141610
225000,710,175756
226800,2302,1122391
228600,595,138308
230400,649,153423
232200,2626,1242118
234000,1297,464109
235800,1472,569156
237600,1544,598458
239400,1696,645271
241200,1144,409338
243000,1669,643921
244800,1501,611784
246600,889,210998
248400,1169,513421
250200,673,149800
252000,1355,469858
253800,1224,631896
255600,616,141074
257400,712,177774
259200,2573,1333536
261000,462,85003
262800,628,146156
264600,2494,1140783
266400,1339,489099
268200,1586,584439
270000,1648,642060
271800,1000,357036
273600,1709,662138
275400,1477,568952
277200,1530,608945
279000,555,142980
280800,1390,599919
282600,782,289861
284400,1855,646001
286200,565,119339
288000,1428,690655
289800,669,166387
291600,1563,527392
293400,1292,610255
295200,752,202911
297000,613,130779
298800,2347,1049602
300600,1818,675838
302400,1175,460862
304200,1665,619786
306000,1668,700611
307800,1815,674851
309600,1048,407800
311400,1656,647144
313200,448,78393
315000,1394,612846
316800,1452,497568
318600,724,172475
320400,1354,616179
322200,754,184359
324000,1459,507068
325800,1769,1074119
327600,1146,340123
329400,1434,739169
331200,1608,567692
333000,617,139548
334800,1366,683229
336600,504,87347
338400,1302,444956
340200,1199,501048
342000,738,168507
343800,627,146295
345600,1815,875856
347400,569,114562
349200,635,144435
351000,2304,1059125
352800,1491,571013
354600,1294,438938
356400,1747,662269
358200,1737,664742
360000,1593,585050
361800,1165,410286
363600,1801,680381
365400,1194,562403
367200,707,173692
369000,1194,407141
370800,1195,530035
372600,737,172333
374400,664,166175
376200,2322,1059342
378000,586,117236
379800,560,133045
381600,1293,557159
383400,1385,464879
385200,1766,702097
387000,1881,712767
388800,1174,433228
390600,1679,647509
392400,1787,740738
394200,1253,460948
396000,1560,611480
397800,840,300806
399600,1459,724080
401400,1467,520470
403200,590,133735
405000,1395,591131
406800,677,159408
408600,1645,577302
410400,1484,681013
412200,777,197321
414000,754,170699
415800,2492,1192787
417600,697,173021
419400,661,166418
421200,1300,612788
423000,1751,622995
424800,1322,666747
426600,523,101539
428400,684,168052
430200,2222,1025195
432000,906,231909
433800,590,132619
435600,1581,768959
437400,2183,910263
439200,1529,599996
441000,1669,666068
442800,1247,431325
444600,1585,655222
446400,1717,674606
448200,1835,721306
450000,1585,688585
451800,674,172440
453600,1472,515851
455400,1304,632211
457200,669,146824
459000,539,111411
460800,1971,855393
462600,500,87071
464400,723,174045
466200,1031,492698
468000,1266,389023
469800,726,169653
471600,1660,707816
473400,1181,442890
475200,1650,617016
477000,1823,705713
478800,1879,839171
480600,1160,488974
482400,1702,652803
484200,1111,449601
486000,1351,421333
487800,669,141987
489600,990,493975
491400,585,131102
493200,1480,510690
495000,1351,696066
496800,745,187717
498600,1321,592411
500400,1446,495234
502200,724,181811
504000,2437,1008530
505800,1802,699674
507600,1105,409745
509400,1582,619508
511200,1744,663574
513000,1213,458994
514800,1701,700439
516600,1038,423080
518400,1184,397468
520200,623,143341
522000,1416,717019
523800,793,198376
525600,1526,533780
527400,1529,700410
529200,527,119024
531000,727,166787
532800,2077,955335
534600,818,292445
536400,2117,943982
538200,1162,433232
540000,1684,635829
541800,1886,710893
543600,1834,747768
545400,1092,409788
547200,1893,745522
549000,1142,441694
