StartTime,Frames,Bytes
0,2128,455290
1800,1993,408918
3600,2117,442623
5400,1998,410957
7200,2120,446293
9000,1991,408757
10800,2128,444902
12600,2049,420498
14400,2047,430094
16200,2042,418296
18000,2069,436772
19800,2056,422700
21600,2166,461326
23400,1991,408744
25200,2151,457308
27000,1989,408625
28800,2145,455261
30600,2042,418296
32400,2076,440882
34200,2044,418428
36000,2054,432713
37800,2065,425021
39600,2067,436882
41400,2056,422700
43200,2112,443917
45000,2007,411614
46800,2106,440007
48600,1999,412982
50400,2096,437506
52200,2028,421969
54000,2089,435077
55800,2067,423544
57600,1981,415735
59400,2105,438362
61200,2046,430038
63000,2091,433958
64800,2063,431214
66600,2010,415479
68400,2114,443854
70200,2005,413396
72000,2109,443262
73800,2005,413790
75600,2053,431540
77400,2101,436345
79200,1993,418516
81000,2078,429608
82800,2053,432068
84600,2079,429673
86400,2025,423220
88200,2077,429554
90000,2093,437407
91800,2010,415479
93600,2092,437077
95400,2019,417813
97200,2132,450635
99000,2071,425441
100800,2052,432405
102600,2081,429603
104400,2057,435130
106200,2046,418593
108000,2100,448303
109800,2045,419307
111600,2155,457406
113400,2013,416598
115200,2152,457269
117000,2043,425514
118800,2150,457206
120600,2080,430673
122400,2058,434810
124200,2051,420621
126000,2075,438952
127800,2058,422834
129600,2067,436778
131400,2072,427227
133200,2135,450659
135000,1989,408627
136800,2128,448671
138600,1982,406425
140400,2134,450624
142200,2050,420566
144000,2063,434745
145800,2056,422702
147600,2061,434538
149400,2067,427125
151200,2095,437504
153000,2029,421913
154800,2125,446539
156600,2029,421913
158400,2099,438998
160200,2094,434158
162000,2018,420975
163800,2105,438364
165600,2031,425225
167400,2109,438617
169200,2046,430101
171000,2070,427354
172800,2113,443841
174600,2010,415481
176400,2062,434139
178200,2008,415360
180000,2111,442385
181800,2091,433960
183600,2033,425419
185400,2078,425975
187200,2025,423008
189000,2100,436283
190800,2123,446484
192600,2009,411792
194400,2098,439793
196200,2079,438018
198000,2115,445976
199800,2094,435325
201600,2055,434880
203400,2084,430968
205200,2056,434861
207000,2068,426359
208800,2132,451830
210600,2007,413326
212400,2119,446319
214200,1996,410829
216000,2133,450613
217800,2060,422955
219600,2069,436638
221400,2049,420500
223200,2127,448465
225000,1996,410829
226800,2122,446455
228600,1996,410829
230400,2133,450547
232200,2003,413031
234000,2127,448563
235800,2051,420621
237600,2067,436566
239400,2056,422702
241200,2056,432518
243000,2070,427106
244800,2046,432444
246600,2005,414012
248400,2051,433305
250200,2052,420674
252000,2135,450801
253800,2019,419524
255600,2104,439943
257400,2008,415318
259200,2105,439908
261000,2058,421168
262800,2028,423160
264600,2083,431692
266400,2040,427425
268200,2084,431758
270000,2098,439714
271800,2012,415614
273600,2115,443910
275400,2009,411792
277200,2112,443897
279000,2084,431758
280800,2042,429481
282600,2079,429677
284400,2116,446046
286200,2042,423264
288000,2102,440558
289800,2041,425654
291600,2115,444684
293400,2076,437820
295200,2099,440011
297000,2091,433960
298800,2038,425970
300600,2098,436162
302400,2012,418701
304200,2077,429556
306000,2093,437132
307800,2025,419940
309600,2152,457087
311400,1988,406828
313200,2123,448727
315000,2046,418593
316800,2049,430107
318600,2049,420500
320400,2113,444356
322200,1975,404223
324000,2129,448652
325800,2058,422823
327600,2067,436742
329400,2065,425036
331200,2037,427638
333000,2063,424904
334800,2126,448261
336600,1991,408748
338400,2127,444991
340200,1989,408627
342000,2133,450724
343800,2056,422702
345600,2074,435316
347400,2070,427106
349200,2048,430010
351000,2058,422823
352800,2112,440493
354600,2003,413031
356400,2134,450493
358200,1989,408627
360000,2128,448530
361800,2027,421792
363600,2117,444148
365400,2082,431584
367200,2024,422380
369000,2119,442171
370800,2055,434119
372600,2038,424264
374400,2131,450381
376200,2050,427988
378000,2108,442683
379800,2041,425654
381600,2105,442037
383400,2084,431758
385200,2026,423342
387000,2108,438521
388800,2029,425165
390600,2087,431934
392400,2088,438430
394200,1982,407280
396000,2107,441706
397800,2033,422219
399600,2091,437083
401400,2021,418876
403200,2103,440479
405000,2079,426054
406800,2031,425525
408600,2042,421541
410400,2098,439681
412200,2017,417683
414000,2111,443936
415800,1993,408922
417600,2138,452926
419400,2000,411124
421200,2133,450511
423000,2010,415233
424800,2126,446839
426600,2042,418298
428400,2047,430330
430200,2063,424904
432000,2061,430866
433800,2058,422810
435600,2127,448477
437400,1998,410961
439200,2134,450644
441000,1984,406557
442800,2122,442730
444600,1997,411008
446400,2119,446245
448200,2042,418298
450000,2060,434534
451800,2049,420500
453600,2159,459261
455400,2015,416719
457200,2156,459519
459000,2018,418668
460800,2139,452953
462600,2058,422834
464400,2085,443230
466200,2103,439368
468000,2042,428333
469800,2079,429635
471600,2109,442305
473400,2024,419885
475200,2086,435009
477000,2010,415481
478800,2093,437225
480600,2088,431987
482400,2025,423224
484200,2091,433960
486000,2094,437393
487800,2017,417695
489600,2101,439755
491400,2017,417695
493200,2107,441872
495000,2010,415493
496800,2095,437443
498600,2076,425879
500400,2011,418822
502200,2078,429634
504000,2101,440815
505800,1955,403522
507600,2106,441929
509400,2018,417761
511200,2086,435352
513000,2063,425164
514800,2017,420968
516600,2091,433972
518400,2057,434071
520200,2069,425320
522000,2105,442433
523800,2000,411124
525600,2125,448532
527400,1996,410829
529200,2127,448462
531000,1983,406604
532800,2121,446333
534600,2044,418419
536400,2050,430661
538200,2070,427106
540000,2082,442045
541800,2045,419307
543600,2142,451339
545400,2007,414462
547200,2135,451743
549000,2068,426390
550800,2077,441191
552600,2080,430673
554400,2046,430673
556200,2076,429129
558000,2065,436638
559800,2056,422702
561600,2136,447374
563400,1975,404223
565200,2112,444058
567000,2042,418298
568800,2052,432128
570600,2091,433919
572400,2039,426072
574200,2073,425650
576000,2097,437479
577800,2017,415955
579600,2086,435335
581400,2027,420095
583200,2062,431345
585000,2098,434459
586800,1957,410407
588600,2077,429568
590400,2012,418710
592200,2084,431770
594000,2019,420983
595800,2091,433972
597600,2045,427832
599400,2091,433972
601200,2106,441851
603000,2000,413031
