StartTime,Frames,Bytes
0,2615,534822
1800,2582,535622
3600,2632,546525
5400,2649,550423
7200,2563,529373
9000,2665,586341
10800,2636,547377
12600,2623,545057
14400,2688,562394
16200,2552,531356
18000,2528,529265
19800,2652,547503
21600,2547,534049
23400,2544,528876
25200,2542,528196
27000,2706,563341
28800,2585,539405
30600,2480,516926
32400,2584,539347
34200,2486,517482
36000,2716,566346
37800,2541,530196
39600,2547,529891
41400,2552,534472
43200,2653,551156
45000,2549,534198
46800,2504,520869
48600,2543,530650
50400,2718,566562
52200,2500,524758
54000,2615,546072
55800,2480,516866
57600,2680,561204
59400,2489,519636
61200,2613,547253
63000,2538,528296
64800,2776,572645
66600,2708,560588
68400,2580,540723
70200,2489,514718
72000,2742,573242
73800,2471,514598
75600,2552,536712
77400,2479,516458
79200,2693,563606
81000,2452,509702
82800,2663,559973
84600,2560,534467
86400,2641,549501
88200,2643,549798
90000,2523,527363
91800,2531,526232
93600,2567,532895
95400,2784,603462
97200,2611,543701
99000,2474,516190
100800,2595,540364
102600,2670,560112
104400,2565,534329
106200,2543,530616
108000,2541,531857
109800,2685,560109
111600,2537,527732
113400,2534,528030
115200,2574,536689
117000,2622,547533
118800,2569,534697
120600,2581,542482
122400,2682,559558
124200,2594,538389
126000,2638,553159
127800,2555,533074
129600,2536,531505
131400,2701,564431
133200,2509,522831
135000,2566,537774
136800,2528,528591
138600,2649,549063
140400,2642,552740
142200,2460,510320
144000,2574,536689
145800,2556,534774
147600,2638,548364
149400,2530,524654
151200,2494,518463
153000,2703,561602
154800,2760,576099
156600,2484,518498
158400,2586,539435
160200,2476,516186
162000,2723,565462
163800,2521,531352
165600,2578,536873
167400,2536,535706
169200,2784,582945
171000,2550,531178
172800,2547,531808
174600,2555,533168
176400,2636,556368
178200,2547,530878
180000,2597,543381
181800,2648,577723
183600,2635,550657
185400,2548,532432
187200,2619,554066
189000,2563,536743
190800,2519,526731
192600,2561,535042
194400,2532,529661
196200,2544,530352
198000,2721,563423
199800,2479,516170
201600,2565,534301
203400,2489,520772
205200,2731,569202
207000,2621,546157
208800,2529,529305
210600,2550,532442
212400,2754,573520
214200,2477,516410
216000,2597,544971
217800,2466,512384
219600,2602,545405
221400,2527,524358
223200,2528,529311
225000,2566,537130
226800,2554,532408
228600,2544,530348
230400,2574,536579
232200,2592,538771
234000,2600,543162
235800,2486,518966
237600,2626,552247
239400,2944,606083
241200,2598,540081
243000,2586,544688
244800,2507,525585
246600,2614,544533
248400,2484,518741
250200,2549,532560
252000,2519,525227
253800,2535,528054
255600,2559,534487
257400,2538,530176
259200,2589,537406
261000,2458,510254
262800,2561,532437
264600,2557,534880
266400,2668,557044
268200,2701,589158
270000,2536,527499
271800,2535,526550
273600,2761,579696
275400,2577,541372
277200,2630,552543
279000,2474,514658
280800,2565,532835
282600,2568,537478
284400,2710,563005
286200,2543,530616
288000,2527,527641
289800,2554,534594
291600,2600,545223
293400,2581,540598
295200,2573,534899
297000,2496,522890
298800,2623,548067
300600,2643,552833
302400,2600,543935
304200,2546,530804
306000,2523,527379
307800,2666,555085
309600,2598,544829
311400,2481,516896
313200,2617,545105
315000,2457,510144
316800,2575,536945
318600,2600,546702
320400,2654,551466
322200,2525,524244
