StartTime,Frames,Bytes
0,200,48547
1800,57,10543
3600,30,2424
5400,164,54726
7200,33,3317
9000,57,10572
10800,30,2424
12600,66,13737
14400,31,2478
16200,57,10543
18000,30,2424
19800,61,12382
21600,31,2478
23400,57,10543
25200,32,2604
27000,68,13799
28800,30,2424
30600,57,10543
32400,30,2424
34200,62,12434
36000,30,2424
37800,57,10543
39600,30,2424
41400,65,13575
43200,30,2424
45000,57,10543
46800,57,10543
48600,40,4719
50400,57,10543
52200,30,2424
54000,57,10543
55800,37,5402
57600,56,10489
59400,30,2424
61200,57,10543
63000,35,4315
64800,57,10543
66600,30,2424
68400,57,10543
70200,38,5456
72000,59,10723
73800,30,2424
75600,57,10543
77400,37,4485
79200,55,10435
81000,30,2424
82800,57,10543
84600,38,5456
86400,57,10543
88200,55,10435
90000,30,2424
91800,90,21195
93600,32,2604
95400,57,10543
97200,30,2424
99000,68,13800
100800,30,2424
102600,57,10543
104400,30,2424
106200,62,12434
108000,30,2424
109800,57,10543
111600,30,2424
113400,66,13631
115200,32,2604
117000,57,10543
118800,30,2424
120600,65,12658
122400,30,2424
124200,58,10626
126000,30,2424
127800,65,13690
129600,57,10543
131400,30,2424
133200,57,10543
135000,35,4316
136800,57,10615
138600,30,2424
140400,67,13748
142200,31,2478
144000,57,10543
145800,30,2424
147600,61,12380
149400,31,2478
151200,57,10543
153000,30,2424
154800,64,13522
156600,31,2478
158400,57,10615
160200,30,2424
162000,65,12658
163800,30,2424
165600,55,10435
167400,30,2424
169200,63,13470
171000,57,10543
172800,30,2424
174600,57,10543
176400,40,4719
178200,55,10435
180000,30,2424
181800,81,18357
183600,39,6244
185400,58,10597
187200,30,2424
189000,57,10543
190800,36,4372
192600,57,10543
194400,30,2424
196200,57,10572
198000,44,5919
199800,57,10543
201600,30,2424
203400,57,10543
205200,35,4317
207000,57,10543
208800,30,2424
210600,57,10543
212400,38,5460
214200,57,10543
216000,57,10543
217800,30,2424
219600,67,12840
221400,30,2424
223200,57,10543
225000,30,2424
226800,64,13527
228600,30,2424
230400,55,10435
232200,30,2424
234000,62,12436
235800,30,2424
237600,55,10435
239400,32,2604
241200,67,13750
243000,30,2424
244800,57,10543
246600,30,2424
248400,61,12382
250200,30,2424
252000,57,10572
253800,55,10435
255600,37,5519
257400,59,10723
259200,30,2424
261000,63,12553
262800,31,2478
264600,57,10543
266400,30,2424
268200,66,13663
270000,33,3318
271800,55,10435
273600,56,10346
275400,66,12787
277200,30,2424
279000,57,10543
280800,30,2424
282600,66,13633
284400,30,2424
286200,57,10543
288000,30,2424
289800,63,12490
291600,30,2424
293400,59,10723
295200,57,10543
297000,42,5740
298800,57,10543
300600,30,2424
302400,57,10543
304200,35,4317
306000,57,10543
307800,30,2424
309600,57,10543
311400,43,5864
313200,57,10543
315000,30,2424
316800,57,10543
318600,35,4317
320400,57,10543
322200,30,2424
324000,57,10543
325800,38,5460
327600,57,10543
329400,32,2604
331200,57,10543
333000,65,12660
334800,30,2424
336600,57,10543
338400,30,2424
340200,65,13685
342000,30,2424
343800,57,10543
345600,30,2424
347400,67,12841
349200,30,2424
351000,55,10435
352800,30,2424
354600,67,14421
356400,30,2424
358200,55,10435
360000,30,2424
361800,59,12275
363600,30,2424
365400,85,18674
367200,41,5684
369000,58,10597
370800,30,2424
372600,57,10543
374400,61,12382
376200,31,2478
378000,58,10597
379800,30,2424
381600,70,14096
383400,30,2424
385200,57,10543
387000,30,2424
388800,63,12491
390600,30,2424
392400,57,10543
394200,32,2532
396000,65,13580
397800,32,2532
399600,57,10543
401400,32,2604
403200,62,12498
405000,32,2532
406800,57,10543
408600,30,2424
410400,65,13579
412200,57,10543
414000,30,2424
415800,57,10543
417600,38,4541
419400,59,10723
421200,30,2424
423000,57,10543
424800,38,5460
426600,57,10543
428400,30,2424
430200,57,10543
432000,35,4317
433800,58,10597
435600,30,2424
437400,59,10723
439200,44,6580
441000,57,10543
442800,30,2424
444600,57,10543
446400,35,4318
448200,57,10543
450000,30,2424
451800,57,10543
453600,91,21502
455400,32,2604
457200,57,10543
459000,30,2424
460800,63,12552
462600,30,2424
464400,56,10489
466200,30,2424
468000,62,13417
469800,30,2424
471600,57,10543
473400,39,4667
475200,58,10597
477000,30,2424
478800,57,10543
480600,37,5512
482400,58,10597
484200,30,2424
486000,57,10543
487800,34,4264
489600,58,10597
491400,61,10831
493200,30,2424
495000,68,13803
496800,30,2424
498600,57,10543
500400,30,2424
502200,62,12436
504000,30,2424
505800,55,10435
507600,32,2604
509400,68,13918
511200,30,2424
513000,57,10543
514800,30,2424
516600,62,12437
518400,30,2424
520200,56,10489
522000,30,2424
523800,70,14645
525600,32,2604
527400,55,10435
529200,30,2424
531000,62,12437
532800,57,10572
534600,30,2424
536400,55,10435
538200,38,5460
540000,57,10543
541800,32,2604
543600,57,10543
545400,38,4541
547200,83,18422
549000,30,2424
550800,54,10410
552600,38,5461
554400,57,10543
556200,30,2424
558000,59,10723
559800,37,4487
561600,57,10543
563400,30,2424
565200,57,10543
567000,39,5515
568800,57,10543
570600,57,10543
572400,30,2424
574200,59,12274
576000,32,2604
577800,55,10435
579600,41,5684
581400,58,10597
583200,30,2424
585000,57,10543
586800,34,4263
588600,58,10597
590400,30,2424
592200,57,10543
594000,43,5864
595800,57,10543
597600,30,2424
599400,57,10543
601200,35,4317
603000,57,10543
604800,30,2424
606600,57,10543
608400,58,10037
