StartTime,Frames,Bytes
0,194,36827
1800,88,8754
3600,89,8742
5400,89,8808
7200,87,8634
9000,88,8754
10800,91,8988
12600,85,8454
14400,113,11744
16200,85,8454
18000,91,8988
19800,87,8562
21600,90,8934
23400,89,8808
25200,87,8634
27000,89,8808
28800,113,11606
30600,88,8754
32400,87,8634
34200,88,8754
36000,91,8988
37800,85,8454
39600,90,8934
41400,86,8508
43200,113,11744
45000,86,8508
46800,92,9042
48600,85,8454
50400,90,8934
52200,88,8754
54000,88,8688
55800,88,8754
57600,110,11444
59400,89,8808
61200,87,8634
63000,88,8754
64800,91,8988
66600,85,8454
68400,92,9042
70200,85,8454
72000,116,11942
73800,85,8454
75600,90,8934
77400,89,8808
79200,87,8634
81000,88,8754
82800,87,8634
84600,89,8808
86400,110,11444
88200,92,8970
90000,91,8988
91800,85,8454
93600,90,8934
95400,86,8508
97200,90,8934
99000,87,8562
100800,113,11744
102600,93,9024
104400,89,8742
106200,88,8754
108000,88,8688
109800,88,8754
111600,87,8634
113400,89,8808
115200,113,11744
117000,85,8454
118800,92,9042
120600,86,8508
122400,90,8934
124200,85,8454
126000,92,9042
127800,89,8808
129600,112,11552
131400,89,8808
133200,87,8634
135000,88,8754
136800,89,8742
138600,89,8808
140400,90,8934
142200,85,8454
144000,114,11798
145800,85,8454
147600,90,8934
149400,86,8508
151200,92,9042
153000,88,8754
154800,87,8634
156600,89,8808
158400,110,11444
160200,88,8754
162000,88,8688
163800,88,8754
165600,90,8934
167400,89,8670
169200,91,8988
171000,85,8454
172800,114,11798
174600,88,8616
176400,90,8934
178200,88,8754
180000,88,8688
181800,90,8862
183600,87,8634
185400,89,8808
187200,110,11444
189000,88,8754
190800,90,8934
192600,86,8508
194400,90,8934
196200,85,8454
198000,91,8988
199800,85,8454
201600,115,11852
203400,89,8808
205200,87,8634
207000,90,8862
208800,87,8634
210600,89,8808
212400,87,8634
214200,88,8754
216000,114,11798
217800,87,8562
219600,90,8934
221400,89,8670
223200,92,9078
225000,85,8454
226800,90,8934
228600,91,8916
230400,110,11444
232200,90,8862
234000,88,8688
235800,88,8754
237600,87,8634
239400,88,8754
241200,91,8988
243000,85,8454
244800,113,11744
246600,86,8508
248400,90,8934
250200,87,8562
252000,91,8988
253800,88,8754
255600,89,8742
257400,88,8754
259200,111,11498
261000,88,8754
262800,89,8742
264600,89,8808
266400,91,8988
268200,87,8562
270000,91,8988
271800,85,8454
273600,113,11744
275400,85,8454
277200,91,8988
279000,90,8862
280800,91,8850
282600,89,8808
284400,87,8634
286200,88,8754
288000,111,11498
289800,88,8754
291600,89,8742
293400,88,8754
295200,91,8988
297000,85,8454
298800,90,8934
300600,88,8616
302400,113,11744
304200,85,8454
306000,91,8988
307800,88,8754
309600,87,8634
311400,88,8754
313200,88,8688
315000,88,8754
316800,114,11660
318600,89,8808
320400,92,9042
322200,85,8454
324000,91,8988
325800,85,8454
327600,90,8934
329400,85,8454
331200,115,11852
333000,90,8862
334800,87,8634
336600,89,8808
338400,87,8634
340200,88,8754
342000,87,8634
343800,89,8808
345600,113,11744
347400,87,8562
349200,91,8988
351000,85,8454
352800,90,8934
354600,88,8616
356400,92,9042
358200,88,8754
360000,110,11444
361800,89,8808
363600,87,8634
365400,88,8754
367200,90,8796
369000,89,8808
370800,90,8934
372600,88,8616
374400,113,11744
376200,85,8454
378000,90,8934
379800,86,8508
381600,90,8934
383400,88,8754
385200,88,8688
387000,88,8754
388800,113,11606
390600,89,8808
392400,89,8742
394200,90,8862
396000,90,8934
397800,86,8508
399600,90,8934
401400,86,8508
403200,114,11798
405000,85,8454
406800,92,9042
408600,89,8808
410400,87,8634
412200,88,8754
414000,89,8742
415800,90,8862
417600,110,11445
419400,88,8754
421200,91,8988
423000,85,8454
424800,90,8934
426600,86,8508
428400,92,9042
430200,85,8454
432000,113,11744
433800,89,8808
435600,87,8634
437400,88,8754
439200,88,8688
441000,88,8754
442800,87,8634
444600,89,8808
446400,113,11744
448200,85,8454
450000,90,8934
451800,86,8508
453600,90,8934
455400,85,8454
457200,91,8988
459000,88,8754
460800,1587,954531
462600,88,8754
464400,90,8934
466200,87,8562
468000,93,9096
469800,87,8562
471600,90,8934
473400,86,8508
475200,113,11744
477000,88,8754
478800,90,8796
480600,88,8754
482400,87,8634
484200,88,8754
486000,92,8904
487800,88,8754
489600,113,11744
491400,86,8508
493200,90,8934
495000,87,8562
496800,91,8988
498600,85,8454
500400,91,8988
502200,89,8808
504000,111,11498
505800,88,8754
507600,87,8634
509400,89,8808
511200,89,8742
513000,88,8754
514800,91,8988
516600,85,8454
518400,113,11744
520200,85,8454
522000,92,9042
523800,85,8454
525600,90,8934
527400,90,8862
529200,87,8634
531000,88,8754
532800,110,11444
534600,89,8808
536400,87,8634
538200,88,8754
540000,91,8988
541800,85,8454
543600,90,8934
545400,86,8508
547200,113,11744
549000,85,8454
550800,90,8934
552600,89,8808
554400,89,8742
556200,88,8754
558000,88,8688
559800,90,8862
561600,113,11606
563400,89,8808
565200,90,8934
567000,85,8454
568800,90,8934
570600,86,8508
572400,92,9042
574200,85,8454
576000,114,11798
577800,88,8754
579600,87,8634
581400,89,8808
583200,88,8688
585000,89,8808
586800,87,8634
588600,90,8862
590400,113,11744
592200,85,8454
594000,91,8988
595800,85,8454
597600,90,8934
599400,86,8508
601200,90,8934
603000,88,8754
604800,110,11444
606600,89,8808
608400,133,28518
