StartTime,Frames,Bytes
0,2413,738581
1800,649,121676
3600,653,122285
5400,650,121938
7200,652,122023
9000,674,127860
10800,648,121817
12600,649,121676
14400,653,122285
16200,650,121938
18000,669,124865
19800,648,121806
21600,677,127999
23400,649,121676
25200,653,122285
27000,674,127860
28800,652,122023
30600,650,121938
32400,651,122153
34200,649,121676
36000,677,128207
37800,650,121938
39600,652,122023
41400,650,121938
43200,677,127999
45000,672,127728
46800,652,122023
48600,650,121938
50400,653,122285
52200,647,121544
54000,672,127739
55800,650,121938
57600,652,122023
59400,648,121806
61200,642,118941
63000,664,124386
64800,675,127867
66600,648,121806
68400,650,121891
70200,646,121674
72000,695,133653
73800,642,121226
75600,645,121757
77400,633,120816
79200,638,118481
81000,664,124582
82800,645,121757
84600,639,121016
86400,723,139631
88200,644,121542
90000,668,127417
91800,646,121674
93600,641,121493
95400,633,117864
97200,647,121889
99000,664,127200
100800,652,122023
102600,633,118198
104400,651,122153
106200,648,121806
108000,691,130447
109800,650,121938
111600,653,122285
113400,649,121676
115200,651,122153
117000,667,124780
118800,653,122285
120600,649,121676
122400,653,122285
124200,650,121938
126000,652,122023
127800,674,127860
129600,675,127867
131400,650,121938
133200,652,122023
135000,650,121938
136800,670,125127
138600,649,121676
140400,648,121817
142200,650,121938
144000,653,122285
145800,673,127598
147600,653,122285
149400,646,121674
151200,667,124525
153000,648,121806
154800,677,128207
156600,665,124568
158400,652,122023
160200,650,121938
162000,646,119205
163800,664,124386
165600,651,122153
167400,650,121938
169200,646,119205
171000,645,121412
172800,743,145289
174600,639,118594
176400,653,122285
178200,645,121020
180000,653,122285
181800,674,127860
183600,649,121687
185400,646,121674
187200,651,122153
189000,650,121938
190800,674,127813
192600,650,121938
194400,679,128107
196200,645,121412
198000,649,122021
199800,667,124780
201600,651,122153
203400,649,121676
205200,651,122153
207000,643,118858
208800,676,127945
210600,641,118726
212400,653,122285
214200,650,121938
216000,669,124657
217800,674,127860
219600,653,122285
221400,647,121544
223200,653,122285
225000,650,121938
226800,673,127609
228600,650,121938
230400,653,122285
232200,648,121806
234000,652,122023
235800,674,127860
237600,670,124919
239400,673,127518
241200,646,119205
243000,648,121806
244800,677,128207
246600,648,121610
248400,652,122219
250200,650,121938
252000,652,122023
253800,674,127860
255600,644,119073
257400,648,121806
259200,710,133341
261000,650,121938
262800,677,128207
264600,650,121938
266400,643,118811
268200,650,121938
270000,650,121949
271800,673,127598
273600,653,122285
275400,648,121806
277200,653,122285
279000,649,121676
280800,691,130643
282600,644,121542
284400,650,121891
286200,648,121806
288000,677,128127
289800,673,127598
291600,653,122285
293400,648,121806
295200,653,122285
297000,647,121544
298800,670,125127
300600,643,118858
302400,674,127605
304200,650,121938
306000,653,122285
307800,667,124780
309600,652,122023
311400,646,121674
313200,648,121817
315000,649,121676
316800,677,128207
318600,646,121674
320400,651,122153
322200,649,121676
324000,668,124787
325800,665,124648
327600,642,121363
329400,644,121542
331200,651,122153
333000,650,121938
334800,668,127417
336600,648,121806
338400,644,119073
340200,643,121280
342000,653,122285
343800,655,123988
345600,719,139367
347400,647,121544
349200,641,121493
351000,644,121542
352800,661,124337
354600,642,121410
356400,670,127527
358200,642,121410
360000,652,122023
361800,674,127860
363600,651,122153
365400,649,121676
367200,677,127999
369000,648,121806
370800,671,127811
372600,649,121676
374400,653,122285
376200,648,121806
378000,650,121891
379800,674,127860
381600,647,121901
383400,650,121938
385200,650,121891
387000,648,121806
388800,701,133921
390600,645,121412
392400,653,122285
394200,650,121938
396000,649,122021
397800,670,127400
399600,665,124579
401400,635,118330
403200,644,121495
405000,648,121806
406800,668,124995
408600,644,121542
410400,676,127737
412200,639,118594
414000,651,122153
415800,673,127598
417600,640,121427
419400,648,121806
421200,648,121759
423000,648,121806
424800,675,128075
426600,639,121016
428400,643,121625
430200,646,121674
432000,701,135365
433800,668,127464
435600,651,122153
437400,640,118464
439200,649,122021
441000,648,121806
442800,661,126817
444600,634,120882
446400,647,121889
448200,633,120620
450000,641,121493
451800,668,127464
453600,665,127207
455400,637,120884
457200,643,121625
459000,642,121410
460800,668,127417
462600,642,121410
464400,647,121889
466200,642,121410
468000,646,121627
469800,667,124780
471600,677,128127
473400,645,121412
475200,675,127867
477000,641,118726
478800,675,128075
480600,647,121544
482400,651,122153
484200,650,121938
486000,649,121687
487800,672,127728
489600,653,122285
491400,650,121938
493200,652,122023
495000,650,121938
496800,675,127867
498600,673,127598
500400,651,122153
502200,642,121410
504000,640,121231
505800,633,118198
507600,677,128207
509400,647,121544
511200,641,121493
513000,648,121806
514800,646,121627
516600,672,127728
518400,696,133527
520200,647,121544
522000,651,122153
523800,644,121542
525600,669,127679
527400,649,121676
529200,646,121685
531000,648,121806
532800,645,118943
534600,670,127596
536400,653,122285
538200,647,121544
540000,677,127999
541800,674,127780
543600,676,127945
545400,648,121806
547200,653,122285
549000,649,121676
550800,653,122285
552600,674,127860
554400,652,122023
556200,648,121806
558000,653,122285
559800,650,121938
561600,693,130579
563400,650,121938
565200,653,122285
567000,649,121676
568800,651,122153
570600,667,124780
572400,650,121949
574200,649,121676
576000,653,122285
577800,650,121938
579600,672,127681
581400,643,118858
583200,670,124919
585000,649,121872
586800,675,127799
588600,674,127860
590400,653,122285
592200,647,121544
594000,653,122285
595800,650,121938
597600,676,127945
599400,650,121938
601200,653,122285
603000,647,121544
604800,701,133857
606600,674,127860
608400,13934,3444570
