StartTime,Frames,Bytes
0,3560,755386
1800,2617,536371
3600,2633,545083
5400,2592,538002
7200,2661,550202
9000,2578,536710
10800,2677,586154
12600,2595,540230
14400,2649,546892
16200,2666,560919
18000,2587,539587
19800,2482,517104
21600,2720,564892
23400,2486,518742
25200,2589,539479
27000,2537,526746
28800,2708,564271
30600,2539,528896
32400,2531,528079
34200,2529,524554
36000,2606,546093
37800,2611,543943
39600,2599,543631
41400,2487,516306
43200,2594,543189
45000,2603,540231
46800,2622,551965
48600,2501,517270
50400,2516,525385
52200,2705,566583
54000,2515,524841
55800,2547,532448
57600,2615,544456
59400,2581,540769
61200,2611,547621
63000,2476,515002
64800,2587,539161
66600,2568,533535
68400,2906,597376
70200,2615,548258
72000,2490,518135
73800,2672,555687
75600,2519,525437
77400,2498,524590
79200,2540,530994
81000,2495,522372
82800,2709,562418
84600,2479,518132
86400,2731,572980
88200,2521,526241
90000,2699,560066
91800,2517,526920
93600,2542,528649
95400,2552,531256
97200,2799,603523
99000,2567,534776
100800,2544,533745
102600,2529,523153
104400,2778,584307
106200,2454,509868
108000,2568,534661
109800,2509,525714
111600,2759,579504
113400,2509,519462
115200,2536,527736
117000,2537,529804
118800,2648,552072
120600,2545,530386
122400,2626,551445
124200,2624,547925
126000,2727,566190
127800,2519,528034
129600,2589,539659
131400,2503,524980
133200,2600,543671
135000,2593,538899
136800,2603,545631
138600,2560,535134
140400,2502,520623
142200,2695,562427
144000,2542,528032
145800,2535,528108
147600,2567,534575
149400,2621,546559
151200,2573,535059
153000,2519,523632
154800,2677,554765
156600,2721,568275
158400,2507,521906
160200,2568,537248
162000,2516,524817
163800,2676,556225
165600,2632,554305
167400,2468,512498
169200,2631,554239
171000,2638,553825
172800,2647,552424
174600,2502,521211
176400,2588,541197
178200,2662,560145
180000,2531,529489
181800,2558,534876
183600,2747,598096
185400,2524,526114
187200,2600,545185
189000,2532,529825
190800,2632,554900
192600,2495,523769
194400,2601,543944
196200,2553,532964
198000,2519,525165
199800,2670,555491
201600,2557,532768
203400,2505,519134
205200,2589,541271
207000,2601,539779
208800,2705,568220
210600,2478,517164
212400,2598,542761
214200,2695,559995
216000,2518,525169
217800,2558,536392
219600,2597,543373
221400,2471,514416
223200,2592,541511
225000,2463,512158
226800,2603,545491
228600,2555,533034
230400,2546,529992
232200,2531,527698
234000,2635,547652
235800,2558,534351
237600,2592,541493
239400,2512,527578
241200,2907,603237
243000,2669,553119
244800,2615,549855
246600,2453,512514
248400,2509,523357
250200,2588,539803
252000,2592,541401
253800,2472,514506
255600,2574,536583
257400,2538,529950
259200,2570,538691
261000,2543,526747
262800,2528,527809
264600,2515,521778
266400,2571,536435
268200,2629,548491
270000,2750,600099
271800,2494,518676
273600,2593,541615
275400,2697,557762
277200,2626,557138
279000,2587,543682
280800,2514,523265
282600,2526,524330
284400,2583,537583
286200,2662,556077
288000,2609,543838
289800,2555,533164
291600,2517,525263
293400,2571,540642
295200,2633,553573
297000,2519,521826
298800,2541,533381
300600,2578,537510
302400,2752,575602
304200,2499,523374
306000,2583,539137
307800,2528,526046
309600,2663,556614
311400,2539,530036
313200,2539,531683
315000,2546,529735
316800,2599,539204
318600,2460,512704
320400,2643,557079
322200,2642,549514
324000,2540,526462
325800,2544,532242
327600,2504,522415
329400,2751,568797
331200,2553,530955
333000,2464,512314
334800,2594,543177
336600,2489,519950
338400,2570,535557
340200,2532,527784
342000,2666,556978
343800,2536,528128
345600,2563,535216
347400,2583,539525
349200,2579,538521
351000,2469,514236
352800,2588,541107
354600,2463,512224
356400,2885,625735
358200,2581,537436
360000,2536,531473
361800,2696,559672
363600,2584,544028
365400,2553,534114
367200,2529,529371
369000,2516,520320
370800,2611,547607
372600,2476,516552
374400,2630,550302
376200,2621,547531
378000,2526,527321
379800,2551,532730
