Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (US),0,4759,2349844,2700,1695005,2059,654839
EchoDot5 (US),1800,1413,492830,784,256712,629,236118
EchoDot5 (US),3600,850,231495,461,79278,389,152217
EchoDot5 (US),5400,1425,451120,775,232346,650,218774
EchoDot5 (US),7200,1170,382293,649,195070,521,187223
EchoDot5 (US),9000,1424,489419,784,258214,640,231205
EchoDot5 (US),10800,893,246728,485,91490,408,155238
EchoDot5 (US),12600,1471,471860,797,237777,674,234083
EchoDot5 (US),14400,1280,423767,705,221533,575,202234
EchoDot5 (US),16200,1263,421003,688,217885,575,203118
EchoDot5 (US),18000,762,195643,401,61615,361,134028
EchoDot5 (US),19800,1621,528482,888,260326,733,268156
EchoDot5 (US),21600,1260,421105,692,219491,568,201614
EchoDot5 (US),23400,818,220970,436,80207,382,140763
EchoDot5 (US),25200,1368,461544,763,244602,605,216942
EchoDot5 (US),27000,1647,538589,894,263203,753,275386
EchoDot5 (US),28800,1206,403233,677,216638,529,186595
EchoDot5 (US),30600,862,246832,467,83800,395,163032
EchoDot5 (US),32400,1208,402237,673,216251,535,185986
EchoDot5 (US),34200,1370,454952,768,235138,602,219814
EchoDot5 (US),36000,1483,479377,806,243575,677,235802
EchoDot5 (US),37800,736,197753,392,71141,344,126612
EchoDot5 (US),39600,1299,434884,703,224198,596,210686
EchoDot5 (US),41400,1351,448058,753,236696,598,211362
EchoDot5 (US),43200,1443,458622,785,224220,658,234402
EchoDot5 (US),45000,838,233000,449,88168,389,144832
EchoDot5 (US),46800,1333,444852,723,220770,610,224082
EchoDot5 (US),48600,1650,660289,907,311531,743,348758
EchoDot5 (US),50400,1006,255904,524,84694,482,171210
EchoDot5 (US),52200,1267,432203,705,230308,562,201895
EchoDot5 (US),54000,1339,498105,737,224042,602,274063
EchoDot5 (US),55800,1452,491752,814,257854,638,233898
EchoDot5 (US),57600,929,235400,486,77686,443,157714
EchoDot5 (US),59400,1291,427126,708,214310,583,212816
EchoDot5 (US),61200,1407,484632,773,242192,634,242440
EchoDot5 (US),63000,1475,500491,827,265315,648,235176
EchoDot5 (US),64800,846,203594,429,59974,417,143620
EchoDot5 (US),66600,1274,425495,701,219527,573,205968
EchoDot5 (US),68400,1232,402115,672,207368,560,194747
EchoDot5 (US),70200,909,247682,506,90686,403,156996
EchoDot5 (US),72000,1493,484074,788,239928,705,244146
EchoDot5 (US),73800,1483,511021,820,271614,663,239407
EchoDot5 (US),75600,1209,391862,665,205968,544,185894
EchoDot5 (US),77400,812,210302,439,66756,373,143546
EchoDot5 (US),79200,1395,456389,738,238854,657,217535
EchoDot5 (US),81000,1435,490077,795,256085,640,233992
