StartTime,Frames,Bytes
0,880,369238
1800,1040,693539
3600,797,381737
5400,949,512964
7200,694,354679
9000,895,469438
10800,993,568941
12600,850,396019
14400,823,455610
16200,802,439317
18000,838,424783
19800,759,426008
21600,797,437373
23400,877,462929
25200,893,428098
27000,790,429017
28800,929,483983
30600,758,385087
32400,823,456265
34200,821,423120
36000,815,466049
37800,751,404469
39600,738,319680
41400,0,0
43200,0,0
45000,0,0
46800,0,0
48600,0,0
50400,0,0
52200,0,0
54000,0,0
55800,0,0
57600,0,0
59400,0,0
61200,0,0
63000,0,0
64800,0,0
66600,0,0
68400,0,0
70200,0,0
72000,0,0
73800,0,0
75600,0,0
77400,0,0
79200,0,0
81000,0,0
82800,0,0
84600,0,0
86400,0,0
88200,0,0
90000,0,0
91800,0,0
93600,0,0
95400,0,0
97200,0,0
99000,0,0
100800,0,0
102600,0,0
104400,0,0
106200,0,0
108000,0,0
109800,0,0
111600,0,0
113400,0,0
115200,0,0
117000,0,0
118800,0,0
120600,0,0
122400,0,0
124200,0,0
126000,0,0
127800,0,0
129600,0,0
131400,0,0
133200,0,0
135000,0,0
136800,0,0
138600,0,0
140400,0,0
142200,0,0
144000,0,0
145800,0,0
147600,0,0
149400,0,0
151200,0,0
153000,0,0
154800,0,0
156600,0,0
158400,0,0
160200,0,0
162000,0,0
163800,0,0
165600,0,0
167400,0,0
169200,0,0
171000,0,0
172800,0,0
174600,0,0
176400,0,0
178200,0,0
180000,0,0
181800,0,0
183600,0,0
185400,0,0
187200,0,0
189000,0,0
190800,0,0
192600,0,0
194400,0,0
196200,0,0
198000,0,0
199800,0,0
201600,0,0
203400,0,0
205200,0,0
207000,0,0
208800,0,0
210600,0,0
212400,0,0
214200,0,0
216000,0,0
217800,0,0
219600,0,0
221400,0,0
223200,0,0
225000,0,0
226800,0,0
228600,0,0
230400,0,0
232200,0,0
234000,0,0
235800,0,0
237600,0,0
239400,0,0
241200,0,0
243000,0,0
244800,0,0
246600,0,0
248400,0,0
250200,0,0
252000,0,0
253800,0,0
255600,0,0
257400,0,0
259200,0,0
261000,0,0
262800,0,0
264600,0,0
266400,0,0
268200,0,0
270000,0,0
271800,0,0
273600,0,0
275400,0,0
277200,0,0
279000,0,0
280800,0,0
282600,0,0
284400,0,0
286200,0,0
288000,0,0
289800,0,0
291600,0,0
293400,0,0
295200,0,0
297000,0,0
298800,0,0
300600,0,0
302400,0,0
304200,0,0
306000,0,0
307800,0,0
309600,0,0
311400,0,0
313200,0,0
315000,0,0
316800,0,0
318600,0,0
320400,0,0
322200,3113,4455915
324000,936,475572
325800,807,453900
327600,922,474489
329400,792,411479
331200,832,431453
333000,861,434111
334800,811,438281
336600,836,434842
338400,2484,1628764
340200,1683,892337
342000,2599,2267301
343800,1783,961207
345600,1868,931189
347400,1626,882850
349200,1445,681183
351000,1911,1089382
352800,1616,859742
354600,1756,894077
356400,1914,982326
358200,1701,900631
360000,1773,820525
361800,1873,1078368
363600,1489,645017
365400,2000,1232055
367200,1810,867548
369000,1730,949583
370800,1983,1008585
372600,1359,583587
374400,1958,1163665
376200,1534,738793
378000,1850,1088664
379800,1640,807403
381600,1926,910388
383400,1166,686907
385200,948,460496
387000,843,483953
388800,661,222147
390600,928,610198
392400,773,400916
394200,689,244203
396000,1062,638566
397800,798,424751
399600,977,512116
401400,869,470317
403200,666,264046
405000,1010,631212
406800,775,398983
408600,1103,538960
410400,1073,547575
412200,860,495000
414000,1010,497885
415800,763,389257
417600,883,487033
419400,816,450167
421200,957,420248
423000,818,423350
424800,910,486966
426600,839,444186
428400,1597,1215508
430200,748,413042
432000,868,419735
433800,815,443303
435600,866,506915
437400,804,404617
439200,1016,501097
441000,808,444161
442800,989,493176
444600,793,399514
446400,851,442349
448200,785,447818
450000,820,417190
451800,1079,555256
453600,1010,524848
455400,835,397346
457200,943,511522
459000,844,447602
460800,930,484548
462600,747,393297
464400,856,459499
466200,928,460064
468000,924,499996
469800,874,459908
471600,897,453706
473400,902,492986
475200,778,430880
477000,733,400305
478800,885,441943
480600,812,438448
482400,913,476557
484200,831,416378
486000,997,531863
487800,793,416513
489600,840,449027
491400,715,406183
493200,931,486903
495000,1004,522775
496800,1037,536701
498600,801,426996
500400,948,494220
502200,833,455609
504000,792,417444
505800,800,408479
507600,875,449047
509400,845,458714
511200,919,509572
513000,917,463068
514800,6329,9229356
516600,913,452657
518400,891,452428
520200,803,429316
522000,780,365097
523800,828,505406
525600,932,501361
527400,857,392365
529200,1025,545185
531000,761,405910
532800,853,464764
534600,793,404392
536400,852,405938
538200,1015,567842
540000,974,472045
541800,950,457300
543600,976,583473
545400,798,392736
547200,857,485119
549000,781,416855
550800,812,389440
552600,881,482896
554400,813,397177
556200,912,525731
558000,991,449500
559800,812,508384
561600,859,452469
563400,771,422099
565200,857,420034
567000,787,376826
568800,939,522801
570600,854,467840
572400,1028,503262
574200,857,393052
576000,777,441442
577800,903,478276
579600,798,401793
581400,1036,556103
583200,975,444456
585000,971,475970
586800,735,323946
588600,1006,602301
590400,830,480297
592200,604,179168
594000,907,569639
595800,980,521260
597600,806,416740
599400,997,502267
601200,1284,1158566
603000,866,494719
604800,878,433677
606600,739,372730
608400,845,333671
610200,808,448480
612000,953,565584
613800,846,376084
615600,1088,669434
617400,798,392389
619200,777,405426
621000,747,306026
622800,826,403048
624600,1058,713440
626400,911,458642
628200,995,466066
630000,912,478602
631800,871,440134
633600,797,435335
635400,842,434275
637200,823,450753
639000,885,471095
640800,772,407443
642600,904,515426
644400,926,471306
646200,881,467490
648000,777,374286
649800,833,446202
