StartTime,Frames,Bytes
0,8766,4143290
1800,8423,4109480
3600,8452,4137861
5400,8506,4158351
7200,8354,4067351
9000,8431,4108285
10800,8464,4126947
12600,8462,4140385
14400,8469,4132163
16200,8467,4133476
18000,8396,4080709
19800,8405,4100107
21600,8540,4140387
23400,8397,4098198
25200,8347,4055134
27000,8325,4063926
28800,8345,4062392
30600,8338,4062439
32400,8314,4051208
34200,8298,4041170
36000,8304,4034095
37800,8295,4036929
39600,8371,4052854
41400,8298,4037736
43200,8317,4051684
45000,8321,4058516
46800,8309,4037252
48600,8303,4042371
50400,8326,4061220
52200,8288,4040522
54000,8324,4050114
55800,8294,4037795
57600,8293,4042269
59400,8297,4037768
61200,8339,4059791
63000,8307,4050676
64800,8377,4074550
66600,8328,4068110
68400,8348,4066879
70200,8317,4047929
72000,8310,4044082
73800,8310,4059046
75600,8370,4073210
77400,8295,4043865
79200,8370,4054947
81000,8378,4083087
82800,8390,4082710
84600,8328,4059313
86400,8248,4014725
88200,8249,4017668
90000,8258,4025085
91800,8249,4028745
93600,8270,4030289
95400,8271,4026845
97200,8266,4028612
99000,8226,4008701
100800,8269,4028261
102600,8269,4030603
104400,8251,4022417
106200,8264,4028959
108000,8307,4036810
109800,8249,4023816
111600,8256,4010983
113400,8235,4015466
115200,8262,4024434
117000,8240,4016341
118800,8307,4030529
120600,8251,4021049
122400,8239,4013862
124200,8230,4013998
126000,8250,4011949
127800,8248,4025394
129600,8257,4016040
131400,8231,4008312
133200,8237,4008957
135000,8230,4004862
136800,8239,4009972
138600,8236,4020029
140400,8256,4016306
142200,8241,4015915
144000,8254,4017463
145800,8257,4019821
147600,8274,4028056
149400,8248,4018105
151200,8312,4056707
153000,8273,4029853
154800,8265,4026448
156600,8268,4033196
158400,8335,4040469
160200,8263,4024435
162000,8271,4027644
163800,8282,4037435
165600,8265,4021388
167400,8250,4016371
169200,8269,4029393
171000,8243,4018072
172800,8270,4025353
174600,8270,4027656
176400,8261,4027856
178200,7490,3647373
180000,15,7666
181800,149,69778
183600,1013,469759
185400,1049,486377
187200,616,277445
189000,480,213675
190800,784,344812
192600,1534,690023
194400,3759,1714761
196200,5195,2444071
198000,8217,3987066
