StartTime,Frames,Bytes
0,704001,1235048807
1800,15613,10450951
3600,15819,10512913
5400,15770,10335027
7200,222916,387652501
9000,15650,10169358
10800,15239,9978428
12600,15663,10038946
14400,166660,396972430
16200,15720,10021780
18000,15973,10389143
19800,15692,10047882
21600,79998,155881445
23400,15202,9903940
25200,15570,9988117
27000,15494,9941352
28800,15685,10165302
30600,15406,9949100
32400,15365,9876600
34200,15477,9938006
36000,16137,10561779
37800,15789,10185281
39600,15405,9955185
41400,15752,9881182
43200,22213,24086216
45000,15141,9827211
46800,14980,9895200
48600,15368,9940632
50400,15452,10135481
52200,15001,9850014
54000,15575,10331839
55800,15282,9853333
57600,15719,10217160
59400,15364,10088908
61200,15210,10120700
63000,15351,10008622
64800,15458,10138104
66600,14593,9859802
68400,15353,9906522
70200,14939,9933832
72000,15955,10612134
73800,15348,9960158
75600,15537,9996737
77400,15249,10013522
79200,15389,10180958
81000,15211,9962109
82800,16082,10874106
84600,15183,10044962
86400,7273,4694750
88200,2827,1429232
90000,70517,113167426
91800,2756,1643448
93600,5003272,8061550136
95400,2714,1385668
97200,2496,1335876
99000,2528,1268557
100800,2949,1632964
102600,2535,1308661
104400,2570,1345934
106200,2517,1392500
108000,3283,2024070
109800,2383,1211144
111600,2474,1323110
113400,2438,1315386
115200,2780,1537486
117000,2678,1394354
118800,2565,1340867
120600,2520,1317251
122400,2768,1549807
124200,2606,1435084
126000,2923,1726249
127800,2411,1274683
129600,2960,1578318
131400,2469,1371789
133200,2375,1250138
135000,2404,1310215
136800,2796,1619265
138600,2432,1319078
140400,2544,1352906
142200,2462,1314247
144000,3153,1942917
145800,2570,1377071
147600,2542,1333757
149400,2514,1323230
151200,2734,1555899
153000,2554,1355976
154800,2436,1331185
156600,2416,1311652
158400,2835,1569399
160200,2578,1441036
162000,2705,1562837
163800,2533,1424739
165600,2720,1538395
167400,2400,1324950
169200,2774,1488181
171000,2372,1195053
172800,3404,2056815
174600,2698,1563106
176400,3026,1417811
178200,2552,1498626
180000,28831,44365722
181800,2511,1418835
183600,2536,1370827
185400,2398,1307902
187200,2713,1552108
189000,2556,1352675
190800,2321,1219910
192600,2500,1349398
194400,2769,1569664
196200,2521,1358966
198000,2954,1749144
199800,2379,1290524
201600,2725,1525698
203400,2520,1333741
205200,2635,1380105
207000,2485,1328957
208800,2865,1578842
