StartTime,Frames,Bytes
0,391,36338
1800,332,25340
3600,370,33588
5400,295,19878
7200,383,36325
9000,341,29230
10800,348,30035
12600,285,17340
14400,338,29563
16200,285,17770
18000,336,28955
19800,287,18378
21600,330,28059
23400,276,16472
25200,336,30072
27000,423,47637
28800,471,104041
30600,297,19497
32400,327,27349
34200,284,18476
36000,364,35975
37800,289,18484
39600,315,25461
41400,286,18216
43200,368,40578
45000,283,17944
46800,329,28823
48600,283,18370
50400,330,28485
52200,279,17582
54000,334,28938
55800,277,16970
57600,335,30249
59400,332,28818
61200,335,31599
63000,298,22838
64800,372,38473
66600,342,30576
68400,335,31465
70200,298,22268
72000,341,32431
73800,296,22084
75600,343,32558
77400,293,20926
79200,341,32087
81000,289,20162
82800,534,70133
84600,296,22066
86400,334,30950
88200,300,22416
90000,339,31236
91800,287,18730
93600,357,35170
95400,324,26662
97200,326,28131
99000,277,16549
100800,328,27884
102600,286,19079
104400,328,28263
106200,282,17865
108000,321,25961
109800,278,17078
111600,324,28118
113400,420,47312
115200,462,96091
117000,295,19726
118800,324,27949
120600,286,18636
122400,368,35944
124200,288,19247
126000,330,28489
127800,281,18190
129600,330,28489
131400,319,29772
133200,330,28986
135000,282,17436
136800,325,28450
138600,291,19102
140400,322,27463
142200,286,18648
144000,329,29241
145800,291,21341
147600,334,30655
149400,294,21966
151200,371,37028
153000,305,23619
154800,338,30835
156600,296,22505
158400,340,32338
160200,305,23736
162000,345,32286
163800,295,21545
165600,331,29363
167400,295,21553
169200,566,76367
171000,296,20768
172800,342,31607
174600,297,22417
176400,329,27991
178200,279,17586
180000,370,36095
181800,321,26764
183600,322,27847
185400,281,16482
187200,322,27347
189000,287,18304
190800,315,25469
192600,280,16820
194400,316,25595
196200,278,17578
198000,334,29376
199800,413,47233
201600,474,97565
203400,281,16773
205200,320,26299
207000,280,16830
208800,356,34075
210600,289,18496
212400,319,26635
214200,284,17618
216000,360,38919
217800,291,19494
219600,326,28121
221400,285,18562
223200,327,27783
225000,282,18294
226800,337,30538
228600,279,17584
230400,329,28441
232200,300,22711
234000,338,31793
235800,299,22488
237600,366,38065
239400,298,21834
241200,337,31633
243000,295,21556
244800,340,31925
246600,292,20858
248400,349,32653
250200,289,20594
252000,335,31263
253800,287,19554
