Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhilipsBridge (EU),0,349,34046,181,20027,168,14019
PhilipsBridge (EU),1800,332,25340,168,15320,164,10020
PhilipsBridge (EU),3600,370,33588,187,18691,183,14897
PhilipsBridge (EU),5400,295,19878,149,11334,146,8544
PhilipsBridge (EU),7200,383,36325,195,18095,188,18230
PhilipsBridge (EU),9000,341,29230,172,15625,169,13605
PhilipsBridge (EU),10800,348,30035,176,16208,172,13827
PhilipsBridge (EU),12600,285,17340,143,8976,142,8364
PhilipsBridge (EU),14400,338,29563,171,16222,167,13341
PhilipsBridge (EU),16200,285,17770,143,9442,142,8328
PhilipsBridge (EU),18000,336,28955,170,15668,166,13287
PhilipsBridge (EU),19800,287,18378,144,9996,143,8382
PhilipsBridge (EU),21600,330,28059,167,14970,163,13089
PhilipsBridge (EU),23400,276,16472,139,8570,137,7902
PhilipsBridge (EU),25200,336,30072,170,16745,166,13327
PhilipsBridge (EU),27000,423,47637,218,20576,205,27061
PhilipsBridge (EU),28800,471,104041,242,75997,229,28044
PhilipsBridge (EU),30600,297,19497,149,10790,148,8707
PhilipsBridge (EU),32400,327,27349,165,14338,162,13011
PhilipsBridge (EU),34200,284,18476,143,10322,141,8154
PhilipsBridge (EU),36000,364,35975,185,18627,179,17348
PhilipsBridge (EU),37800,289,18484,146,10138,143,8346
PhilipsBridge (EU),39600,315,25461,160,12948,155,12513
PhilipsBridge (EU),41400,286,18216,144,9960,142,8256
PhilipsBridge (EU),43200,368,40578,187,23050,181,17528
PhilipsBridge (EU),45000,283,17944,142,9778,141,8166
PhilipsBridge (EU),46800,329,28823,167,15896,162,12927
PhilipsBridge (EU),48600,283,18370,143,10330,140,8040
PhilipsBridge (EU),50400,330,28485,167,15432,163,13053
PhilipsBridge (EU),52200,279,17582,140,9596,139,7986
PhilipsBridge (EU),54000,334,28938,169,15677,165,13261
PhilipsBridge (EU),55800,277,16970,139,9038,138,7932
PhilipsBridge (EU),57600,335,30249,170,17088,165,13161
PhilipsBridge (EU),59400,332,28818,170,16027,162,12791
PhilipsBridge (EU),61200,335,31599,170,18534,165,13065
PhilipsBridge (EU),63000,298,22838,150,14234,148,8604
