Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoShow5 (EU),0,1210,755490,616,176898,594,578592
EchoShow5 (EU),1800,1935,1475181,1033,448948,902,1026233
EchoShow5 (EU),3600,746,210743,352,108269,394,102474
EchoShow5 (EU),5400,2119,1868814,1125,396210,994,1472604
EchoShow5 (EU),7200,723,295213,346,104114,377,191099
EchoShow5 (EU),9000,964,319471,482,198030,482,121441
EchoShow5 (EU),10800,582,134146,271,65246,311,68900
EchoShow5 (EU),12600,1967,1704814,1098,302294,869,1402520
EchoShow5 (EU),14400,726,298957,346,103708,380,195249
EchoShow5 (EU),16200,983,480457,489,204538,494,275919
EchoShow5 (EU),18000,785,231065,379,126893,406,104172
EchoShow5 (EU),19800,2201,1876064,1244,335909,957,1540155
EchoShow5 (EU),21600,682,282902,324,99539,358,183363
EchoShow5 (EU),23400,1091,515101,553,219934,538,295167
EchoShow5 (EU),25200,513,115259,238,74869,275,40390
EchoShow5 (EU),27000,3032,2572368,1757,1471333,1275,1101035
EchoShow5 (EU),28800,707,306414,337,104026,370,202388
EchoShow5 (EU),30600,1063,423231,541,233246,522,189985
EchoShow5 (EU),32400,788,320515,385,110049,403,210466
EchoShow5 (EU),34200,1690,1420594,897,307662,793,1112932
EchoShow5 (EU),36000,736,302765,350,103497,386,199268
EchoShow5 (EU),37800,1150,556013,573,252741,577,303272
EchoShow5 (EU),39600,684,193621,335,120681,349,72940
EchoShow5 (EU),41400,1932,1534893,1042,315105,890,1219788
EchoShow5 (EU),43200,769,335837,364,137264,405,198573
EchoShow5 (EU),45000,1056,414141,545,211090,511,203051
EchoShow5 (EU),46800,679,275163,324,85695,355,189468
EchoShow5 (EU),48600,1820,1606169,987,329312,833,1276857
EchoShow5 (EU),50400,632,168344,300,99194,332,69150
EchoShow5 (EU),52200,975,361149,496,195426,479,165723
EchoShow5 (EU),54000,616,161440,297,90758,319,70682
EchoShow5 (EU),55800,3082,2748432,1813,1372387,1269,1376045
EchoShow5 (EU),57600,1307,1890834,552,154130,755,1736704
EchoShow5 (EU),59400,1572,1802353,779,258996,793,1543357
EchoShow5 (EU),61200,640,161562,301,89127,339,72435
EchoShow5 (EU),63000,3662,4452908,2306,420432,1356,4032476
EchoShow5 (EU),64800,918,495534,474,121580,444,373954
EchoShow5 (EU),66600,881,306812,433,205350,448,101462
EchoShow5 (EU),68400,747,251224,369,119613,378,131611
EchoShow5 (EU),70200,2725,3558529,1578,308359,1147,3250170
EchoShow5 (EU),72000,1242,571857,631,165700,611,406157
EchoShow5 (EU),73800,1041,522800,534,246095,507,276705
EchoShow5 (EU),75600,1475,1259439,821,149069,654,1110370
EchoShow5 (EU),77400,2072,3130922,1120,256106,952,2874816
EchoShow5 (EU),79200,868,378003,437,139553,431,238450
EchoShow5 (EU),81000,1051,528733,534,251931,517,276802
EchoShow5 (EU),82800,969,281471,473,141845,496,139626
EchoShow5 (EU),84600,5358,5648842,3096,1672180,2262,3976662
EchoShow5 (EU),86400,974,378633,501,140351,473,238282
EchoShow5 (EU),88200,1554,744124,843,352092,711,392032
EchoShow5 (EU),90000,934,865506,426,67881,508,797625
EchoShow5 (EU),91800,1680,1361681,884,294798,796,1066883
EchoShow5 (EU),93600,808,344668,391,140678,417,203990
EchoShow5 (EU),95400,1068,498204,565,214061,503,284143
EchoShow5 (EU),97200,1479,1513510,786,192919,693,1320591
EchoShow5 (EU),99000,1215,575576,621,248923,594,326653
