StartTime,Frames,Bytes
0,421,43425
1800,389,65991
3600,470,48410
5400,468,48204
7200,470,48410
9000,249,25709
10800,530,67116
12600,470,48410
14400,468,48204
16200,470,48410
18000,283,41337
19800,468,48204
21600,470,48410
23400,468,48204
25200,441,45411
27000,336,46702
28800,468,48204
30600,470,48410
32400,468,48204
34200,279,28725
36000,494,63115
37800,470,48410
39600,468,48204
41400,470,48410
43200,317,44856
45000,468,48204
46800,470,48410
48600,468,48204
50400,469,48344
52200,468,48204
54000,470,48422
55800,468,48204
57600,470,48410
59400,468,48204
61200,470,48410
63000,468,48204
64800,470,48410
66600,468,48204
68400,470,48410
70200,470,48410
72000,467,48064
73800,470,48410
75600,468,48204
77400,470,48410
79200,468,48204
81000,470,48410
82800,468,48204
84600,470,48410
86400,468,48204
88200,470,48410
90000,466,47998
91800,470,48410
93600,468,48204
95400,470,48410
97200,470,48410
99000,468,48204
100800,470,48410
102600,468,48204
104400,470,48410
106200,468,48204
108000,470,48410
109800,468,48228
111600,470,48410
113400,535,66399
115200,470,48410
117000,470,48410
118800,467,48076
120600,470,48410
122400,468,48216
124200,470,48422
126000,468,48204
127800,470,48422
129600,468,48216
131400,470,48410
133200,468,48204
135000,470,48410
136800,468,48204
138600,469,48282
140400,470,48410
142200,465,47882
144000,470,48410
145800,467,48150
147600,469,48342
149400,468,48216
151200,470,48410
153000,465,47956
154800,470,48434
156600,468,48240
158400,470,48422
160200,468,48216
162000,469,48282
163800,466,47998
165600,470,48410
167400,469,48270
169200,468,48204
171000,468,48130
172800,466,47936
174600,469,48344
176400,468,48204
178200,470,48422
180000,468,48204
181800,469,48356
183600,468,48216
185400,470,48446
187200,467,48150
189000,470,48410
190800,468,48204
192600,470,48422
194400,470,48410
196200,464,47866
198000,470,48410
199800,468,48204
201600,470,48422
203400,468,48204
205200,470,48422
207000,468,48216
208800,470,48410
210600,468,48204
212400,470,48410
214200,468,48204
216000,470,48410
217800,470,48410
219600,467,48150
221400,470,48410
223200,468,48204
225000,470,48410
226800,468,48204
228600,470,48410
230400,468,48204
232200,470,48410
234000,468,48204
235800,470,48410
237600,468,48204
239400,470,48410
241200,468,48204
243000,470,48410
244800,470,48410
246600,468,48204
248400,469,48282
250200,468,48204
252000,470,48410
253800,466,47998
