StartTime,Frames,Bytes
0,31,3420
1800,30,3366
3600,34,3768
5400,28,3072
7200,30,3366
9000,29,3312
10800,31,3606
12600,27,3018
14400,29,3312
16200,30,3366
18000,31,3492
19800,29,3240
21600,32,3474
23400,30,3366
25200,30,3366
27000,32,3660
28800,28,3072
30600,30,3366
32400,29,3312
34200,30,3366
36000,30,3366
37800,30,3366
39600,34,3928
41400,31,3420
43200,30,3366
45000,30,3366
46800,29,3312
48600,31,3420
50400,29,3312
52200,31,3420
54000,32,3474
55800,32,3474
57600,32,3474
59400,31,3420
61200,30,3366
63000,31,3420
64800,31,3420
66600,29,3312
68400,30,3366
70200,29,3312
72000,30,3366
73800,29,3312
75600,31,3420
77400,29,3312
79200,31,3420
81000,31,3420
82800,30,3366
84600,29,3312
86400,29,3312
88200,29,3312
90000,29,3312
91800,29,3312
93600,29,3312
95400,29,3312
97200,30,3366
99000,30,3366
100800,30,3366
102600,30,3366
104400,29,3312
106200,31,3420
108000,29,3312
109800,29,3312
111600,30,3366
113400,29,3312
115200,29,3312
117000,30,3366
118800,29,3312
120600,27,3132
122400,30,3366
124200,29,3312
126000,29,3312
127800,32,3820
129600,30,3366
131400,32,3474
133200,31,3420
135000,30,3366
136800,29,3312
138600,29,3312
140400,29,3312
142200,31,3420
144000,30,3366
145800,29,3312
147600,29,3312
149400,30,3366
151200,30,3366
153000,29,3312
154800,29,3312
156600,29,3312
158400,30,3366
160200,30,3366
162000,30,3366
163800,30,3366
165600,29,3312
167400,30,3366
169200,29,3312
171000,29,3312
172800,29,3312
174600,31,3420
176400,30,3366
178200,30,3366
180000,30,3366
181800,29,3312
183600,29,3312
185400,29,3312
187200,30,3366
189000,29,3312
190800,29,3312
192600,29,3312
194400,29,3312
196200,29,3312
198000,30,3366
199800,29,3312
201600,29,3312
203400,29,3312
205200,31,3420
207000,29,3312
208800,29,3312
210600,29,3312
212400,34,3928
214200,29,3312
216000,29,3312
217800,29,3312
219600,29,3312
221400,27,3132
223200,29,3312
225000,31,3420
226800,30,3366
228600,30,3366
230400,30,3366
232200,29,3312
234000,29,3312
235800,29,3312
237600,30,3366
239400,30,3366
241200,29,3312
243000,29,3312
244800,31,3420
246600,30,3366
248400,29,3312
250200,30,3366
252000,29,3312
253800,29,3312
