Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DreamGlassAir (US),0,46,4073,29,2602,17,1471
DreamGlassAir (US),1800,33,2783,22,1782,11,1001
DreamGlassAir (US),3600,46,4164,29,2656,17,1508
DreamGlassAir (US),5400,33,2783,22,1782,11,1001
DreamGlassAir (US),7200,43,3911,27,2494,16,1417
DreamGlassAir (US),9000,33,2783,22,1782,11,1001
DreamGlassAir (US),10800,61,9597,37,7004,24,2593
DreamGlassAir (US),12600,36,3005,24,1930,12,1075
DreamGlassAir (US),14400,43,3911,27,2494,16,1417
DreamGlassAir (US),16200,33,2783,22,1782,11,1001
DreamGlassAir (US),18000,46,4164,29,2656,17,1508
DreamGlassAir (US),19800,34,2849,22,1782,12,1067
DreamGlassAir (US),21600,87,11395,51,5944,36,5451
DreamGlassAir (US),23400,42,3269,28,2106,14,1163
DreamGlassAir (US),25200,46,4164,29,2656,17,1508
DreamGlassAir (US),27000,33,2783,22,1782,11,1001
DreamGlassAir (US),28800,43,3911,27,2494,16,1417
DreamGlassAir (US),30600,33,2783,22,1782,11,1001
DreamGlassAir (US),32400,46,4164,29,2656,17,1508
DreamGlassAir (US),34200,33,2783,22,1782,11,1001
DreamGlassAir (US),36000,43,3911,27,2494,16,1417
DreamGlassAir (US),37800,33,2783,22,1782,11,1001
DreamGlassAir (US),39600,46,4164,29,2656,17,1508
DreamGlassAir (US),41400,33,2783,22,1782,11,1001
DreamGlassAir (US),43200,43,3911,27,2494,16,1417
DreamGlassAir (US),45000,33,2783,22,1782,11,1001
DreamGlassAir (US),46800,46,4164,29,2656,17,1508
DreamGlassAir (US),48600,33,2783,22,1782,11,1001
DreamGlassAir (US),50400,61,6224,38,3610,23,2614
DreamGlassAir (US),52200,33,2783,22,1782,11,1001
DreamGlassAir (US),54000,46,4164,29,2656,17,1508
DreamGlassAir (US),55800,33,2783,22,1782,11,1001
DreamGlassAir (US),57600,61,6230,38,3610,23,2620
DreamGlassAir (US),59400,33,2783,22,1782,11,1001
DreamGlassAir (US),61200,91,10580,54,6137,37,4443
DreamGlassAir (US),63000,42,3269,28,2106,14,1163
DreamGlassAir (US),64800,46,4164,29,2656,17,1508
DreamGlassAir (US),66600,33,2783,22,1782,11,1001
DreamGlassAir (US),68400,44,3977,27,2494,17,1483
DreamGlassAir (US),70200,33,2783,22,1782,11,1001
DreamGlassAir (US),72000,46,4164,29,2656,17,1508
DreamGlassAir (US),73800,33,2783,22,1782,11,1001
DreamGlassAir (US),75600,57,10410,36,4185,21,6225
DreamGlassAir (US),77400,43,3705,29,2391,14,1314
DreamGlassAir (US),79200,46,4164,29,2656,17,1508
DreamGlassAir (US),81000,33,2783,22,1782,11,1001
DreamGlassAir (US),82800,43,3911,27,2494,16,1417
DreamGlassAir (US),84600,33,2783,22,1782,11,1001
DreamGlassAir (US),86400,46,4164,29,2656,17,1508
DreamGlassAir (US),88200,33,2783,22,1782,11,1001
DreamGlassAir (US),90000,61,6231,38,3610,23,2621
DreamGlassAir (US),91800,33,2783,22,1782,11,1001
DreamGlassAir (US),93600,46,4164,29,2656,17,1508
DreamGlassAir (US),95400,33,2783,22,1782,11,1001
DreamGlassAir (US),97200,58,9378,35,6876,23,2502
DreamGlassAir (US),99000,36,3005,24,1930,12,1075
DreamGlassAir (US),100800,94,11865,56,6268,38,5597
DreamGlassAir (US),102600,42,3269,28,2106,14,1163
DreamGlassAir (US),104400,46,4164,29,2656,17,1508
DreamGlassAir (US),106200,33,2783,22,1782,11,1001
DreamGlassAir (US),108000,43,3911,27,2494,16,1417
DreamGlassAir (US),109800,33,2783,22,1782,11,1001
DreamGlassAir (US),111600,46,4164,29,2656,17,1508
DreamGlassAir (US),113400,33,2783,22,1782,11,1001
DreamGlassAir (US),115200,43,3911,27,2494,16,1417
DreamGlassAir (US),117000,33,2783,22,1782,11,1001
DreamGlassAir (US),118800,46,4164,29,2656,17,1508
DreamGlassAir (US),120600,33,2783,22,1782,11,1001
DreamGlassAir (US),122400,43,3911,27,2494,16,1417
DreamGlassAir (US),124200,33,2783,22,1782,11,1001
DreamGlassAir (US),126000,46,4164,29,2656,17,1508
DreamGlassAir (US),127800,48,4803,33,2878,15,1925
DreamGlassAir (US),129600,49,4906,33,2892,16,2014
DreamGlassAir (US),131400,33,2783,22,1782,11,1001
DreamGlassAir (US),133200,46,4164,29,2656,17,1508
DreamGlassAir (US),135000,50,4951,32,2790,18,2161
DreamGlassAir (US),136800,46,4164,29,2656,17,1508
