StartTime,Frames,Bytes
0,429,39468
1800,308,19734
3600,356,28859
5400,297,18774
7200,331,26675
9000,439,77961
10800,370,33907
12600,285,17628
14400,422,48576
16200,284,17418
18000,316,25409
19800,284,17418
21600,321,25895
23400,286,17598
25200,354,32756
27000,288,17718
28800,319,25709
30600,278,16884
32400,322,25979
34200,286,17604
36000,316,25349
37800,277,16890
39600,355,32587
41400,270,16314
43200,323,25919
45000,271,16368
46800,320,25757
48600,273,16548
50400,320,25685
52200,278,16932
54000,345,31970
55800,278,16902
57600,316,25421
59400,282,17262
61200,322,26053
63000,278,16932
64800,483,55694
66600,440,46728
68400,355,32627
70200,273,16482
72000,320,25755
73800,275,16662
75600,324,26858
77400,278,16896
79200,319,25563
81000,275,16728
82800,366,37011
84600,377,39123
86400,353,32794
88200,278,16944
90000,315,25293
91800,277,16818
93600,319,25587
95400,432,71735
97200,353,32501
99000,278,16944
100800,353,33548
102600,324,29181
104400,314,25215
106200,277,16842
108000,321,25809
109800,277,16842
111600,349,32292
113400,276,16752
115200,318,25575
117000,274,16572
118800,321,25809
120600,369,38548
122400,423,48174
124200,275,16662
126000,349,32123
127800,279,17022
129600,314,25215
131400,279,17022
133200,317,25449
135000,274,16572
136800,324,26079
138600,273,16482
140400,356,32718
142200,277,16842
144000,318,25575
145800,278,16944
147600,318,25787
149400,281,17202
151200,314,25215
153000,437,46552
154800,358,33706
156600,278,16896
158400,318,25575
160200,277,16710
162000,322,25935
163800,273,16482
165600,318,25509
167400,278,16944
169200,370,37728
171000,280,17076
172800,349,32476
174600,281,17202
176400,314,25215
178200,277,16776
180000,319,25629
181800,428,71597
183600,355,32663
185400,276,16764
187200,394,45668
189000,280,17023
190800,315,25293
192600,279,16962
194400,318,25563
196200,280,17124
198000,348,32100
199800,280,17124
201600,315,25293
203400,275,16674
205200,323,26013
207000,373,38771
208800,317,25449
210600,278,16944
212400,350,32195
214200,283,17328
216000,313,25113
217800,278,16944
219600,316,25383
221400,281,17214
223200,318,25497
225000,278,16944
226800,354,32664
228600,278,16878
230400,320,25707
232200,274,16584
234000,326,27274
235800,278,16896
237600,318,25509
239400,598,76462
241200,350,32243
243000,278,16944
244800,315,25293
246600,278,16944
248400,317,25473
250200,274,16584
252000,319,25653
253800,277,16854
255600,369,37269
257400,276,16764
259200,351,32680
261000,276,16764
262800,315,25293
264600,281,17214
266400,316,25395
268200,423,71328
270000,352,32387
271800,281,17136
273600,401,45911
275400,275,16662
277200,320,25719
279000,280,17112
280800,317,25449
282600,278,16902
284400,392,40514
286200,277,16842
288000,317,25485
289800,276,16764
291600,318,25563
293400,377,39160
295200,319,25563
297000,276,16764
298800,353,32507
300600,281,17214
302400,317,25407
304200,278,16944
306000,317,25473
307800,274,16584
309600,319,25653
311400,277,16824
313200,359,33827
315000,277,16818
316800,313,25113
318600,282,17304
320400,320,25901
322200,279,17022
324000,316,25395
325800,440,46787
327600,352,32351
329400,273,16482
331200,321,25809
333000,275,16662
334800,318,25575
336600,277,16842
338400,317,25485
340200,278,16944
342000,367,37494
343800,280,17076
345600,354,32896
347400,275,16662
349200,318,25575
351000,276,16752
352800,320,25755
354600,428,71645
356400,355,32549
358200,278,16944
360000,355,33728
361800,319,28849
363600,316,25347
365400,281,17214
367200,316,25347
369000,276,16764
370800,354,32640
372600,276,16764
374400,316,25347
376200,281,17214
378000,319,25629
379800,374,38781
381600,318,25611
383400,277,16842
385200,352,32357
387000,278,16944
388800,315,25293
390600,278,16944
392400,322,26630
394200,279,16998
396000,318,25563
397800,280,17124
399600,350,32304
401400,278,16944
403200,315,25293
405000,278,16878
406800,328,26627
408600,275,16662
410400,318,25575
412200,436,46500
414000,357,32639
415800,277,16842
417600,316,25395
419400,279,16992
421200,316,25395
423000,277,16842
424800,318,25575
426600,274,16584
428400,371,37449
430200,277,16824
432000,352,32704
433800,279,17034
435600,317,25473
437400,276,16764
439200,315,25293
441000,427,71676
442800,352,32375
444600,278,16878
446400,403,46007
448200,278,16944
450000,316,25395
451800,275,16662
453600,318,25575
455400,278,16932
457200,352,32438
459000,277,16842
460800,320,25691
462600,273,16482
464400,319,25667
466200,374,38890
468000,317,25475
469800,276,16764
471600,358,33618
473400,279,16998
475200,314,25169
477000,279,17034
478800,317,25475
480600,278,16944
482400,316,25385
484200,279,17034
486000,350,32336
487800,280,17124
489600,316,25397
491400,273,16482
493200,331,26869
495000,273,16482
496800,320,25757
498600,433,46260
500400,354,32611
502200,275,16662
504000,314,25217
505800,281,17202
507600,314,25217
509400,279,17022
511200,314,25217
513000,440,46837
514800,371,37856
516600,274,16536
518400,358,33258
520200,273,16482
522000,320,25757
523800,274,16584
525600,319,25655
527400,429,71699
529200,347,31963
531000,283,17364
532800,397,45535
534600,278,16944
536400,318,25565
538200,274,16584
540000,320,25745
541800,277,16854
543600,357,32948
545400,274,16584
547200,316,25361
549000,282,17292
550800,319,26398
552600,379,39236
554400,321,25811
556200,280,17112
558000,353,32515
559800,275,16662
561600,317,25487
563400,276,16752
565200,318,25577
567000,278,16944
568800,319,25655
570600,276,16734
572400,354,32600
574200,276,16764
576000,317,25475
577800,278,16944
579600,320,25969
581400,279,17022
583200,314,25217
585000,279,17022
586800,350,32179
588600,275,16662
590400,323,25925
592200,275,16662
594000,320,25757
595800,275,16662
597600,316,25397
599400,438,46656
601200,367,37091
603000,280,17124
