Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Litokam (US),0,289,27701,159,13823,130,13878
Litokam (US),1800,290,27618,161,13806,129,13812
Litokam (US),3600,293,27965,162,14021,131,13944
Litokam (US),5400,314,33540,174,15774,140,17766
Litokam (US),7200,293,27965,162,14021,131,13944
Litokam (US),9000,290,27618,161,13806,129,13812
Litokam (US),10800,291,27833,161,13955,130,13878
Litokam (US),12600,290,27618,161,13806,129,13812
Litokam (US),14400,317,33887,175,15989,142,17898
Litokam (US),16200,283,24538,157,13467,126,11071
Litokam (US),18000,317,33679,175,15909,142,17770
Litokam (US),19800,287,27282,159,13605,128,13677
Litokam (US),21600,291,27833,161,13955,130,13878
Litokam (US),23400,314,33540,174,15774,140,17766
Litokam (US),25200,293,27965,162,14021,131,13944
Litokam (US),27000,290,27618,161,13806,129,13812
Litokam (US),28800,293,27965,162,14021,131,13944
Litokam (US),30600,290,27618,161,13806,129,13812
Litokam (US),32400,317,33887,175,15989,142,17898
Litokam (US),34200,288,27486,160,13740,128,13746
Litokam (US),36000,293,27965,162,14021,131,13944
Litokam (US),37800,290,27618,161,13806,129,13812
Litokam (US),39600,317,33679,175,15909,142,17770
Litokam (US),41400,314,33540,174,15774,140,17766
Litokam (US),43200,293,27965,162,14021,131,13944
Litokam (US),45000,290,27618,161,13806,129,13812
Litokam (US),46800,291,27833,161,13955,130,13878
Litokam (US),48600,290,27618,161,13806,129,13812
Litokam (US),50400,315,33755,174,15923,141,17832
Litokam (US),52200,288,27486,160,13740,128,13746
Litokam (US),54000,293,27965,162,14021,131,13944
Litokam (US),55800,290,27618,161,13806,129,13812
Litokam (US),57600,291,27833,161,13955,130,13878
Litokam (US),59400,303,30196,168,15303,135,14893
Litokam (US),61200,308,30467,170,15504,138,14963
Litokam (US),63000,287,27282,159,13605,128,13677
Litokam (US),64800,291,27833,161,13955,130,13878
Litokam (US),66600,284,27222,158,13608,126,13614
Litokam (US),68400,339,39597,187,17875,152,21722
Litokam (US),70200,284,27222,158,13608,126,13614
Litokam (US),72000,286,27515,159,13835,127,13680
Litokam (US),73800,280,26958,156,13476,124,13482
Litokam (US),75600,276,26843,152,13361,124,13482
Litokam (US),77400,295,27050,163,14898,132,12152
Litokam (US),79200,288,27635,159,13823,129,13812
Litokam (US),81000,284,27222,158,13608,126,13614
Litokam (US),82800,355,44783,195,19385,160,25398
Litokam (US),84600,286,27354,159,13674,127,13680
Litokam (US),86400,313,33623,173,15857,140,17766
Litokam (US),88200,282,27090,157,13542,125,13548
Litokam (US),90000,285,27437,158,13757,127,13680
Litokam (US),91800,282,27090,157,13542,125,13548
Litokam (US),93600,278,24357,154,13418,124,10939
Litokam (US),95400,308,33144,171,15576,137,17568
Litokam (US),97200,287,27569,159,13823,128,13746
Litokam (US),99000,290,27618,161,13806,129,13812
Litokam (US),100800,274,24093,152,13286,122,10807
Litokam (US),102600,288,27486,160,13740,128,13746
Litokam (US),104400,329,36053,181,17271,148,18782
Litokam (US),106200,290,27618,161,13806,129,13812
Litokam (US),108000,291,27833,161,13955,130,13878
Litokam (US),109800,290,27618,161,13806,129,13812
Litokam (US),111600,293,27965,162,14021,131,13944
Litokam (US),113400,307,30460,170,15435,137,15025
Litokam (US),115200,293,27965,162,14021,131,13944
Litokam (US),117000,288,27486,160,13740,128,13746
Litokam (US),118800,293,27965,162,14021,131,13944
Litokam (US),120600,290,27618,161,13806,129,13812
Litokam (US),122400,317,33887,175,15989,142,17898
Litokam (US),124200,290,27618,161,13806,129,13812
Litokam (US),126000,317,33679,175,15909,142,17770
Litokam (US),127800,290,27618,161,13806,129,13812
Litokam (US),129600,293,27965,162,14021,131,13944
Litokam (US),131400,312,33408,173,15708,139,17700
Litokam (US),133200,293,27965,162,14021,131,13944
Litokam (US),135000,283,24538,157,13467,126,11071
Litokam (US),136800,293,27965,162,14021,131,13944
Litokam (US),138600,290,27618,161,13806,129,13812
Litokam (US),140400,317,33887,175,15989,142,17898
Litokam (US),142200,288,27486,160,13740,128,13746
Litokam (US),144000,293,27965,162,14021,131,13944
Litokam (US),145800,288,27486,160,13740,128,13746
Litokam (US),147600,305,30131,168,15303,137,14828
Litokam (US),149400,312,33408,173,15708,139,17700
Litokam (US),151200,293,27965,162,14021,131,13944
Litokam (US),153000,288,27486,160,13740,128,13746
Litokam (US),154800,310,30727,171,15634,139,15093
Litokam (US),156600,288,27486,160,13740,128,13746
Litokam (US),158400,310,30807,171,15650,139,15157
Litokam (US),160200,290,27618,161,13806,129,13812
Litokam (US),162000,286,24885,158,13682,128,11203
Litokam (US),163800,288,27486,160,13740,128,13746
Litokam (US),165600,291,27833,161,13955,130,13878
Litokam (US),167400,307,30460,170,15435,137,15025
Litokam (US),169200,361,45179,199,19649,162,25530
Litokam (US),171000,282,27090,157,13542,125,13548
Litokam (US),172800,286,24885,158,13682,128,11203
Litokam (US),174600,288,27486,160,13740,128,13746
Litokam (US),176400,317,33887,175,15989,142,17898
Litokam (US),178200,288,27486,160,13740,128,13746
Litokam (US),180000,293,27965,162,14021,131,13944
Litokam (US),181800,290,27618,161,13806,129,13812
Litokam (US),183600,289,27701,160,13889,129,13812
Litokam (US),185400,312,33408,173,15708,139,17700
Litokam (US),187200,293,27965,162,14021,131,13944
Litokam (US),189000,288,27486,160,13740,128,13746
Litokam (US),190800,317,33679,175,15909,142,17770
Litokam (US),192600,289,27390,161,13713,128,13677
Litokam (US),194400,311,33491,172,15791,139,17700
Litokam (US),196200,290,27618,161,13806,129,13812
Litokam (US),198000,284,24753,157,13616,127,11137
Litokam (US),199800,290,27618,161,13806,129,13812
Litokam (US),201600,291,27833,161,13955,130,13878
Litokam (US),203400,305,30328,169,15369,136,14959
Litokam (US),205200,293,27965,162,14021,131,13944
Litokam (US),207000,290,27618,161,13806,129,13812
Litokam (US),208800,286,24885,158,13682,128,11203
Litokam (US),210600,290,27618,161,13806,129,13812
Litokam (US),212400,315,33547,174,15843,141,17704
Litokam (US),214200,307,30460,170,15435,137,15025
Litokam (US),216000,293,27965,162,14021,131,13944
Litokam (US),217800,290,27618,161,13806,129,13812
Litokam (US),219600,293,27965,162,14021,131,13944
Litokam (US),221400,290,27618,161,13806,129,13812
Litokam (US),223200,315,33755,174,15923,141,17832
Litokam (US),225000,290,27618,161,13806,129,13812
Litokam (US),226800,293,27965,162,14021,131,13944
Litokam (US),228600,290,27618,161,13806,129,13812
Litokam (US),230400,293,27965,162,14021,131,13944
Litokam (US),232200,314,33540,174,15774,140,17766
Litokam (US),234000,317,33679,175,15909,142,17770
Litokam (US),235800,278,24070,154,13200,124,10870
Litokam (US),237600,317,33807,175,15973,142,17834
Litokam (US),239400,283,24538,157,13467,126,11071
Litokam (US),241200,317,33887,175,15989,142,17898
Litokam (US),243000,290,27618,161,13806,129,13812
Litokam (US),244800,290,27767,160,13889,130,13878
Litokam (US),246600,289,27552,160,13740,129,13812
Litokam (US),248400,293,27965,162,14021,131,13944
Litokam (US),250200,314,33540,174,15774,140,17766
