StartTime,Frames,Bytes
0,36,2957
1800,43,3911
3600,36,3036
5400,43,3911
7200,35,2915
9000,44,3977
10800,36,3036
12600,45,4043
14400,34,2849
16200,45,4043
18000,36,3036
19800,172,51159
21600,41,3497
23400,43,3911
25200,36,3036
27000,43,3911
28800,33,2783
30600,44,3977
32400,36,3036
34200,44,3964
36000,34,2849
37800,99,11176
39600,36,2945
41400,43,3911
43200,36,3036
45000,43,3911
46800,33,2783
48600,43,3911
50400,36,3036
52200,44,3977
54000,33,2783
55800,44,3977
57600,37,3102
59400,43,3911
61200,33,2783
63000,43,3911
64800,36,3036
66600,43,3911
68400,33,2783
70200,43,3911
72000,36,3036
73800,44,3965
75600,33,2783
77400,99,11478
79200,36,2945
81000,43,3911
82800,36,3036
84600,46,4197
86400,33,2783
88200,44,3965
90000,36,3036
91800,44,3977
93600,33,2783
95400,44,3977
97200,36,3036
99000,44,3985
100800,33,2783
102600,43,3911
104400,36,3036
106200,82,16754
108000,34,2857
109800,43,3911
111600,36,3036
113400,43,3911
115200,33,2783
117000,99,11194
118800,36,2945
120600,43,3923
122400,36,3036
124200,43,3911
126000,33,2783
127800,44,3964
129600,36,3036
131400,43,3911
133200,33,2783
135000,45,4043
136800,36,3036
138600,43,3911
140400,33,2783
142200,43,3918
144000,37,3102
145800,44,3984
147600,33,2783
149400,43,3918
151200,36,3036
153000,43,3918
154800,33,2783
156600,98,11608
158400,36,2945
160200,43,3918
162000,36,3036
163800,44,3984
165600,33,2783
167400,43,3918
169200,36,3036
171000,45,4138
172800,33,2783
174600,43,3918
176400,36,3036
178200,60,6526
180000,0,0
181800,11,1644
183600,92,11386
185400,56,6091
187200,110,13840
189000,61,7900
190800,72,10078
192600,262,34534
194400,312,37890
196200,231,28019
198000,88,9971
199800,168,20335
201600,37,3011
203400,79,8533
205200,33,2783
207000,169,20010
208800,51,5013
210600,314,37445
212400,214,26094
214200,49,4271
216000,33,2783
217800,45,4043
219600,15,1210
221400,0,0
223200,0,0
225000,0,0
226800,0,0
228600,0,0
230400,0,0
232200,0,0
234000,0,0
235800,0,0
237600,0,0
239400,0,0
