Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
HoloLens2 (US),0,850,489987,464,153508,386,336479
HoloLens2 (US),1800,104,25228,54,6769,50,18459
HoloLens2 (US),3600,121,33116,58,10817,63,22299
HoloLens2 (US),5400,124,37810,61,15118,63,22692
HoloLens2 (US),7200,54,11864,29,4605,25,7259
HoloLens2 (US),9000,61,16444,31,4592,30,11852
HoloLens2 (US),10800,355,157596,119,69672,236,87924
HoloLens2 (US),12600,54,11857,29,4605,25,7252
HoloLens2 (US),14400,40,9743,22,3539,18,6204
HoloLens2 (US),16200,109,32216,59,9876,50,22340
HoloLens2 (US),18000,339,149809,123,69075,216,80734
HoloLens2 (US),19800,84,24595,38,8822,46,15773
HoloLens2 (US),21600,38,9692,21,3543,17,6149
HoloLens2 (US),23400,238,122378,130,21907,108,100471
HoloLens2 (US),25200,163,95283,88,15032,75,80251
HoloLens2 (US),27000,72,23309,33,8185,39,15124
HoloLens2 (US),28800,56,12023,29,4638,27,7385
HoloLens2 (US),30600,63,16568,33,4702,30,11866
HoloLens2 (US),32400,116,34685,59,12762,57,21923
HoloLens2 (US),34200,42,9906,22,3542,20,6364
HoloLens2 (US),36000,172,55717,94,21699,78,34018
HoloLens2 (US),37800,41,9811,22,3543,19,6268
HoloLens2 (US),39600,38,9634,21,3484,17,6150
HoloLens2 (US),41400,113,45979,57,18383,56,27596
HoloLens2 (US),43200,164,57209,88,25603,76,31606
HoloLens2 (US),45000,40,9801,22,3543,18,6258
HoloLens2 (US),46800,75,13623,36,5143,39,8480
HoloLens2 (US),48600,283,131978,147,73006,136,58972
HoloLens2 (US),50400,60,17835,34,6210,26,11625
HoloLens2 (US),52200,190,47305,98,14183,92,33122
HoloLens2 (US),54000,154,51587,78,13470,76,38117
HoloLens2 (US),55800,99,24979,52,7922,47,17057
HoloLens2 (US),57600,39,9690,21,3486,18,6204
HoloLens2 (US),59400,63,16565,32,4647,31,11918
HoloLens2 (US),61200,100,20351,49,6928,51,13423
HoloLens2 (US),63000,71,22783,33,8123,38,14660
HoloLens2 (US),64800,64,18314,35,6515,29,11799
HoloLens2 (US),66600,52,11812,28,4551,24,7261
HoloLens2 (US),68400,84,22421,46,6461,38,15960
HoloLens2 (US),70200,75,22875,35,7973,40,14902
HoloLens2 (US),72000,60,12136,29,4585,31,7551
HoloLens2 (US),73800,38,9678,21,3487,17,6191
HoloLens2 (US),75600,167,53033,86,16765,81,36268
HoloLens2 (US),77400,39,9690,21,3486,18,6204
HoloLens2 (US),79200,108,25283,58,8007,50,17276
HoloLens2 (US),81000,75,18274,40,6105,35,12169
HoloLens2 (US),82800,185,74565,96,20878,89,53687
HoloLens2 (US),84600,201,137520,96,15155,105,122365
HoloLens2 (US),86400,37,9579,21,3483,16,6096
HoloLens2 (US),88200,77,19003,42,6691,35,12312
HoloLens2 (US),90000,40,9743,21,3485,19,6258
HoloLens2 (US),91800,117,70687,59,22004,58,48683
HoloLens2 (US),93600,265,119270,141,43189,124,76081
HoloLens2 (US),95400,43,10035,23,3634,20,6401
HoloLens2 (US),97200,91,25149,47,8186,44,16963
HoloLens2 (US),99000,85,24957,41,9337,44,15620
HoloLens2 (US),100800,38,9637,21,3487,17,6150
HoloLens2 (US),102600,138,37929,76,11566,62,26363
HoloLens2 (US),104400,75,22580,36,8008,39,14572
HoloLens2 (US),106200,190,114370,89,46918,101,67452
HoloLens2 (US),108000,288,145444,153,76548,135,68896
HoloLens2 (US),109800,65,18009,34,6394,31,11615
HoloLens2 (US),111600,56,19366,30,4339,26,15027
HoloLens2 (US),113400,85,24750,39,9121,46,15629
HoloLens2 (US),115200,124,38000,68,11620,56,26380
HoloLens2 (US),117000,39,9731,21,3485,18,6246
HoloLens2 (US),118800,74,18483,39,5710,35,12773
HoloLens2 (US),120600,110,35777,55,11535,55,24242
HoloLens2 (US),122400,42,10165,23,3694,19,6471
HoloLens2 (US),124200,304,100722,153,36604,151,64118
HoloLens2 (US),126000,77,22693,36,8012,41,14681
HoloLens2 (US),127800,75,18012,42,6105,33,11907
HoloLens2 (US),129600,66,18479,35,6490,31,11989
HoloLens2 (US),131400,42,9909,22,3544,20,6365
HoloLens2 (US),133200,106,32092,52,11137,54,20955
HoloLens2 (US),135000,137,43206,68,13913,69,29293
HoloLens2 (US),136800,76,13675,36,5141,40,8534
HoloLens2 (US),138600,148,51189,79,24111,69,27078
HoloLens2 (US),140400,39,9733,21,3487,18,6246
HoloLens2 (US),142200,84,24801,39,9102,45,15699
HoloLens2 (US),144000,105,29280,58,8487,47,20793
HoloLens2 (US),145800,42,10124,23,3695,19,6429
HoloLens2 (US),147600,80,24871,38,9043,42,15828
HoloLens2 (US),149400,124,35002,70,9487,54,25515
HoloLens2 (US),151200,96,26741,50,8815,46,17926
HoloLens2 (US),153000,43,9961,22,3541,21,6420
HoloLens2 (US),154800,100,24690,54,7617,46,17073
HoloLens2 (US),156600,98,29559,48,10055,50,19504
HoloLens2 (US),158400,42,9907,22,3541,20,6366
HoloLens2 (US),160200,50,11154,28,4315,22,6839
HoloLens2 (US),162000,50,11060,28,4248,22,6812
HoloLens2 (US),163800,168,48371,82,13583,86,34788
HoloLens2 (US),165600,61,12120,33,4666,28,7454
HoloLens2 (US),167400,159,34334,86,10968,73,23366
HoloLens2 (US),169200,111,36299,56,11668,55,24631
HoloLens2 (US),171000,225,83448,125,23331,100,60117
HoloLens2 (US),172800,133,38642,73,12644,60,25998
HoloLens2 (US),174600,39,9688,21,3484,18,6204
HoloLens2 (US),176400,87,25210,39,9100,48,16110
HoloLens2 (US),178200,41,9811,22,3541,19,6270
HoloLens2 (US),180000,117,33500,65,11107,52,22393
HoloLens2 (US),181800,65,16621,34,5375,31,11246
HoloLens2 (US),183600,40,9787,21,3486,19,6301
HoloLens2 (US),185400,399,212443,211,71349,188,141094
HoloLens2 (US),187200,62,16347,33,5222,29,11125
HoloLens2 (US),189000,41,9772,22,3541,19,6231
HoloLens2 (US),190800,115,33312,62,10643,53,22669
HoloLens2 (US),192600,171,58665,80,22876,91,35789
HoloLens2 (US),194400,79,20402,43,7667,36,12735
HoloLens2 (US),196200,67,18178,36,6507,31,11671
HoloLens2 (US),198000,130,37517,65,12195,65,25322
