StartTime,Frames,Bytes
0,15651,10465471
1800,15802,10507970
3600,15780,10335434
5400,222885,387647255
7200,15688,10178389
9000,15224,9973560
10800,15684,10045259
12600,166633,396964652
14400,15741,10025363
16200,15983,10394105
18000,15663,10040067
19800,80003,155881654
21600,15214,9909952
23400,15561,9983326
25200,15487,9943619
27000,15702,10168761
28800,15407,9944693
30600,15367,9881190
32400,15487,9939626
34200,16123,10554993
36000,15802,10191739
37800,15387,9947318
39600,15742,9879594
41400,22233,24094446
43200,15122,9819940
45000,15000,9897842
46800,15370,9946496
48600,15425,10125530
50400,15020,9852508
52200,15578,10337893
54000,15271,9846267
55800,15733,10224851
57600,15356,10087480
59400,15180,10110558
61200,15395,10021334
63000,15455,10136959
64800,14573,9852403
66600,15368,9914053
68400,14927,9927270
70200,15954,10612699
72000,15348,9963073
73800,15534,9993397
75600,15248,10011662
77400,15357,10180741
79200,15252,9965505
81000,16073,10871954
82800,15182,10048650
84600,7457,4761024
86400,2828,1429025
88200,70506,113165838
90000,2771,1645777
91800,5003268,8061549689
93600,2701,1383465
95400,2512,1338437
97200,2528,1268558
99000,2937,1631025
100800,2542,1310110
102600,2572,1346167
104400,2519,1392646
106200,3226,2003276
108000,2433,1230475
109800,2484,1324879
111600,2437,1315006
113400,2760,1535062
115200,2697,1396924
117000,2512,1320602
118800,2511,1315479
120600,2827,1571627
122400,2547,1413322
124200,2926,1727056
126000,2421,1275896
127800,2935,1575242
129600,2498,1382064
131400,2413,1262469
133200,2386,1307634
135000,2763,1601643
136800,2432,1319102
138600,2546,1359905
140400,2470,1308206
142200,3135,1940381
144000,2557,1376582
145800,2605,1355111
147600,2507,1321476
149400,2743,1557830
151200,2549,1355596
153000,2437,1331185
154800,2414,1311561
156600,2824,1567535
158400,2594,1443240
160200,2700,1562145
162000,2526,1423610
163800,2717,1538899
165600,2401,1325064
167400,2765,1486612
169200,2388,1197475
171000,3388,2055379
172800,2688,1561454
174600,3038,1419694
176400,2560,1499326
178200,28822,44364096
180000,2516,1420120
181800,2540,1371206
183600,2395,1307334
185400,2714,1552463
187200,2499,1325265
189000,2393,1248817
190800,2484,1347821
192600,2768,1568749
194400,2536,1361282
196200,2943,1748071
198000,2388,1291358
199800,2722,1525340
201600,2496,1325681
203400,2631,1379753
205200,2495,1329914
207000,2783,1550879
208800,2669,1350878
210600,2648,1393521
212400,2493,1325110
214200,3385,2003063
216000,2344,1301125
217800,2506,1370480
219600,2347,1310626
221400,2601,1520917
223200,2505,1333088
225000,2438,1310026
226800,2555,1338345
228600,2689,1545593
230400,2437,1324570
232200,2980,1767140
234000,2516,1330704
235800,2812,1523715
237600,2577,1357150
239400,2414,1330837
241200,2399,1308692
243000,2727,1529494
244800,2523,1345375
246600,2694,1473508
248400,2542,1323741
250200,3109,1931763
252000,2562,1311190
253800,2864,1579615
255600,2363,1123091
257400,3362,2048163
259200,2346,1293427
261000,3337,1603638
262800,2586,1494893
264600,2751,1612183
266400,2418,1311751
268200,2929,1763781
270000,2340,1259925
271800,2796,1536424
273600,2540,1331013
275400,2602,1339543
277200,2461,1312742
279000,2752,1548572
280800,2511,1342815
282600,2409,1323487
284400,2479,1334322
286200,2737,1524036
288000,2660,1689812
289800,2551,1388507
291600,2372,1287681
293400,2834,1559264
295200,2580,1321330
297000,2719,1358758
298800,2638,1342750
300600,3011,1632333
302400,2412,1306282
304200,2508,1338033
306000,2827,1750094
307800,2747,1518226
309600,2503,1325727
311400,2491,1337741
313200,2374,1304489
315000,2613,1514024
316800,2386,1330280
318600,2444,1372587
320400,2418,1312831
322200,2680,1530066
324000,7644,5239231
325800,5219,2702843
327600,5577,3215882
329400,4936,2503496
331200,5067,3040642
333000,4985,2728112
334800,4643,2508480
336600,5019,2863935
338400,9824,7592079
340200,5473,3012118
342000,4896,2471141
343800,6124,3644711
345600,5185,2994742
347400,5919,3100302
349200,5037,2769875
351000,5404,2933768
352800,4956,2610888
354600,4979,2685794
356400,4975,2661184
358200,5140,2895775
360000,5111,2985730
361800,5258,3225247
363600,4651,2504259
365400,4997,2812114
367200,4830,2638688
369000,4773,2618794
370800,4780,2631310
372600,5185,2893960
374400,4821,2635084
376200,5134,2875352
378000,4995,2849977
379800,5476,3241962
381600,4892,2650199
383400,3148,1804692
385200,2286,1322323
387000,2244,1230812
388800,2229,1272598
390600,2266,1293384
392400,2327,1283385
394200,2312,1316822
396000,2222,1259517
397800,2600,1661703
399600,2374,1289644
401400,2311,1308192
403200,2295,1268330
405000,2281,1296682
406800,2428,1269825
408600,2596,1412421
410400,2310,1277430
412200,2271,1286731
414000,2285,1275407
415800,2463,1692989
417600,2080,1216152
419400,2146,1299433
421200,2230,1246300
423000,2296,1309638
424800,2244,1269641
426600,2269,1280680
428400,2499,1507233
430200,2123,1199445
432000,2197,1258191
433800,2468,1711817
435600,2265,1299232
437400,2197,1317461
439200,2135,1251793
441000,2178,1261375
442800,2228,1271913
444600,2302,1301479
446400,2178,1225224
448200,2206,1282295
450000,2360,1310764
451800,2896,1836024
453600,2261,1258805
455400,2277,1278246
457200,2273,1211879
459000,2433,1320025
460800,2304,1264949
462600,2242,1271193
464400,2310,1304022
466200,2333,1334233
468000,2151,1215300
469800,2562,1652202
471600,2285,1305786
473400,2312,1308746
475200,2166,1255556
477000,2207,1219068
478800,2353,1325248
480600,2296,1280394
482400,2180,1258959
484200,2276,1280514
486000,2355,1279481
487800,2605,1693146
489600,2263,1267758
491400,2280,1274028
493200,2405,1308721
495000,2741,1545056
496800,2134,1165762
498600,2169,1262271
500400,2213,1272536
502200,2131,1293651
504000,2203,1266259
505800,2510,1625230
507600,2240,1281710
509400,2191,1283722
511200,2102,1249940
513000,2244,1275569
514800,2419,1425542
516600,2271,1254654
518400,2162,1264435
520200,2189,1289161
522000,2221,1348984
523800,2552,1701781
525600,2149,1250738
527400,2099,1251572
529200,2176,1271357
531000,2153,1287833
532800,2159,1264876
534600,2243,1256773
536400,2268,1270149
538200,2645,1471599
540000,2306,1234183
541800,2626,1612162
543600,2312,1280052
545400,2342,1313018
547200,2345,1277100
549000,2380,1288224
550800,2425,1315451
552600,2403,1310673
554400,2284,1271106
556200,2331,1273573
558000,2303,1288849
559800,2629,1662515
561600,2382,1275069
563400,2305,1287561
565200,2299,1303937
567000,2347,1300944
568800,2309,1268053
570600,2247,1270238
572400,2346,1293969
574200,2356,1342604
576000,2136,1214513
577800,2548,1666651
579600,2326,1407101
581400,2678,1507077
583200,2090,1119258
585000,2106,1260744
