Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Roborock (US),0,1274,331630,710,175431,564,156199
Roborock (US),1800,180,18540,120,12360,60,6180
Roborock (US),3600,181,18606,120,12360,61,6246
Roborock (US),5400,181,18606,120,12360,61,6246
Roborock (US),7200,180,18540,120,12360,60,6180
Roborock (US),9000,181,18606,120,12360,61,6246
Roborock (US),10800,180,18540,120,12360,60,6180
Roborock (US),12600,180,18540,120,12360,60,6180
Roborock (US),14400,180,18540,120,12360,60,6180
Roborock (US),16200,181,18618,120,12360,61,6258
Roborock (US),18000,181,18606,120,12360,61,6246
Roborock (US),19800,180,18540,120,12360,60,6180
Roborock (US),21600,180,18540,120,12360,60,6180
Roborock (US),23400,204,22913,131,15236,73,7677
Roborock (US),25200,269,39237,176,23668,93,15569
Roborock (US),27000,254,36491,168,21900,86,14591
Roborock (US),28800,191,20719,126,14098,65,6621
Roborock (US),30600,188,20410,124,13892,64,6518
Roborock (US),32400,183,19185,122,12902,61,6283
Roborock (US),34200,180,18540,120,12360,60,6180
Roborock (US),36000,180,18540,120,12360,60,6180
Roborock (US),37800,181,18618,120,12360,61,6258
Roborock (US),39600,181,18606,120,12360,61,6246
Roborock (US),41400,180,18540,120,12360,60,6180
Roborock (US),43200,180,18540,120,12360,60,6180
Roborock (US),45000,180,18540,120,12360,60,6180
Roborock (US),46800,180,18540,120,12360,60,6180
Roborock (US),48600,180,18540,120,12360,60,6180
Roborock (US),50400,180,18540,120,12360,60,6180
Roborock (US),52200,177,18231,118,12154,59,6077
Roborock (US),54000,180,18540,120,12360,60,6180
Roborock (US),55800,181,18606,120,12360,61,6246
Roborock (US),57600,180,18540,120,12360,60,6180
Roborock (US),59400,180,18540,120,12360,60,6180
Roborock (US),61200,180,18540,120,12360,60,6180
Roborock (US),63000,325,62008,205,22488,120,39520
Roborock (US),64800,230,38111,151,18490,79,19621
Roborock (US),66600,181,18606,120,12360,61,6246
Roborock (US),68400,181,18606,120,12360,61,6246
Roborock (US),70200,177,18231,118,12154,59,6077
Roborock (US),72000,181,18606,120,12360,61,6246
Roborock (US),73800,180,18540,120,12360,60,6180
Roborock (US),75600,184,18804,120,12360,64,6444
Roborock (US),77400,182,18672,120,12360,62,6312
Roborock (US),79200,180,18540,120,12360,60,6180
Roborock (US),81000,180,18540,120,12360,60,6180
Roborock (US),82800,181,18606,120,12360,61,6246
Roborock (US),84600,180,18540,120,12360,60,6180
Roborock (US),86400,180,18540,120,12360,60,6180
