Interval,Frames,Bytes
0 <> 21600,31253,6537045
21600 <> 43200,30941,6450956
43200 <> 64800,31164,6495399
64800 <> 86400,30965,6463498
86400 <> 108000,31089,6507230
108000 <> 129600,31123,6497279
129600 <> 151200,30849,6425865
151200 <> 172800,31100,6498710
172800 <> 194400,30949,6504034
194400 <> 216000,30979,6459057
216000 <> 237600,31143,6494768
237600 <> 259200,30536,6371792
259200 <> 280800,31133,6526150
280800 <> 302400,30996,6475105
302400 <> 324000,30890,6437085
324000 <> 345600,30680,6403413
345600 <> 367200,30999,6493267
367200 <> 388800,30876,6443606
388800 <> 410400,30980,6473194
410400 <> 432000,30694,6404580
432000 <> 453600,30932,6475126
453600 <> 475200,30811,6424834
475200 <> 496800,30784,6415996
496800 <> Dur,30865,6423283
