Interval,Frames,Bytes
0 <> 21600,24774,5151962
21600 <> 43200,24808,5171647
43200 <> 64800,24681,5135871
64800 <> 86400,24692,5144826
86400 <> 108000,24798,5167193
108000 <> 129600,24974,5225888
129600 <> 151200,24789,5164099
151200 <> 172800,24849,5181566
172800 <> 194400,24817,5172616
194400 <> 216000,24919,5204241
216000 <> 237600,24796,5165746
237600 <> 259200,24709,5146721
259200 <> 280800,24786,5159878
280800 <> 302400,24907,5202386
302400 <> 324000,24800,5158968
324000 <> 345600,24798,5160795
345600 <> 367200,24841,5176082
367200 <> 388800,24862,5197846
388800 <> 410400,24692,5136557
410400 <> 432000,24782,5156699
432000 <> 453600,24806,5165934
453600 <> 475200,24910,5207399
475200 <> 496800,24813,5159442
496800 <> Dur,24652,5127330
