StartTime,Frames,Bytes
0,5601,1669296
1800,5566,1675327
3600,4881,1347913
5400,5545,1616128
7200,5147,1451718
9000,5075,1442913
10800,4977,1361471
12600,5417,1532124
14400,5386,1593869
16200,5311,1589944
18000,5185,1518585
19800,5878,1885590
21600,5599,1705536
23400,5109,1478424
25200,5264,1562984
27000,5307,1595208
28800,5279,1570968
30600,5125,1506526
32400,5211,1547382
34200,5667,1665212
36000,4991,1414607
37800,4953,1310216
39600,4966,1404440
41400,5251,1486488
43200,5122,1414604
45000,4874,1313581
46800,5320,1521933
48600,5201,1454886
50400,4766,1224044
52200,4921,1327597
54000,5350,1584766
55800,5006,1444155
57600,4999,1299804
59400,4753,1289840
61200,4891,1251338
63000,4891,1262412
64800,4884,1343324
66600,4979,1343091
68400,4825,1239414
70200,4856,1146754
72000,4982,1240419
73800,4778,1173258
75600,4944,1250183
77400,4987,1334337
79200,4839,1193074
81000,5030,1350423
82800,5088,1346766
84600,4934,1324848
86400,4981,1320116
88200,4650,1178394
90000,5029,1340850
91800,4887,1210421
93600,4795,1229045
95400,4643,1159025
97200,5096,1298763
99000,5209,1322535
100800,5059,1340992
102600,5024,1313231
104400,4838,1248395
106200,5685,1747866
108000,4971,1302056
109800,4881,1263333
111600,4691,1173543
113400,4853,1222207
115200,5064,1228839
117000,4606,1169013
118800,4815,1169395
120600,4917,1202489
122400,5085,1358515
124200,4709,1265597
126000,5061,1389141
127800,5340,1459225
129600,5113,1301291
131400,4621,1189198
133200,5121,1423983
135000,4832,1269879
136800,5303,1470018
138600,5068,1441620
140400,5214,1487102
142200,5095,1440694
144000,4882,1211662
145800,4928,1284755
147600,4621,1120719
149400,4821,1217252
151200,4762,1146763
153000,4760,1191058
154800,5642,1645286
156600,4959,1356842
158400,5043,1257492
160200,5024,1382488
162000,5174,1459470
163800,5045,1377283
165600,5191,1390010
167400,5257,1439739
169200,5050,1394538
171000,4919,1328534
172800,5334,1424554
174600,4920,1292171
176400,5159,1396931
178200,4733,1223192
180000,5104,1281773
181800,4764,1219139
183600,5128,1340706
185400,4867,1225886
187200,5606,1613068
189000,5186,1554373
190800,5484,1604534
192600,5064,1422386
194400,5547,1573176
196200,5556,1695495
198000,4996,1402932
199800,5589,1754986
201600,5750,1705744
203400,5442,1655589
205200,5449,1589133
207000,5786,1759505
208800,5085,1349646
210600,4991,1329740
212400,4979,1357545
214200,5488,1632532
216000,5300,1421842
217800,4906,1283951
219600,5347,1559009
221400,5035,1339086
223200,4762,1194255
225000,5311,1524936
226800,5141,1396006
228600,4873,1304127
230400,5152,1383321
232200,4992,1325562
234000,5249,1482329
235800,4959,1322850
