StartTime,Frames,Bytes
0,157,51137
1800,30,2424
3600,59,10589
5400,30,2424
7200,65,13624
9000,30,2424
10800,56,10427
12600,30,2424
14400,61,12320
16200,30,2424
18000,58,10535
19800,58,10535
21600,37,5513
23400,62,10823
25200,30,2424
27000,57,10481
28800,38,4540
30600,58,10535
32400,30,2424
34200,58,10535
36000,38,5568
37800,58,10535
39600,30,2424
41400,58,10535
43200,35,4316
45000,58,10535
46800,30,2424
48600,60,10715
50400,40,5737
52200,58,10535
54000,30,2424
55800,58,10535
57600,35,4316
59400,58,10535
61200,58,10535
63000,30,2424
64800,64,13571
66600,30,2424
68400,58,10535
70200,40,4720
72000,61,10697
73800,30,2424
75600,58,10535
77400,38,5567
79200,58,10535
81000,57,10295
82800,57,10481
84600,34,4262
86400,60,10672
88200,30,2424
90000,58,10535
91800,42,5919
93600,60,11374
95400,30,2424
97200,58,10564
99000,35,4316
100800,58,10535
102600,56,10427
104400,30,2424
106200,66,13680
108000,30,2424
109800,59,10589
111600,30,2424
113400,68,12860
115200,30,2424
117000,58,10535
118800,30,2424
120600,66,13821
122400,30,2424
124200,58,10535
126000,30,2424
127800,63,12427
129600,32,2532
131400,58,10535
133200,32,2604
135000,69,13904
136800,30,2424
138600,58,10535
140400,30,2424
142200,63,12427
144000,30,2424
145800,58,10535
147600,58,10535
149400,39,5623
151200,56,10427
153000,30,2424
154800,59,10589
156600,38,4923
158400,59,10589
160200,30,2424
162000,60,10715
163800,42,5847
165600,58,10535
167400,30,2424
169200,58,10535
171000,63,12241
172800,56,10427
174600,30,2424
176400,58,10535
178200,42,6516
180000,58,10535
181800,30,2424
183600,58,10535
185400,34,4262
187200,58,10535
189000,30,2424
190800,58,10535
192600,38,5572
194400,60,10715
196200,58,10535
198000,30,2424
199800,66,12653
201600,30,2424
203400,58,10535
205200,30,2424
207000,65,13628
208800,30,2424
210600,58,10535
212400,30,2424
214200,62,12375
216000,30,2424
217800,59,10589
219600,38,5633
221400,59,10599
223200,30,2424
225000,59,10589
226800,37,4488
228600,59,10589
230400,30,2424
232200,59,10589
234000,37,5517
235800,58,10535
