StartTime,Frames,Bytes
0,113,11672
1800,90,8934
3600,86,8508
5400,93,9096
7200,89,8670
9000,93,9096
10800,86,8508
12600,90,8934
14400,113,11673
16200,88,8688
18000,88,8754
19800,87,8634
21600,91,8916
23400,87,8634
25200,88,8754
27000,90,8934
28800,109,11319
30600,91,8988
32400,85,8454
34200,93,9096
36000,85,8454
37800,90,8934
39600,90,8862
41400,91,8850
43200,111,11564
45000,89,8742
46800,89,8808
48600,87,8634
50400,88,8754
52200,92,9042
54000,85,8454
55800,90,8934
57600,110,11372
59400,90,8934
61200,85,8454
63000,90,8934
64800,89,8808
66600,87,8634
68400,88,8754
70200,89,8742
72000,111,11564
73800,88,8688
75600,89,8808
77400,90,8934
79200,86,8508
81000,91,8988
82800,86,8508
84600,90,8934
86400,110,11372
88200,93,9096
90000,88,8754
91800,87,8634
93600,89,8808
95400,87,8634
97200,88,8754
99000,87,8634
100800,113,11672
102600,90,8934
104400,85,8454
106200,92,9042
108000,85,8454
109800,90,8934
111600,85,8454
113400,93,9096
115200,111,11564
117000,87,8634
118800,93,9024
120600,87,8634
122400,88,8754
124200,88,8688
126000,88,8754
127800,90,8934
129600,110,11372
131400,91,8988
133200,85,8454
135000,92,9042
136800,86,8508
138600,90,8934
140400,88,8754
142200,88,8688
144000,112,11618
145800,88,8688
147600,89,8808
149400,88,8688
151200,90,8862
153000,93,9096
154800,88,8616
156600,92,9042
158400,108,11265
160200,92,9042
162000,86,8508
163800,91,8988
165600,89,8808
167400,89,8742
169200,88,8754
171000,87,8634
172800,112,11618
174600,87,8634
176400,88,8754
178200,91,8988
180000,89,8670
181800,90,8934
183600,85,8454
185400,91,8988
187200,108,11264
189000,91,8988
190800,89,8808
192600,89,8742
194400,88,8754
196200,88,8688
198000,90,8862
199800,87,8634
201600,112,11618
203400,91,8988
205200,87,8562
207000,90,8934
208800,88,8616
210600,90,8934
212400,85,8454
214200,95,9204
216000,111,11637
217800,87,8634
219600,90,8862
221400,88,8688
223200,88,8754
225000,87,8634
226800,89,8808
228600,90,8934
230400,109,11318
232200,94,9222
234000,135,21300
235800,111,14721
