StartTime,Frames,Bytes
0,2045,426054
1800,1999,411030
3600,2023,426188
5400,2063,424902
7200,2113,444148
9000,2006,415187
10800,2113,442005
12600,2013,417389
14400,2111,441965
16200,2073,423914
18000,2033,425546
19800,2079,429689
21600,2028,425165
23400,2087,429501
25200,2115,444376
27000,2016,417618
28800,2152,456604
30600,2041,425658
32400,2107,442832
34200,2110,439852
36000,2024,423991
37800,2072,423861
39600,2034,425544
41400,2078,429623
43200,2094,437451
45000,1994,413952
46800,2101,439514
48600,1988,405184
50400,2111,441830
52200,2016,415878
54000,2089,438446
55800,2048,445840
57600,2125,447935
59400,1916,395669
61200,2107,442032
63000,2001,411193
64800,1901,396583
66600,1949,399239
68400,2098,444556
70200,2087,429954
72000,2057,432405
73800,2051,420617
75600,2052,431923
77400,2021,414696
79200,2040,431798
81000,2045,419305
82800,2119,444607
84600,1952,400489
86400,2118,444323
88200,2006,413229
90000,2104,438071
91800,2024,419612
93600,2010,421931
95400,2037,416228
97200,2123,447513
99000,1989,408627
100800,2130,448675
102600,2002,412154
104400,2117,445157
106200,2177,501701
108000,2075,440714
109800,2093,435014
111600,2070,438923
113400,2075,429420
115200,2113,444225
117000,2033,419736
118800,2116,444491
120600,2037,425394
122400,2098,438537
124200,2088,433727
126000,2011,418787
127800,2070,427381
129600,2093,437219
131400,2033,422246
133200,2099,439470
135000,2013,415695
136800,2092,437051
138600,2008,418370
140400,2086,435171
142200,2118,464076
144000,2007,421393
145800,2078,432644
147600,2026,423156
149400,2139,465550
151200,2048,430071
153000,2047,422756
154800,1944,407794
156600,1992,412095
158400,2065,431551
160200,1966,404538
162000,2042,430098
163800,1976,407559
165600,2099,442466
167400,2060,422997
169200,2041,429233
171000,1965,403113
172800,2018,426488
174600,1990,406978
176400,2082,434359
178200,1985,409618
180000,2137,447266
181800,1991,408748
183600,2120,446610
185400,1996,410829
187200,2135,450768
189000,1990,408693
190800,2189,508668
192600,2059,422900
194400,2064,437573
196200,2068,426393
198000,2052,433121
199800,2100,436635
201600,2107,443604
203400,2000,412263
205200,2146,455383
207000,2044,418430
208800,2069,437579
210600,2049,420500
212400,2039,428069
214200,2049,420500
216000,2125,444720
217800,2014,417482
219600,2104,439833
221400,2006,415225
223200,2073,433950
225000,2033,422204
226800,2120,444453
228600,2002,415436
230400,2093,438120
232200,2106,466538
234000,2005,421114
235800,2007,416581
