StartTime,Frames,Bytes
0,2479,517360
1800,2488,517482
3600,2489,514756
5400,2894,633836
7200,2589,538258
9000,2471,513078
10800,2591,539708
12600,2675,558494
14400,2568,532862
16200,2569,537776
18000,2630,551963
19800,2683,558403
21600,2538,531283
23400,2523,522550
25200,2615,546922
27000,2583,533483
28800,2581,537350
30600,2466,514046
32400,2596,543322
34200,2853,590474
36000,2524,527512
37800,2536,526782
39600,2500,520522
41400,2729,567933
43200,2558,532238
45000,2459,515398
46800,2553,529652
48600,2601,541697
50400,2611,545643
52200,2458,511786
54000,2735,571061
55800,2453,512846
57600,2613,547954
59400,2399,499986
61200,2593,543482
63000,2611,542215
64800,2376,497552
66600,2488,522590
68400,2557,537822
70200,2811,588223
72000,2535,528414
73800,2562,537076
75600,2508,519788
77400,2641,551445
79200,2537,531604
81000,2561,532449
82800,2576,537054
84600,2575,534331
86400,2554,530322
88200,2479,518196
90000,2556,530630
91800,2808,614054
93600,2483,516026
95400,2533,528308
97200,2596,541980
99000,2693,564743
100800,2597,543546
102600,2472,515236
104400,2589,540564
106200,2697,562635
108000,2522,526815
109800,2546,530596
111600,2490,518228
113400,2554,533170
115200,2685,557473
117000,2490,520906
118800,2581,537652
120600,2764,571322
122400,2570,533322
124200,2559,536568
126000,2515,523774
127800,2740,572125
129600,2638,550258
131400,2464,513126
133200,2590,542952
135000,2463,510706
136800,2688,556944
138600,2453,512472
140400,2609,542632
142200,2519,526786
144000,2621,543613
145800,2506,525318
147600,2528,527920
149400,2540,530386
151200,2668,557907
153000,2478,512838
154800,2437,509816
156600,2474,515338
158400,2691,560921
160200,2443,513230
162000,2504,523092
163800,2448,510952
165600,2754,576331
167400,2569,535301
169200,2503,522266
171000,2460,514948
172800,2606,540597
174600,2647,548862
176400,2542,529118
178200,2599,567969
180000,2709,565533
181800,2475,514812
183600,2603,546137
185400,2692,558092
187200,2708,563943
189000,2465,513944
190800,2524,527632
192600,2546,532360
194400,2654,552214
196200,2536,528456
198000,2527,527780
199800,2538,530258
201600,2687,557671
203400,2486,517590
205200,2561,532422
207000,2548,531220
208800,2640,549871
210600,2534,526602
212400,2597,539585
214200,2547,530036
216000,2735,571181
217800,2471,514452
219600,2602,543946
221400,2451,509674
223200,2528,525627
225000,2632,550353
226800,2635,550774
228600,2449,509916
230400,2593,542634
232200,2628,548473
234000,2503,523806
235800,2441,509934
