StartTime,Frames,Bytes
0,9660,1324975
1800,9968,1460700
3600,9573,1299259
5400,9383,1239953
7200,9492,1287500
9000,9933,1428202
10800,9415,1233774
12600,9463,1238305
14400,9656,1305294
16200,10017,1445437
18000,9303,1158995
19800,9596,1321833
21600,9658,1328955
23400,9985,1414415
25200,9232,1140495
27000,9771,1385799
28800,9832,1377328
30600,9649,1341688
32400,9510,1251514
34200,9773,1371068
36000,9708,1320474
37800,9858,1390025
39600,9390,1182024
41400,9835,1397074
43200,9621,1291912
45000,9492,1219190
46800,9591,1291396
48600,9887,1409116
50400,9656,1321280
52200,9322,1191215
54000,9797,1366534
55800,9716,1375814
57600,9812,1376065
59400,9492,1267271
61200,9788,1354546
63000,9622,1327458
64800,9362,1191098
66600,9724,1363972
68400,9606,1311534
70200,9907,1420926
72000,9223,1138714
73800,9882,1422725
75600,9597,1290860
77400,10312,1724709
79200,9241,1144294
81000,9707,1361642
82800,9755,1380825
84600,9567,1303903
86400,9159,1122943
88200,9998,1496944
90000,9565,1314855
91800,9265,1186559
93600,9755,1353849
95400,9864,1389803
97200,9674,1334178
99000,9185,1157554
100800,9710,1360973
102600,9720,1367399
104400,9738,1359117
106200,9268,1187934
108000,9583,1292435
109800,9744,1374913
111600,9662,1329969
113400,9378,1246622
115200,9698,1340946
117000,9796,1413921
118800,9292,1154827
120600,9659,1345017
122400,9625,1322300
124200,9822,1395516
126000,9216,1124255
127800,9718,1345249
129600,9798,1355519
131400,9860,1412558
133200,9184,1139857
135000,9715,1355249
136800,9746,1352344
138600,9223,1160432
140400,9786,1391613
142200,9742,1413465
144000,9624,1304738
145800,9421,1208059
147600,9907,1443722
149400,9812,1378209
151200,9670,1313054
153000,9284,1180577
154800,9762,1380393
156600,9733,1366961
158400,9584,1296086
160200,9333,1185675
162000,9716,1355978
163800,10162,1655371
165600,9389,1206211
167400,9743,1363646
169200,9742,1359826
171000,9808,1377912
172800,9306,1163389
174600,9766,1383220
176400,9823,1394462
178200,9646,1345346
180000,9197,1153802
181800,9692,1355647
183600,9852,1385273
185400,9749,1378588
187200,9256,1130234
189000,9867,1386784
190800,9701,1349128
192600,9254,1165413
194400,9698,1337082
196200,9785,1388408
198000,9597,1311284
199800,9371,1223100
201600,9858,1385038
203400,9700,1364623
205200,9734,1372627
207000,9437,1226496
208800,9725,1363797
210600,9643,1321082
212400,9354,1176079
214200,9568,1324004
216000,9765,1378532
217800,9524,1296955
219600,9277,1139447
221400,9712,1324018
223200,9588,1286273
225000,9730,1338717
226800,9422,1159589
228600,9900,1448265
230400,9661,1324378
232200,9700,1353679
234000,9245,1150334
235800,9764,1371916
