StartTime,Frames,Bytes
0,8854,804650
1800,10405,2413966
3600,9018,977435
5400,9274,1159977
7200,9038,903138
9000,10570,2573026
10800,8933,954282
12600,9401,1193574
14400,8777,783913
16200,11449,3279026
18000,9014,983749
19800,9380,1100295
21600,9143,1003862
23400,10185,2137688
25200,8993,972198
27000,9488,1236696
28800,9021,874172
30600,10296,2231999
32400,9100,1016481
34200,9391,1092811
36000,9043,956866
37800,10294,2318632
39600,9070,865969
41400,9241,1024193
43200,8965,842894
45000,11537,3458250
46800,9651,2564128
48600,9914,2486847
50400,8978,842256
52200,12063,5154895
54000,9222,1173778
55800,9195,986263
57600,8998,914161
59400,11118,4263773
61200,9552,1250185
63000,9328,1195247
64800,9771,1930466
66600,10519,3845900
68400,9151,1050578
70200,9280,1195036
72000,9326,969375
73800,13748,6354062
75600,9289,1055556
77400,9871,1423394
79200,9252,1542257
81000,10058,2059133
82800,9096,1023780
84600,9355,1175564
86400,9818,2193925
88200,9564,1271626
90000,8987,965386
91800,9340,1205471
93600,9009,971614
95400,10188,1878054
97200,9073,1004158
99000,9231,1140284
100800,8990,962075
102600,11300,3205247
104400,9053,970042
106200,9209,1146973
108000,9114,998748
109800,9988,1986401
111600,8943,956323
113400,9344,1208377
115200,9084,1031667
117000,10353,2065185
118800,9147,1042929
120600,9372,1198003
122400,8967,943632
124200,9785,1783075
126000,9258,1054788
127800,9395,1193085
129600,9150,969988
131400,11611,3355029
133200,9589,1921429
135000,9851,2422079
136800,8963,957725
138600,10305,2675808
140400,9295,1349367
142200,9305,1064096
144000,9302,1055124
145800,10558,2908782
147600,10183,2337157
149400,9228,1044084
151200,9164,1039811
153000,10578,3020790
154800,9614,2376032
156600,9274,1164159
158400,9164,900696
160200,13020,4768300
162000,9771,2564479
163800,9657,1342889
165600,9374,1610200
167400,9738,1856954
169200,9224,1058417
171000,9734,1522822
172800,9176,909075
174600,9825,1894244
176400,8993,957119
178200,9404,1201745
180000,9086,915147
181800,10123,2209191
183600,9231,1030612
185400,9300,1061675
187200,9138,1017238
189000,11187,3113794
190800,9136,1005142
192600,9327,1193720
194400,8975,852306
196200,9867,1899227
198000,9100,1005374
199800,9302,1073844
201600,9295,1045334
203400,10258,2177646
205200,9071,1011255
207000,9321,1189883
208800,8935,836855
210600,10004,1939311
212400,9172,1038431
214200,9321,1234177
216000,9192,959757
217800,11248,3167290
219600,9324,1102070
221400,9303,1173629
223200,8891,811282
225000,9975,1922026
226800,9535,1848345
228600,9313,1197403
230400,8970,840597
232200,10416,2554974
234000,9293,1049691
235800,9466,1223167
