StartTime,Frames,Bytes
0,11500,2179021
1800,7213,1250210
3600,8386,1406983
5400,6230,1149739
7200,8069,1080178
9000,8744,1697929
10800,9589,1829488
12600,7054,1107485
14400,4702,745768
16200,8526,1361676
18000,11519,1382214
19800,10389,1235310
21600,10284,1176149
23400,9696,1139208
25200,10189,1135376
27000,10099,1135523
28800,10537,1319540
30600,10247,1713602
32400,8016,853997
34200,12276,5693663
36000,8860,985266
37800,9179,1254535
39600,8503,956225
41400,8212,848108
43200,9036,1086752
45000,9384,1057373
46800,10599,1168286
48600,10740,1349712
50400,10491,1128981
52200,9596,1243008
54000,8993,1813834
55800,8290,964914
57600,8938,1176632
59400,9389,1242542
61200,8417,914636
63000,9165,1392060
64800,7254,1928695
66600,8766,1130580
68400,7374,901861
70200,10208,1346465
72000,9547,1250622
73800,8544,1097671
75600,8420,1044909
77400,8618,1117613
79200,8932,1160555
81000,8534,1089520
82800,8727,1130474
84600,8598,1541632
86400,8355,1045519
88200,8307,1033974
90000,8825,1147784
91800,8611,1143007
93600,8543,1084595
95400,8513,1073564
97200,8317,1045074
99000,8404,1055540
100800,8394,1047404
102600,8183,989551
104400,8811,1580425
106200,8712,1137519
108000,8533,1088448
109800,8283,1031342
111600,12105,5690320
113400,7048,707159
115200,7464,784578
117000,6856,661938
118800,6950,665314
120600,7187,726273
122400,7012,681882
124200,6886,660130
126000,7325,786464
127800,7270,740329
129600,6951,656161
131400,7029,691853
133200,7227,736512
135000,7246,1180142
136800,7144,701234
138600,7109,701080
140400,7510,815641
142200,7180,717820
144000,7879,869403
145800,7472,779070
147600,7149,697874
149400,7326,773252
151200,7053,692936
153000,7255,746205
154800,7652,1303319
156600,7133,712290
158400,7102,703839
160200,7283,773783
162000,7092,701546
163800,7194,740944
165600,6951,664097
167400,7163,718746
169200,7613,844508
171000,7821,871071
172800,7129,714621
174600,7093,700256
176400,7020,696648
178200,7152,723284
180000,7367,1186840
181800,7076,694126
183600,7375,789803
185400,6994,687439
187200,7485,768142
189000,7417,761181
190800,7649,824034
192600,7152,723230
194400,7028,666145
196200,7510,788217
198000,7438,794813
199800,7563,1263756
201600,11213,5545676
203400,7358,756910
205200,7371,738689
207000,7973,882177
208800,7327,743188
210600,7898,865953
212400,7146,714494
214200,7180,728716
216000,7023,704536
217800,7155,727697
219600,7184,717143
221400,7032,694457
223200,7340,769133
225000,7205,717731
226800,7643,1262040
228600,7065,682298
230400,7277,754500
232200,7685,975266
234000,7173,716505
235800,6975,681134
