StartTime,Frames,Bytes
0,808,129876
1800,776,119102
3600,818,128734
5400,776,119532
7200,823,130282
9000,772,118034
10800,817,129386
12600,759,116020
14400,825,131507
16200,911,149237
18000,926,178577
19800,814,145944
21600,816,128784
23400,767,118024
25200,853,137410
27000,772,118032
28800,802,126788
30600,775,119870
32400,851,139907
34200,772,119598
36000,818,130258
37800,766,117918
39600,818,129866
41400,762,117130
43200,823,130373
45000,766,118624
46800,818,129578
48600,821,130472
50400,824,133034
52200,781,122386
54000,861,139908
55800,825,130124
57600,824,132900
59400,787,123922
61200,824,131760
63000,786,123788
64800,831,133943
66600,776,120474
68400,840,135552
70200,779,121866
72000,1018,169520
73800,785,123720
75600,817,130279
77400,789,124070
79200,828,132671
81000,770,118278
82800,846,136605
84600,814,128366
86400,808,127410
88200,766,118203
90000,811,127213
91800,775,120733
93600,817,129698
95400,765,117413
97200,810,127396
99000,766,118674
100800,806,127397
102600,909,148966
104400,884,168894
106200,845,147906
108000,813,129384
109800,769,118184
111600,857,137379
113400,777,120901
115200,813,127818
117000,770,119844
118800,813,127818
120600,808,131426
122400,819,130421
124200,765,116984
126000,814,129885
127800,780,120756
129600,805,126792
131400,775,120302
133200,812,128570
135000,778,122887
136800,823,132090
138600,777,121514
140400,860,138463
142200,794,125273
144000,821,130164
145800,785,124159
147600,823,131667
149400,794,125390
151200,834,133721
153000,778,121093
154800,831,132956
156600,785,123257
158400,1046,175538
160200,786,122476
162000,832,133092
163800,775,121294
165600,823,130097
167400,762,117134
169200,857,137422
171000,810,128418
172800,805,127176
174600,770,118136
176400,812,128836
178200,769,117798
180000,804,126904
181800,761,116188
183600,807,127210
185400,767,119232
187200,817,128705
189000,902,148887
190800,897,172096
192600,830,143225
194400,809,127734
196200,763,116378
198000,845,135510
199800,778,120150
201600,802,125964
203400,773,119272
205200,847,140246
207000,774,119042
208800,815,129556
210600,768,118110
212400,816,129218
214200,771,119948
216000,820,129867
217800,768,119238
219600,818,129876
221400,783,122259
223200,827,133228
225000,781,121926
226800,856,139610
228600,787,123488
230400,820,130962
232200,784,123210
234000,829,133360
235800,774,120356
