StartTime,Frames,Bytes
0,568,72896
1800,470,48410
3600,468,48204
5400,470,48410
7200,319,46923
9000,468,48204
10800,470,48410
12600,468,48204
14400,441,45411
16200,370,52082
18000,470,48410
19800,470,48410
21600,468,48204
23400,279,28725
25200,530,68701
27000,470,48410
28800,468,48204
30600,470,48410
32400,353,50442
34200,468,48204
36000,470,48410
37800,468,48204
39600,469,48344
41400,468,48204
43200,470,48422
45000,468,48204
46800,470,48410
48600,468,48204
50400,470,48410
52200,468,48204
54000,470,48410
55800,468,48204
57600,470,48410
59400,470,48410
61200,467,48064
63000,470,48410
64800,468,48204
66600,468,48204
68400,468,48204
70200,470,48410
72000,468,48204
73800,470,48410
75600,468,48204
77400,470,48410
79200,468,48204
81000,470,48410
82800,468,48204
84600,470,48410
86400,470,48410
88200,468,48204
90000,470,48410
91800,468,48204
93600,470,48410
95400,468,48204
97200,470,48410
99000,468,48228
100800,470,48410
102600,571,71985
104400,470,48410
106200,468,48204
108000,469,48282
109800,470,48410
111600,468,48216
113400,470,48422
115200,468,48204
117000,470,48422
118800,468,48216
120600,470,48410
122400,468,48204
124200,470,48410
126000,468,48204
127800,469,48282
129600,468,48204
131400,467,48088
133200,470,48410
135000,467,48150
136800,469,48342
138600,468,48216
140400,470,48410
142200,465,47956
144000,470,48434
145800,468,48240
147600,470,48422
149400,468,48216
151200,469,48282
153000,466,47998
154800,470,48410
156600,469,48270
158400,468,48204
160200,468,48130
162000,466,47936
163800,469,48344
165600,468,48204
167400,470,48422
169200,468,48204
171000,469,48356
172800,468,48216
174600,468,48240
176400,467,48150
178200,470,48410
180000,468,48204
181800,470,48422
183600,470,48410
185400,466,48072
187200,470,48410
189000,468,48204
190800,470,48422
192600,468,48204
194400,470,48422
196200,468,48216
198000,470,48410
199800,468,48204
201600,470,48410
203400,468,48204
205200,470,48410
207000,470,48410
208800,467,48150
210600,470,48410
212400,468,48204
214200,470,48410
216000,468,48204
217800,470,48410
219600,468,48204
221400,470,48410
223200,468,48204
225000,470,48410
226800,468,48204
228600,470,48410
230400,468,48204
232200,470,48410
234000,470,48410
235800,466,47998
