StartTime,Frames,Bytes
0,167,35783
1800,151,34307
3600,433,361968
5400,154,31222
7200,124,23816
9000,197,47891
10800,135,35019
12600,167,40437
14400,152,35945
16200,150,31430
18000,135,29097
19800,416,345352
21600,164,53231
23400,135,29097
25200,182,44918
27000,151,37138
28800,107,22851
30600,376,261303
32400,136,27991
34200,387,163300
36000,138,28467
37800,122,25484
39600,165,34363
41400,169,34739
43200,136,33865
45000,150,30230
46800,347,265549
48600,152,31926
50400,209,92058
52200,182,36916
54000,165,33463
55800,188,65281
57600,152,32550
59400,137,31480
61200,167,37318
63000,412,332112
64800,259,89162
66600,169,35891
68400,135,29097
70200,158,32466
72000,144,29871
73800,411,225858
75600,140,27704
77400,194,40048
79200,112,23233
81000,373,246604
82800,160,33214
84600,156,32894
86400,120,25864
88200,182,38656
90000,296,205707
91800,182,38992
93600,137,36091
95400,324,239475
97200,186,49569
99000,134,32422
100800,152,32550
102600,120,25864
104400,165,35563
106200,313,192247
108000,137,29293
109800,152,32550
111600,266,126943
113400,166,37825
115200,157,36686
117000,321,241065
118800,165,35563
120600,284,124591
122400,90,19398
124200,214,52476
126000,244,144435
127800,189,46500
129600,136,29183
131400,150,32330
133200,329,243305
135000,139,29453
136800,166,42471
138600,170,36025
140400,152,39324
142200,257,162854
144000,191,39766
145800,163,36907
147600,162,36773
149400,160,40012
151200,338,271187
153000,181,42781
154800,164,58403
156600,322,160650
158400,132,29447
160200,370,150920
162000,124,24093
163800,222,51944
165600,125,35307
167400,176,35957
169200,151,30596
171000,126,24620
172800,364,317179
174600,169,38422
176400,259,119077
178200,138,35581
180000,151,32416
181800,183,44708
183600,108,25040
185400,164,42430
187200,216,61061
189000,330,238298
190800,135,36630
192600,325,233490
194400,154,36440
196200,151,32807
198000,138,30054
199800,164,35608
201600,120,23464
203400,597,526783
205200,164,38888
207000,336,192039
208800,181,38882
210600,138,28803
212400,151,38298
214200,152,32550
216000,120,24964
217800,181,48495
219600,740,847566
221400,165,34663
223200,154,39544
225000,153,34527
226800,151,39629
228600,151,32416
230400,167,34283
232200,139,29441
234000,850,941082
235800,161,35434
237600,143,32875
239400,176,36557
241200,159,32484
243000,159,39392
244800,142,43019
246600,699,720931
248400,204,43978
250200,271,185514
252000,195,69869
253800,192,45796
255600,136,28263
257400,159,39972
259200,166,34129
261000,136,28883
262800,828,837924
264600,284,178407
266400,137,36113
268200,168,35253
270000,151,38936
271800,165,41783
273600,122,26084
275400,167,41955
277200,151,31824
279000,765,870976
280800,230,129669
282600,167,33959
284400,203,59881
286200,135,26997
288000,135,34717
289800,641,589597
291600,141,29673
293400,168,34677
295200,436,421045
297000,171,36139
298800,135,27897
300600,182,36916
302400,121,24730
304200,136,36003
306000,681,598013
307800,167,46359
309600,124,27226
311400,470,411113
313200,155,34634
315000,165,38973
316800,167,55049
318600,121,25050
320400,184,41891
322200,538,595974
324000,160,33214
325800,353,276812
327600,192,37756
329400,144,29871
331200,163,40318
333000,572,554965
334800,140,27704
336600,163,33480
338400,162,43595
340200,193,43373
342000,470,465955
343800,159,33128
