StartTime,Frames,Bytes
0,2117,442623
1800,1998,410957
3600,2120,446293
5400,1992,408936
7200,2127,444723
9000,2049,420498
10800,2047,430094
12600,2042,418296
14400,2072,437628
16200,2053,421844
18000,2166,461326
19800,1991,408744
21600,2151,457308
23400,1989,408625
25200,2145,455261
27000,2042,418296
28800,2076,440882
30600,2044,418428
32400,2054,432713
34200,2065,425021
36000,2067,436882
37800,2056,422700
39600,2112,443917
41400,2007,411614
43200,2106,440007
45000,1999,412982
46800,2096,437506
48600,2031,422983
50400,2086,434063
52200,2067,423544
54000,1981,415735
55800,2105,438362
57600,2046,430038
59400,2091,433958
61200,2063,431214
63000,2010,415479
64800,2114,443854
66600,2005,413396
68400,2109,443262
70200,2007,414470
72000,2051,430860
73800,2101,436345
75600,1993,418516
77400,2078,429608
79200,2053,432068
81000,2079,429673
82800,2025,423220
84600,2077,429554
86400,2093,437407
88200,2010,415479
90000,2092,437077
91800,2019,417813
93600,2132,450635
95400,2071,425441
97200,2052,432405
99000,2081,429603
100800,2057,435130
102600,2046,418593
104400,2103,449317
106200,2042,418293
108000,2155,457406
109800,2013,416598
111600,2152,457269
113400,2043,425514
115200,2150,457206
117000,2080,430673
118800,2058,434810
120600,2051,420621
122400,2075,438952
124200,2058,422834
126000,2071,437971
127800,2068,426034
129600,2135,450659
131400,1989,408627
133200,2128,448671
135000,1982,406425
136800,2134,450624
138600,2050,420566
140400,2063,434745
142200,2056,422702
144000,2062,434717
145800,2066,426946
147600,2095,437504
149400,2029,421913
151200,2125,446539
153000,2029,421913
154800,2099,438998
156600,2094,434158
158400,2018,420975
160200,2105,438364
162000,2031,425225
163800,2109,438617
165600,2046,430101
167400,2070,427354
169200,2113,443841
171000,2010,415481
172800,2062,434139
174600,2012,416553
176400,2107,441192
178200,2091,433960
180000,2033,425419
181800,2078,425975
183600,2026,423187
185400,2099,436104
187200,2123,446484
189000,2009,411792
190800,2098,439793
192600,2079,438018
194400,2115,445976
196200,2094,435325
198000,2055,434880
199800,2084,430968
201600,2056,434861
203400,2071,426619
205200,2132,451830
207000,2004,413066
208800,2119,446319
210600,1996,410829
212400,2133,450613
214200,2060,422955
216000,2069,436638
217800,2049,420500
219600,2127,448465
221400,1996,410829
223200,2122,446455
225000,1996,410829
226800,2133,450547
228600,2003,413031
230400,2127,448563
232200,2051,420621
234000,2067,436566
235800,2056,422702
237600,2056,432518
239400,2070,427106
241200,2046,432444
243000,2005,414012
244800,2051,433305
246600,2052,420674
248400,2135,450801
250200,2019,419524
252000,2104,439943
253800,2008,415318
255600,2105,439908
257400,2058,421168
259200,2028,423160
261000,2083,431692
262800,2040,427425
264600,2084,431758
266400,2098,439714
268200,2012,415614
270000,2115,443910
271800,2009,411792
273600,2112,443897
275400,2084,431758
277200,2042,429481
279000,2079,429677
280800,2116,446046
282600,2042,423264
284400,2102,440558
286200,2041,425654
288000,2115,444684
289800,2076,437820
291600,2099,440011
293400,2091,433960
295200,2038,425970
297000,2098,436162
298800,2016,419894
300600,2073,428363
302400,2093,437132
304200,2025,419940
306000,2152,457087
307800,1988,406828
309600,2123,448727
311400,2046,418593
313200,2049,430107
315000,2049,420500
316800,2113,444356
318600,1975,404223
320400,2129,448652
322200,2058,422823
324000,2067,436742
325800,2065,425036
327600,2038,427817
329400,2062,424725
331200,2126,448261
333000,1991,408748
334800,2127,444991
336600,1989,408627
338400,2133,450724
340200,2056,422702
342000,2074,435316
343800,2070,427106
345600,2048,430010
347400,2058,422823
349200,2112,440493
351000,2003,413031
352800,2134,450493
354600,1991,408748
356400,2126,448409
358200,2027,421792
360000,2117,444148
361800,2082,431584
363600,2024,422380
365400,2119,442171
367200,2055,434119
369000,2038,424264
370800,2131,450381
372600,2050,427988
374400,2108,442683
376200,2041,425654
378000,2105,442037
379800,2084,431758
381600,2026,423342
383400,2108,438521
385200,2029,425165
387000,2087,431934
388800,2113,443929
390600,1957,401781
392400,2107,441706
394200,2033,422219
396000,2091,437083
397800,2024,419890
399600,2100,439465
401400,2079,426054
403200,2031,425525
405000,2042,421541
406800,2098,439681
408600,2017,417683
410400,2111,443936
412200,1993,408922
414000,2138,452926
415800,2000,411124
417600,2133,450511
419400,2010,415233
421200,2126,446839
423000,2042,418298
424800,2047,430330
426600,2063,424904
428400,2061,430866
430200,2058,422810
432000,2127,448477
433800,1998,410961
435600,2134,450644
437400,1984,406557
439200,2122,442730
441000,2000,412022
442800,2116,445231
444600,2042,418298
446400,2060,434534
448200,2049,420500
450000,2159,459261
451800,2015,416719
453600,2156,459519
455400,2018,418668
457200,2139,452953
459000,2058,422834
460800,2085,443230
462600,2103,439368
464400,2042,428333
466200,2079,429635
468000,2109,442305
469800,2024,419885
471600,2086,435009
473400,2011,415660
475200,2092,437046
477000,2088,431987
478800,2025,423224
480600,2091,433960
482400,2094,437393
484200,2017,417695
486000,2101,439755
487800,2017,417695
489600,2107,441872
491400,2014,416686
493200,2091,436250
495000,2076,425879
496800,2011,418822
498600,2078,429634
500400,2101,440815
502200,1955,403522
504000,2106,441929
505800,2018,417761
507600,2086,435352
509400,2063,425164
511200,2017,420968
513000,2091,433972
514800,2057,434071
516600,2069,425320
