StartTime,Frames,Bytes
0,851,231607
1800,1425,451120
3600,1170,382293
5400,1426,489597
7200,890,246438
9000,1474,472122
10800,1277,423505
12600,1263,421003
14400,762,195643
16200,1621,528482
18000,1260,421105
19800,818,220970
21600,1372,461859
23400,1643,538274
25200,1209,403495
27000,859,246570
28800,1208,402237
30600,1370,454952
32400,1483,479377
34200,736,197753
36000,1325,444176
37800,1325,438766
39600,1443,458622
41400,841,233262
43200,1330,444590
45000,1650,660289
46800,1006,255904
48600,1267,432203
50400,1339,498105
52200,1452,491752
54000,929,235400
55800,1291,427126
57600,1436,495534
59400,1446,489589
61200,846,203594
63000,1312,437189
64800,1194,390421
66600,909,247682
68400,1493,484074
70200,1483,511021
72000,1248,403766
73800,776,198660
75600,1392,456127
77400,1435,490077
79200,1245,406805
81000,1035,297658
82800,1568,542075
84600,1342,437751
86400,1437,498608
88200,946,266043
90000,1223,406628
91800,1371,442843
93600,899,251949
95400,1420,483796
97200,1205,396296
99000,1541,497019
100800,1012,266462
102600,1449,488685
104400,1243,409656
106200,1616,531358
108000,800,211417
109800,1469,489364
111600,1285,426893
113400,1456,467928
115200,840,230034
117000,1274,422595
118800,1433,488327
120600,807,192584
122400,1358,448980
124200,1445,497336
126000,1406,472922
127800,1095,375939
129600,1558,537497
131400,1307,449898
133200,1305,422632
135000,940,249540
136800,1329,436522
138600,1419,479107
140400,730,184879
142200,1324,445036
144000,1578,523329
145800,1359,455847
147600,906,249232
149400,1249,427804
151200,1439,460771
153000,1357,457491
154800,849,231300
156600,1323,453667
158400,1616,615476
160200,1506,509655
162000,705,175612
163800,1428,483547
165600,1530,492141
167400,889,257466
169200,1409,478529
171000,24602,104329511
172800,18920,13435391
174600,752,195491
176400,1149,460949
178200,2457,937901
180000,654,154036
181800,1695,882837
183600,737,183097
185400,602,148304
187200,1443,504721
189000,1414,715791
190800,668,167798
192600,749,177320
194400,2801,1183850
196200,1751,697831
198000,1528,584865
199800,1069,405362
201600,1833,677860
203400,1768,799031
205200,1227,478331
207000,1599,656301
208800,1783,669018
210600,826,211302
212400,1465,704641
214200,553,115507
216000,1708,615291
217800,1182,591302
219600,599,141610
221400,710,175756
223200,2305,1122681
225000,595,138308
226800,649,153423
228600,2626,1242118
230400,1297,464109
232200,1473,569222
234000,1543,598392
235800,1705,645968
237600,1136,408707
239400,1668,643855
241200,1501,611784
243000,886,210708
244800,1169,513421
246600,673,149800
248400,1355,469858
250200,1224,631896
252000,616,141074
253800,712,177774
255600,2573,1333536
257400,462,85003
259200,681,164243
261000,2441,1122696
262800,1339,489099
264600,1586,584439
266400,1648,642060
268200,1000,357036
270000,1709,662138
271800,1477,568952
273600,1530,608945
275400,555,142980
277200,1390,599919
279000,782,289861
280800,1855,646001
282600,815,308527
284400,1188,502814
286200,659,165040
288000,1563,527392
289800,1295,610517
291600,749,202649
293400,616,131041
295200,2344,1049340
297000,1818,675838
298800,1175,460862
300600,1692,627997
302400,1641,692400
304200,1815,674851
306000,1048,407800
307800,1656,647144
309600,448,78393
311400,1394,612846
313200,1452,497568
315000,724,172475
316800,1354,616179
318600,754,184359
320400,1462,507330
322200,1766,1073857
324000,1161,343209
325800,1460,748409
327600,1573,555918
329400,614,139286
331200,1363,682939
333000,504,87347
334800,1318,448463
336600,1183,497541
338400,738,168507
340200,627,146295
342000,1815,875856
343800,569,114562
345600,653,148065
347400,2286,1055495
349200,1491,571013
351000,1294,438938
352800,1747,662269
354600,1737,664742
356400,1593,585050
358200,1165,410286
360000,1831,691309
361800,1164,551475
363600,707,173692
365400,1194,407141
367200,1195,530035
369000,787,185636
370800,627,154481
372600,2309,1057733
374400,586,117236
376200,600,145029
378000,1253,545175
379800,1385,464879
381600,1769,702359
383400,1878,712505
385200,1174,433228
387000,1679,647509
388800,1802,744152
390600,1267,467125
392400,1534,602179
394200,843,301068
396000,1456,723818
397800,1467,520470
399600,590,133735
401400,1392,590841
403200,677,159408
405000,1645,577302
406800,1484,681013
408600,777,197321
410400,754,170699
412200,2492,1192787
414000,697,173021
415800,676,169838
417600,1285,609368
419400,1751,622995
421200,1337,669833
423000,511,98743
424800,684,168052
426600,2222,1025195
428400,907,231975
430200,589,132553
432000,1581,768959
433800,2190,911320
435600,1564,609778
437400,1624,654939
439200,1247,431325
441000,1585,655222
442800,1717,674606
444600,1835,721306
446400,1601,695586
448200,658,165439
450000,1475,516113
451800,1301,631949
453600,672,147086
455400,536,111149
457200,1974,855655
459000,497,86809
460800,723,174045
462600,1031,492698
464400,1266,389023
466200,726,169653
468000,1660,707816
469800,1181,442890
471600,1650,617016
473400,1823,705713
475200,1879,839171
477000,1198,501035
478800,1664,640742
480600,1111,449601
482400,1351,421333
484200,669,141987
486000,990,493975
487800,585,131102
489600,1480,510690
491400,1351,696066
493200,745,187717
495000,1321,592411
496800,1446,495234
498600,724,181811
500400,2437,1008530
502200,1802,699674
504000,1105,409745
505800,1582,619508
507600,1744,663574
509400,1213,458994
511200,1701,700439
513000,1038,423080
514800,1184,397468
516600,623,143341
