StartTime,Frames,Bytes
0,4495,983767
1800,4953,1144503
3600,4686,1082156
5400,5067,1237439
7200,4569,977385
9000,4871,1138591
10800,5009,1175206
12600,4644,1081705
14400,4419,932899
16200,5016,1186155
18000,4885,1158516
19800,4294,902904
21600,4992,1189880
23400,5130,1221823
25200,4749,1113988
27000,4341,935136
28800,4865,1140788
30600,4765,1121809
32400,5078,1201858
34200,4158,871664
36000,4932,1163071
37800,4833,1136529
39600,5009,1169230
41400,4348,927462
43200,4809,1134231
45000,5157,1356603
46800,4574,967011
48600,4730,1122641
50400,4921,1211324
52200,4919,1173594
54000,4434,933664
55800,4762,1116578
57600,5007,1202684
59400,4910,1180747
61200,4516,928691
63000,4948,1153748
64800,4789,1110228
66600,4438,945560
68400,4988,1181583
70200,4986,1207168
72000,4718,1096057
73800,4266,892723
75600,4931,1164933
77400,4829,1159274
79200,4948,1156055
81000,4571,996923
82800,5088,1242523
84600,4946,1155880
86400,4910,1190830
88200,4440,958878
90000,4674,1088645
91800,5071,1205340
93600,4537,982748
95400,4844,1152800
97200,4792,1115892
99000,4998,1179684
100800,4636,995179
102600,4910,1168558
104400,4823,1133465
106200,5073,1212270
108000,4397,935160
109800,4955,1170732
111600,4862,1151386
113400,4955,1161231
115200,4452,957217
117000,4811,1128802
118800,5130,1229733
120600,4212,862778
122400,5008,1182333
124200,4920,1181357
126000,4993,1191816
127800,4633,1078449
129600,5027,1224418
131400,4829,1150317
133200,4837,1128492
135000,4403,932963
136800,4993,1171180
138600,4831,1147807
140400,4307,898533
142200,4753,1124285
144000,5160,1236702
145800,4851,1143178
147600,4317,921558
149400,4989,1173949
151200,4961,1161971
153000,4930,1166894
154800,4423,943384
156600,4776,1137970
158400,5170,1322134
160200,4976,1201032
162000,4279,887794
163800,4901,1172048
165600,5274,1251817
167400,4396,948672
169200,4940,1181903
171000,18039,50528245
172800,32425,68614124
174600,4284,897489
176400,4757,1186513
178200,6061,1678039
180000,4266,876563
181800,5145,1556552
183600,4377,913887
185400,4129,852453
187200,4998,1216592
189000,4905,1401580
190800,4204,880724
192600,4325,890674
194400,6292,1877017
196200,5307,1403555
198000,5041,1278882
199800,4534,1100191
201600,5481,1412074
203400,5378,1516632
